Server_06	Server_0	
3.776	4.000	
4.177	4.000	
4.344	4.000	
3.204	4.000	
3.612	4.000	
3.817	4.000	
3.919	4.000	
3.970	4.000	
3.996	4.000	
4.008	4.000	
4.015	4.000	
3.438	3.808	
3.730	3.808	
3.875	3.808	
3.948	3.808	
3.985	3.808	
3.758	3.808	
3.890	3.808	
4.200	3.808	
4.111	3.808	
4.066	3.808	
3.791	3.293	
3.661	3.293	
3.597	3.293	
3.564	3.293	
3.548	3.293	
3.540	3.293	
3.536	3.293	
3.534	3.293	
3.533	3.293	
3.532	3.293	
3.469	3.393	
3.500	3.393	
3.516	3.393	
3.524	3.393	
3.528	3.393	
3.285	3.393	
3.408	3.393	
3.470	3.393	
3.501	3.393	
3.516	3.393	
3.489	3.242	
3.510	3.242	
3.276	3.242	
3.159	3.242	
3.590	3.242	
3.316	3.242	
3.669	3.242	
3.355	3.242	
3.198	3.242	
3.198	3.142	
3.198	3.337	
3.103	3.122	
3.103	3.327	
3.103	3.184	
3.103	3.113	
3.103	3.322	
3.103	3.182	
3.103	3.112	
3.103	3.322	
3.103	3.182	
3.103	3.357	
3.293	3.103	
3.293	3.317	
3.293	3.179	
3.293	3.356	
3.293	3.444	
3.293	3.243	
3.293	3.387	
3.293	3.214	
3.293	3.373	
3.293	3.207	
3.089	3.325	
3.311	3.325	
3.421	3.325	
3.231	3.325	
3.231	3.183	
3.231	3.357	
3.231	3.200	
3.231	3.610	
3.231	3.571	
3.231	3.062	
3.167	3.252	
3.167	3.147	
3.104	3.147	
3.104	3.094	
2.828	3.094	
3.180	3.094	
3.356	3.094	
3.199	3.094	
3.365	3.094	
3.508	3.212	
3.275	3.212	
3.158	3.212	
3.345	3.212	
3.438	3.212	
3.240	3.212	
3.386	3.212	
3.459	3.212	
3.250	3.212	
3.146	3.212	
3.344	3.302	
3.438	3.302	
3.240	3.302	
3.240	3.172	
3.240	3.352	
3.240	3.197	
3.240	3.364	
3.240	3.203	
3.141	3.203	
3.141	3.122	
3.141	3.327	
3.117	2.862	
3.117	3.197	
3.117	3.119	
3.117	3.081	
2.835	3.081	
3.183	3.081	
3.357	3.081	
3.200	3.081	
3.366	3.081	
3.474	3.509	
3.474	3.275	
3.258	3.275	
3.395	3.275	
3.463	3.275	
3.252	3.275	
3.637	3.275	
3.339	3.275	
3.191	3.275	
3.361	3.275	
3.437	3.093	
