Server_06	Server_00	Server_01	Server_02	Server_03	Server_04	Server_05	Server_07	Server_0	Time
4.511	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	0.623
4.119	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	0.631
3.806	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	0.699
3.555	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	1.315
3.355	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	2.734
3.194	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164
3.066	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.743
2.963	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.753
2.881	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	5.506
2.815	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	6.561
2.763	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	6.627
2.721	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	7.045
2.687	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	8.197
2.660	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	8.583
2.639	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	10.219
2.622	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	11.174
2.608	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	12.032
2.597	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	12.127
2.588	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	12.754
2.581	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	16.308
2.575	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	16.535
2.571	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	18.720
2.567	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	27.443
2.564	4.000	4.000	4.000	4.000	4.000	4.000	4.000	4.000	39.627
2.564	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	49.023
2.856	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	49.866
3.089	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	50.761
3.275	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	50.792
3.424	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	51.066
3.544	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	51.304
3.639	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	52.402
3.716	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	52.455
3.777	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	52.605
3.826	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	52.627
3.767	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	53.704
3.720	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	54.159
3.682	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	54.172
3.652	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	54.253
3.628	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.808	54.296
