Server_00	Server_0	Server_0C	Server_02	Server_0A	
3.776	4.000	3.224	3.586	3.825	
3.776	3.766	3.224	3.586	3.825	
3.776	3.766	3.224	3.586	3.678	
3.654	3.766	3.224	3.586	3.678	
3.654	3.649	3.224	3.586	3.678	
3.654	3.649	3.224	3.586	3.605	
3.593	3.649	3.224	3.586	3.605	
3.593	3.590	3.224	3.586	3.605	
3.593	3.590	3.224	3.586	3.568	
3.562	3.590	3.224	3.586	3.568	
3.562	3.561	3.224	3.586	3.568	
3.562	3.561	3.224	3.314	3.568	
3.562	3.561	3.224	3.314	3.550	
3.302	3.561	3.224	3.314	3.550	
3.302	3.546	3.224	3.314	3.550	
3.302	3.546	3.224	3.314	3.296	
3.302	3.294	3.224	3.314	3.296	
3.302	3.413	3.224	3.314	3.296	
3.302	3.227	3.224	3.314	3.296	
3.302	3.227	3.224	3.178	3.296	
3.302	3.227	3.224	3.355	3.296	
3.302	3.227	3.224	3.198	3.296	
3.302	3.227	3.224	3.610	3.296	
3.302	3.227	3.224	3.571	3.296	
3.302	3.227	3.224	3.306	3.296	
3.302	3.227	3.224	3.419	3.296	
3.302	3.227	3.224	3.720	3.296	
3.302	3.227	3.224	3.381	3.296	
3.302	3.227	3.224	3.211	3.296	
3.302	3.227	3.224	3.616	3.296	
3.302	3.227	3.224	3.574	3.296	
3.302	3.227	3.224	3.553	3.296	
3.302	3.227	3.224	3.297	3.296	
3.302	3.227	3.224	3.414	3.296	
3.302	3.227	3.224	3.718	3.296	
3.302	3.227	3.224	3.625	3.296	
3.302	3.227	3.224	3.333	3.296	
3.302	3.227	3.224	3.677	3.296	
3.302	3.227	3.224	3.604	3.296	
3.302	3.227	3.224	3.568	3.296	
3.302	3.227	3.224	3.305	3.296	
3.302	3.227	3.224	3.418	3.296	
3.302	3.227	3.224	3.720	3.296	
3.302	3.227	3.224	3.626	3.296	
3.302	3.227	3.224	3.579	3.296	
3.302	3.227	3.224	3.555	3.296	
3.302	3.227	3.224	3.543	3.296	
3.302	3.227	3.224	3.293	3.296	
3.302	3.227	3.224	3.412	3.296	
3.302	3.227	3.224	3.717	3.296	
3.302	3.227	3.224	3.624	3.296	
3.302	3.227	3.224	3.333	3.296	
3.302	3.227	3.224	3.432	3.296	
3.302	3.227	3.224	3.727	3.296	
3.302	3.227	3.224	3.629	3.296	
3.302	3.227	3.224	3.335	3.296	
3.302	3.227	3.224	3.434	3.296	
3.302	3.227	3.224	3.727	3.296	
3.302	3.227	3.224	3.629	3.296	
3.302	3.227	3.224	3.581	3.296	
3.302	3.227	3.224	3.311	3.296	
3.302	3.227	3.224	3.176	3.296	
3.302	3.227	3.224	3.599	3.296	
3.302	3.227	3.224	3.320	3.296	
3.302	3.227	3.224	3.426	3.296	
3.302	3.227	3.224	3.724	3.296	
3.302	3.227	3.224	3.628	3.296	
3.302	3.227	3.224	3.580	3.296	
3.302	3.227	3.224	3.311	3.296	
3.302	3.227	3.224	3.421	3.296	
3.302	3.227	3.224	3.721	3.296	
3.302	3.227	3.224	3.626	3.296	
3.302	3.227	3.224	3.579	3.296	
3.302	3.227	3.224	3.555	3.296	
3.302	3.227	3.224	3.299	3.296	
3.302	3.227	3.224	3.415	3.296	
3.302	3.227	3.224	3.473	3.296	
3.302	3.227	3.224	3.258	3.296	
3.302	3.227	3.224	3.395	3.296	
3.302	3.227	3.224	3.708	3.296	
3.302	3.227	3.224	3.620	3.296	
3.302	3.227	3.224	3.576	3.296	
3.302	3.227	3.224	3.798	3.296	
3.302	3.227	3.224	3.665	3.296	
3.302	3.227	3.224	3.598	3.296	
3.302	3.227	3.224	3.565	3.296	
3.302	3.227	3.224	3.548	3.296	
3.302	3.227	3.224	3.295	3.296	
3.302	3.227	3.224	3.413	3.296	
3.302	3.227	3.224	3.717	3.296	
3.302	3.227	3.224	3.624	3.296	
3.302	3.227	3.224	3.578	3.296	
3.302	3.227	3.224	3.555	3.296	
3.302	3.227	3.224	3.298	3.296	
3.302	3.227	3.224	3.415	3.296	
3.302	3.227	3.224	3.718	3.296	
3.302	3.227	3.224	3.625	3.296	
3.302	3.227	3.224	3.578	3.296	
3.302	3.227	3.224	3.555	3.296	
3.302	3.227	3.224	3.298	3.296	
3.302	3.227	3.224	3.415	3.296	
3.302	3.227	3.224	3.473	3.296	
3.302	3.227	3.224	3.502	3.296	
3.302	3.227	3.224	3.762	3.296	
3.302	3.227	3.224	3.647	3.296	
3.302	3.227	3.224	3.589	3.296	
3.302	3.227	3.224	3.560	3.296	
3.302	3.227	3.224	3.301	3.296	
3.172	3.227	3.224	3.301	3.296	
3.597	3.227	3.224	3.301	3.296	
3.319	3.227	3.224	3.301	3.296	
3.180	3.227	3.224	3.301	3.296	
3.601	3.227	3.224	3.301	3.296	
3.566	3.227	3.224	3.301	3.296	
3.549	3.227	3.224	3.301	3.296	
3.295	3.227	3.224	3.301	3.296	
3.658	3.227	3.224	3.301	3.296	
3.595	3.227	3.224	3.301	3.296	
3.318	3.227	3.224	3.301	3.296	
3.425	3.227	3.224	3.301	3.296	
3.723	3.227	3.224	3.301	3.296	
3.627	3.227	3.224	3.301	3.296	
3.335	3.227	3.224	3.301	3.296	
3.433	3.227	3.224	3.301	3.296	
3.482	3.227	3.224	3.301	3.296	
3.507	3.227	3.224	3.301	3.296	
3.519	3.227	3.224	3.301	3.296	
