Server_00	Server_0	Server_0B	Server_06	Server_0E	
3.776	4.000	3.606	3.150	3.745	
3.899	4.000	3.606	3.150	3.745	
3.960	4.000	3.606	3.150	3.745	
3.991	4.000	3.606	3.150	3.745	
4.006	4.000	3.606	3.150	3.745	
4.014	4.000	3.606	3.150	3.745	
4.017	4.000	3.606	3.150	3.745	
4.019	4.000	3.606	3.150	3.745	
4.020	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
4.021	4.000	3.606	3.150	3.745	
3.776	4.000	3.606	3.150	3.745	
3.899	4.000	3.606	3.150	3.745	
3.899	3.766	3.606	3.150	3.745	
3.470	3.766	3.606	3.150	3.745	
3.470	3.649	3.606	3.150	3.745	
3.470	3.649	3.606	3.150	3.638	
3.470	3.649	3.606	3.150	3.830	
3.470	3.649	3.606	3.150	3.681	
3.470	3.649	3.606	3.150	3.606	
3.470	3.590	3.606	3.150	3.606	
3.470	3.590	3.606	3.150	3.324	
3.470	3.590	3.606	3.150	3.673	
3.470	3.590	3.606	3.150	3.602	
3.470	3.590	3.569	3.150	3.602	
3.470	3.590	3.795	3.150	3.602	
3.470	3.590	3.663	3.150	3.602	
3.470	3.590	3.842	3.150	3.602	
3.470	3.590	3.687	3.150	3.602	
3.470	3.590	3.854	3.150	3.602	
3.470	3.590	3.693	3.150	3.602	
3.470	3.590	3.612	3.150	3.602	
3.470	3.590	3.817	3.150	3.602	
3.470	3.590	3.674	3.150	3.602	
3.470	3.590	3.848	3.150	3.602	
3.470	3.590	3.690	3.150	3.602	
3.470	3.590	3.611	3.150	3.602	
3.470	3.590	3.571	3.150	3.602	
3.470	3.590	3.796	3.150	3.602	
3.470	3.590	3.664	3.150	3.602	
3.470	3.590	3.598	3.150	3.602	
3.470	3.590	3.809	3.150	3.602	
3.470	3.590	3.671	3.150	3.602	
3.470	3.590	3.601	3.150	3.602	
3.470	3.590	3.601	3.150	3.567	
3.470	3.590	3.566	3.150	3.567	
3.470	3.561	3.566	3.150	3.567	
3.470	3.561	3.566	3.150	3.549	
3.470	3.561	3.304	3.150	3.549	
3.470	3.561	3.663	3.150	3.549	
3.470	3.561	3.842	3.150	3.549	
3.470	3.561	3.442	3.150	3.549	
3.470	3.546	3.442	3.150	3.549	
3.470	3.546	3.442	3.150	3.296	
3.470	3.546	3.442	3.150	3.658	
3.470	3.546	3.442	3.150	3.595	
3.470	3.546	3.442	3.150	3.563	
3.470	3.546	3.442	3.150	3.303	
3.470	3.294	3.442	3.150	3.303	
3.470	3.658	3.442	3.150	3.303	
3.470	3.350	3.442	3.150	3.303	
3.470	3.685	3.442	3.150	3.303	
3.470	3.609	3.442	3.150	3.303	
3.470	3.570	3.442	3.150	3.303	
3.470	3.306	3.442	3.150	3.303	
3.470	3.419	3.442	3.150	3.303	
3.470	3.720	3.442	3.150	3.303	
3.470	3.381	3.442	3.150	3.303	
3.256	3.381	3.442	3.150	3.303	
3.394	3.381	3.442	3.150	3.303	
3.463	3.381	3.442	3.150	3.303	
3.497	3.381	3.442	3.150	3.303	
3.759	3.381	3.442	3.150	3.303	
3.645	3.381	3.442	3.150	3.303	
3.344	3.381	3.442	3.150	3.303	
3.438	3.381	3.442	3.150	3.303	
3.729	3.381	3.442	3.150	3.303	
3.630	3.381	3.442	3.150	3.303	
3.336	3.381	3.442	3.150	3.303	
3.434	3.381	3.442	3.150	3.303	
3.728	3.381	3.442	3.150	3.303	
3.630	3.381	3.442	3.150	3.303	
3.581	3.381	3.442	3.150	3.303	
3.556	3.381	3.442	3.150	3.303	
3.544	3.381	3.442	3.150	3.303	
3.293	3.381	3.442	3.150	3.303	
3.412	3.381	3.442	3.150	3.303	
3.717	3.381	3.442	3.150	3.303	
3.624	3.381	3.442	3.150	3.303	
3.333	3.381	3.442	3.150	3.303	
3.432	3.381	3.442	3.150	3.303	
3.727	3.381	3.442	3.150	3.303	
3.629	3.381	3.442	3.150	3.303	
3.335	3.381	3.442	3.150	3.303	
3.335	3.381	3.242	3.150	3.303	
3.335	3.381	3.632	3.150	3.303	
3.335	3.381	3.582	3.150	3.303	
3.335	3.381	3.557	3.150	3.303	
3.335	3.381	3.544	3.150	3.303	
3.335	3.381	3.293	3.150	3.303	
3.335	3.381	3.657	3.150	3.303	
3.335	3.381	3.594	3.150	3.303	
3.335	3.381	3.318	3.150	3.303	
3.335	3.381	3.670	3.150	3.303	
3.335	3.381	3.601	3.150	3.303	
3.335	3.381	3.566	3.150	3.303	
3.335	3.381	3.549	3.150	3.303	
3.335	3.381	3.540	3.150	3.303	
3.335	3.381	3.536	3.150	3.303	
3.335	3.381	3.289	3.150	3.303	
3.335	3.381	3.410	3.150	3.303	
3.335	3.381	3.471	3.150	3.303	
3.335	3.381	3.746	3.150	3.303	
3.335	3.381	3.639	3.150	3.303	
3.335	3.381	3.585	3.150	3.303	
3.335	3.381	3.314	3.150	3.303	
3.335	3.381	3.423	3.150	3.303	
3.335	3.381	3.477	3.150	3.303	
3.335	3.381	3.749	3.150	3.303	
3.335	3.381	3.640	3.150	3.303	
3.335	3.381	3.586	3.150	3.303	
3.335	3.381	3.559	3.150	3.303	
3.335	3.381	3.545	3.150	3.303	
3.335	3.381	3.538	3.150	3.303	
3.335	3.381	3.535	3.150	3.303	
3.335	3.381	3.533	3.150	3.303	
3.335	3.381	3.532	3.150	3.303	
3.335	3.381	3.532	3.150	3.303	
3.335	3.381	3.532	3.150	3.303	
3.335	3.381	3.532	3.150	3.303	
3.335	3.381	3.532	3.150	3.303	
3.335	3.381	3.287	3.150	3.303	
3.335	3.381	3.654	3.150	3.303	
3.335	3.381	3.593	3.150	3.303	
3.335	3.381	3.562	3.150	3.303	
3.335	3.381	3.547	3.150	3.303	
3.335	3.381	3.294	3.150	3.303	
3.335	3.381	3.658	3.150	3.303	
3.335	3.381	3.595	3.150	3.303	
3.335	3.381	3.318	3.150	3.303	
3.335	3.211	3.318	3.150	3.303	
3.335	3.371	3.318	3.150	3.303	
3.335	3.452	3.318	3.150	3.303	
3.335	3.492	3.318	3.150	3.303	
3.335	3.512	3.318	3.150	3.303	
3.335	3.522	3.318	3.150	3.303	
3.335	3.527	3.318	3.150	3.303	
3.335	3.529	3.318	3.150	3.303	
3.335	3.285	3.318	3.150	3.303	
3.335	3.409	3.318	3.150	3.303	
3.335	3.470	3.318	3.150	3.303	
3.335	3.501	3.318	3.150	3.303	
3.335	3.516	3.318	3.150	3.303	
3.335	3.524	3.318	3.150	3.303	
3.335	3.528	3.318	3.150	3.303	
