Server_00	Server_0	Server_0D	Server_0F	Server_02	
3.776	4.000	3.674	3.609	3.850	
3.776	3.766	3.674	3.609	3.850	
3.776	4.383	3.674	3.609	3.850	
3.776	4.691	3.674	3.609	3.850	
3.776	4.846	3.674	3.609	3.850	
3.776	4.923	3.674	3.609	3.850	
3.776	4.961	3.674	3.609	3.850	
3.776	4.981	3.674	3.609	3.850	
3.776	4.990	3.674	3.609	3.850	
3.776	4.995	3.674	3.609	3.850	
3.776	4.753	3.674	3.609	3.850	
3.776	4.632	3.674	3.609	3.850	
3.776	4.571	3.674	3.609	3.850	
3.776	4.541	3.674	3.609	3.850	
3.776	4.526	3.674	3.609	3.850	
3.776	4.518	3.674	3.609	3.850	
3.776	4.270	3.674	3.609	3.850	
3.776	3.901	3.674	3.609	3.850	
3.776	3.716	3.674	3.609	3.850	
3.776	3.869	3.674	3.609	3.850	
3.776	3.700	3.674	3.609	3.850	
3.776	4.105	3.674	3.609	3.850	
3.776	3.818	3.674	3.609	3.850	
3.776	3.818	3.674	3.609	3.691	
3.776	3.675	3.674	3.609	3.691	
3.776	3.848	3.674	3.609	3.691	
3.776	3.445	3.674	3.609	3.691	
3.654	3.445	3.674	3.609	3.691	
3.838	3.445	3.674	3.609	3.691	
3.685	3.445	3.674	3.609	3.691	
4.098	3.445	3.674	3.609	3.691	
3.815	3.445	3.674	3.609	3.691	
3.673	3.445	3.674	3.609	3.691	
3.673	3.445	3.674	3.609	3.611	
3.673	3.445	3.674	3.609	3.816	
3.673	3.445	3.674	3.609	3.674	
3.673	3.445	3.674	3.609	3.848	
3.673	3.445	3.674	3.609	3.934	
3.673	3.445	3.674	3.609	3.733	
3.673	3.445	3.674	3.609	3.877	
3.673	3.445	3.674	3.609	3.704	
3.673	3.445	3.674	3.609	3.618	
3.673	3.445	3.674	3.609	3.820	
3.673	3.445	3.674	3.609	3.676	
3.673	3.445	3.674	3.609	3.604	
3.673	3.445	3.603	3.609	3.604	
3.673	3.445	3.812	3.609	3.604	
3.673	3.445	3.672	3.609	3.604	
3.602	3.445	3.672	3.609	3.604	
3.602	3.445	3.602	3.609	3.604	
3.602	3.445	3.602	3.570	3.604	
3.602	3.445	3.602	3.570	3.568	
3.322	3.445	3.602	3.570	3.568	
3.672	3.445	3.602	3.570	3.568	
3.357	3.445	3.602	3.570	3.568	
3.357	3.445	3.567	3.570	3.568	
3.357	3.445	3.794	3.570	3.568	
3.357	3.445	3.663	3.570	3.568	
3.357	3.445	3.352	3.570	3.568	
3.357	3.445	3.352	3.551	3.568	
3.357	3.445	3.352	3.786	3.568	
3.357	3.445	3.352	3.659	3.568	
3.357	3.445	3.352	3.350	3.568	
3.357	3.445	3.352	3.350	3.550	
3.357	3.445	3.352	3.350	3.785	
3.357	3.445	3.352	3.350	3.414	
3.357	3.445	3.352	3.350	3.473	
3.357	3.445	3.352	3.350	3.502	
3.357	3.445	3.352	3.350	3.517	
3.357	3.445	3.352	3.350	3.769	
3.357	3.445	3.352	3.350	3.405	
3.357	3.445	3.352	3.350	3.468	
3.357	3.445	3.352	3.350	3.500	
3.357	3.445	3.352	3.350	3.271	
3.357	3.445	3.352	3.350	3.401	
3.357	3.445	3.352	3.350	3.711	
3.357	3.445	3.352	3.350	3.621	
3.357	3.445	3.352	3.350	3.577	
3.357	3.445	3.352	3.350	3.309	
3.357	3.445	3.352	3.350	3.665	
3.357	3.445	3.352	3.350	3.598	
3.357	3.445	3.352	3.350	3.565	
3.357	3.445	3.352	3.350	3.548	
3.357	3.445	3.352	3.350	3.540	
3.357	3.445	3.352	3.350	3.291	
3.357	3.445	3.352	3.350	3.411	
3.357	3.445	3.352	3.350	3.471	
3.357	3.445	3.352	3.350	3.746	
3.357	3.445	3.352	3.350	3.394	
3.357	3.445	3.352	3.350	3.463	
3.357	3.445	3.352	3.350	3.742	
3.357	3.445	3.352	3.350	3.637	
3.357	3.445	3.352	3.350	3.584	
3.357	3.445	3.352	3.350	3.313	
3.357	3.445	3.352	3.350	3.667	
3.357	3.445	3.352	3.350	3.599	
3.357	3.445	3.352	3.350	3.565	
3.357	3.445	3.352	3.350	3.549	
3.357	3.445	3.352	3.350	3.295	
3.357	3.445	3.352	3.350	3.413	
3.357	3.445	3.352	3.350	3.717	
3.357	3.445	3.352	3.350	3.380	
3.357	3.445	3.352	3.350	3.456	
3.357	3.445	3.352	3.350	3.494	
3.357	3.445	3.352	3.350	3.757	
3.357	3.445	3.352	3.350	3.644	
3.357	3.445	3.352	3.350	3.343	
3.357	3.445	3.352	3.350	3.437	
3.357	3.445	3.352	3.350	3.484	
3.357	3.445	3.352	3.350	3.263	
3.357	3.445	3.352	3.350	3.642	
3.357	3.445	3.352	3.350	3.587	
3.357	3.445	3.352	3.350	3.314	
3.357	3.445	3.352	3.350	3.668	
3.357	3.445	3.352	3.350	3.600	
3.357	3.445	3.352	3.350	3.321	
3.357	3.445	3.352	3.350	3.426	
3.357	3.445	3.352	3.350	3.479	
3.357	3.445	3.352	3.350	3.750	
3.357	3.445	3.352	3.350	3.641	
3.357	3.445	3.352	3.350	3.586	
3.357	3.445	3.352	3.350	3.559	
3.357	3.445	3.352	3.350	3.545	
3.357	3.445	3.352	3.350	3.538	
3.357	3.445	3.352	3.350	3.535	
3.357	3.445	3.352	3.350	3.288	
3.357	3.445	3.352	3.350	3.655	
3.357	3.445	3.352	3.350	3.593	
3.357	3.445	3.352	3.350	3.562	
3.357	3.445	3.352	3.350	3.547	
3.357	3.445	3.352	3.350	3.539	
3.357	3.445	3.352	3.350	3.291	
3.357	3.445	3.352	3.350	3.656	
3.357	3.445	3.352	3.350	3.594	
3.357	3.445	3.352	3.350	3.563	
3.357	3.445	3.352	3.350	3.547	
3.357	3.445	3.352	3.350	3.539	
3.357	3.445	3.352	3.350	3.291	
3.357	3.445	3.352	3.350	3.656	
3.357	3.445	3.352	3.350	3.594	
3.357	3.445	3.352	3.350	3.563	
3.357	3.445	3.352	3.350	3.547	
3.357	3.445	3.352	3.350	3.539	
3.357	3.445	3.352	3.350	3.535	
3.357	3.445	3.352	3.350	3.534	
3.357	3.445	3.352	3.350	3.288	
3.357	3.445	3.352	3.350	3.654	
3.357	3.445	3.352	3.350	3.593	
3.357	3.445	3.352	3.350	3.562	
3.357	3.445	3.352	3.350	3.302	
3.357	3.243	3.352	3.350	3.302	
3.357	3.387	3.352	3.350	3.302	
3.357	3.460	3.352	3.350	3.302	
3.357	3.496	3.352	3.350	3.302	
3.357	3.514	3.352	3.350	3.302	
3.357	3.523	3.352	3.350	3.302	
3.357	3.527	3.352	3.350	3.302	
3.357	3.284	3.352	3.350	3.302	
3.357	3.408	3.352	3.350	3.302	
3.357	3.470	3.352	3.350	3.302	
3.357	3.501	3.352	3.350	3.302	
3.357	3.516	3.352	3.350	3.302	
3.357	3.524	3.352	3.350	3.302	
3.357	3.528	3.352	3.350	3.302	
3.357	3.285	3.352	3.350	3.302	
3.357	3.408	3.352	3.350	3.302	
3.357	3.470	3.352	3.350	3.302	
3.357	3.501	3.352	3.350	3.302	
3.357	3.516	3.352	3.350	3.302	
3.357	3.279	3.352	3.350	3.302	
3.357	3.405	3.352	3.350	3.302	
3.357	3.468	3.352	3.350	3.302	
3.357	3.255	3.352	3.350	3.302	
3.357	3.393	3.352	3.350	3.302	
3.357	3.462	3.352	3.350	3.302	
3.357	3.497	3.352	3.350	3.302	
3.357	3.269	3.352	3.350	3.302	
3.357	3.401	3.352	3.350	3.302	
3.357	3.466	3.352	3.350	3.302	
3.357	3.254	3.352	3.350	3.302	
3.357	3.393	3.352	3.350	3.302	
