Server_01	Server_0	Server_0A	Server_0B	Server_02	
3.776	4.000	3.659	3.105	3.147	
3.776	3.766	3.659	3.105	3.147	
3.776	4.138	3.659	3.105	3.147	
3.776	4.080	3.659	3.105	3.147	
3.776	4.050	3.659	3.105	3.147	
3.776	4.036	3.659	3.105	3.147	
3.776	4.028	3.659	3.105	3.147	
3.776	4.025	3.659	3.105	3.147	
3.776	3.778	3.659	3.105	3.147	
3.776	3.655	3.659	3.105	3.147	
3.654	3.655	3.659	3.105	3.147	
3.838	3.655	3.659	3.105	3.147	
3.929	3.655	3.659	3.105	3.147	
3.730	3.655	3.659	3.105	3.147	
3.876	3.655	3.659	3.105	3.147	
3.704	3.655	3.659	3.105	3.147	
3.862	3.655	3.659	3.105	3.147	
4.187	3.655	3.659	3.105	3.147	
3.859	3.655	3.659	3.105	3.147	
3.940	3.655	3.659	3.105	3.147	
3.736	3.655	3.659	3.105	3.147	
3.879	3.655	3.659	3.105	3.147	
3.950	3.655	3.659	3.105	3.147	
3.741	3.655	3.659	3.105	3.147	
3.881	3.655	3.659	3.105	3.147	
3.706	3.655	3.659	3.105	3.147	
3.864	3.655	3.659	3.105	3.147	
3.698	3.655	3.659	3.105	3.147	
3.859	3.655	3.659	3.105	3.147	
3.696	3.655	3.659	3.105	3.147	
3.614	3.655	3.659	3.105	3.147	
3.817	3.655	3.659	3.105	3.147	
3.919	3.655	3.659	3.105	3.147	
3.725	3.655	3.659	3.105	3.147	
3.629	3.655	3.659	3.105	3.147	
3.629	3.655	3.595	3.105	3.147	
3.629	3.655	3.808	3.105	3.147	
3.629	3.655	3.670	3.105	3.147	
3.629	3.655	3.601	3.105	3.147	
3.629	3.593	3.601	3.105	3.147	
3.629	3.807	3.601	3.105	3.147	
3.629	3.669	3.601	3.105	3.147	
3.629	3.356	3.601	3.105	3.147	
3.335	3.356	3.601	3.105	3.147	
3.678	3.356	3.601	3.105	3.147	
3.605	3.356	3.601	3.105	3.147	
3.568	3.356	3.601	3.105	3.147	
3.568	3.356	3.321	3.105	3.147	
3.568	3.356	3.671	3.105	3.147	
3.568	3.356	3.601	3.105	3.147	
3.568	3.356	3.322	3.105	3.147	
3.550	3.356	3.322	3.105	3.147	
3.786	3.356	3.322	3.105	3.147	
3.414	3.356	3.322	3.105	3.147	
3.473	3.356	3.322	3.105	3.147	
3.502	3.356	3.322	3.105	3.147	
3.762	3.356	3.322	3.105	3.147	
3.647	3.356	3.322	3.105	3.147	
3.344	3.356	3.322	3.105	3.147	
3.438	3.356	3.322	3.105	3.147	
3.485	3.356	3.322	3.105	3.147	
3.263	3.356	3.322	3.105	3.147	
3.397	3.356	3.322	3.105	3.147	
3.709	3.356	3.322	3.105	3.147	
3.865	3.356	3.322	3.105	3.147	
3.698	3.356	3.322	3.105	3.147	
3.370	3.356	3.322	3.105	3.147	
3.206	3.356	3.322	3.105	3.147	
3.614	3.356	3.322	3.105	3.147	
3.573	3.356	3.322	3.105	3.147	
3.307	3.356	3.322	3.105	3.147	
3.419	3.356	3.322	3.105	3.147	
3.720	3.356	3.322	3.105	3.147	
3.626	3.356	3.322	3.105	3.147	
3.334	3.356	3.322	3.105	3.147	
3.334	3.199	3.322	3.105	3.147	
3.334	3.365	3.322	3.105	3.147	
3.334	3.693	3.322	3.105	3.147	
3.334	3.612	3.322	3.105	3.147	
3.334	3.572	3.322	3.105	3.147	
3.334	3.307	3.322	3.105	3.147	
3.334	3.419	3.322	3.105	3.147	
3.334	3.720	3.322	3.105	3.147	
3.334	3.381	3.322	3.105	3.147	
3.334	3.456	3.322	3.105	3.147	
3.334	3.739	3.322	3.105	3.147	
3.334	3.635	3.322	3.105	3.147	
3.334	3.338	3.322	3.105	3.147	
3.334	3.190	3.322	3.105	3.147	
3.334	3.361	3.322	3.105	3.147	
3.334	3.691	3.322	3.105	3.147	
3.334	3.366	3.322	3.105	3.147	
3.334	3.449	3.322	3.105	3.147	
3.334	3.735	3.322	3.105	3.147	
3.334	3.633	3.322	3.105	3.147	
3.334	3.582	3.322	3.105	3.147	
3.334	3.312	3.322	3.105	3.147	
3.334	3.667	3.322	3.105	3.147	
3.334	3.599	3.322	3.105	3.147	
3.334	3.320	3.322	3.105	3.147	
3.188	3.320	3.322	3.105	3.147	
3.360	3.320	3.322	3.105	3.147	
3.201	3.320	3.322	3.105	3.147	
3.366	3.320	3.322	3.105	3.147	
3.449	3.320	3.322	3.105	3.147	
3.245	3.320	3.322	3.105	3.147	
3.388	3.320	3.322	3.105	3.147	
3.215	3.320	3.322	3.105	3.147	
3.373	3.320	3.322	3.105	3.147	
3.208	3.320	3.322	3.105	3.147	
3.370	3.320	3.322	3.105	3.147	
3.206	3.320	3.322	3.105	3.147	
3.369	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.450	3.320	3.322	3.105	3.147	
3.246	3.320	3.322	3.105	3.147	
3.389	3.320	3.322	3.105	3.147	
3.215	3.320	3.322	3.105	3.147	
3.373	3.320	3.322	3.105	3.147	
3.208	3.320	3.322	3.105	3.147	
3.370	3.320	3.322	3.105	3.147	
3.206	3.320	3.322	3.105	3.147	
3.369	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.450	3.320	3.322	3.105	3.147	
3.246	3.320	3.322	3.105	3.147	
3.389	3.320	3.322	3.105	3.147	
3.215	3.320	3.322	3.105	3.147	
3.373	3.320	3.322	3.105	3.147	
3.208	3.320	3.322	3.105	3.147	
3.370	3.320	3.322	3.105	3.147	
3.206	3.320	3.322	3.105	3.147	
3.369	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.205	3.320	3.322	3.105	3.147	
3.368	3.320	3.322	3.105	3.147	
3.450	3.320	3.322	3.105	3.147	
3.246	3.320	3.322	3.105	3.147	
3.389	3.320	3.322	3.105	3.147	
3.215	3.320	3.322	3.105	3.147	
3.373	3.320	3.322	3.105	3.147	
3.208	3.320	3.322	3.105	3.147	
