Server_01	Server_0	Server_06	Server_0B	Server_05	
3.776	4.000	3.432	3.524	3.595	
3.899	4.000	3.432	3.524	3.595	
3.960	4.000	3.432	3.524	3.595	
3.991	4.000	3.432	3.524	3.595	
4.006	4.000	3.432	3.524	3.595	
4.014	4.000	3.432	3.524	3.595	
4.017	4.000	3.432	3.524	3.595	
4.019	4.000	3.432	3.524	3.595	
4.020	4.000	3.432	3.524	3.595	
4.021	4.000	3.432	3.524	3.595	
3.776	4.000	3.432	3.524	3.595	
3.899	4.000	3.432	3.524	3.595	
3.960	4.000	3.432	3.524	3.595	
3.991	4.000	3.432	3.524	3.595	
4.006	4.000	3.432	3.524	3.595	
4.014	4.000	3.432	3.524	3.595	
3.773	4.000	3.432	3.524	3.595	
3.897	4.000	3.432	3.524	3.595	
3.897	3.766	3.432	3.524	3.595	
3.714	3.766	3.432	3.524	3.595	
3.714	3.649	3.432	3.524	3.595	
3.378	3.649	3.432	3.524	3.595	
3.378	3.590	3.432	3.524	3.595	
3.378	3.590	3.432	3.524	3.563	
3.378	3.590	3.432	3.524	3.792	
3.378	3.590	3.432	3.524	3.662	
3.378	3.590	3.432	3.524	3.842	
3.378	3.590	3.432	3.524	3.931	
3.378	3.590	3.432	3.524	3.731	
3.378	3.590	3.432	3.524	3.632	
3.378	3.590	3.432	3.524	3.826	
3.378	3.590	3.432	3.524	3.679	
3.378	3.590	3.432	3.524	3.605	
3.378	3.590	3.432	3.524	3.813	
3.378	3.590	3.432	3.524	3.917	
3.378	3.590	3.432	3.524	3.724	
3.378	3.590	3.432	3.524	3.873	
3.378	3.590	3.432	3.524	3.702	
3.378	3.590	3.432	3.524	3.617	
3.378	3.590	3.432	3.524	3.819	
3.378	3.590	3.432	3.524	3.675	
3.378	3.590	3.432	3.524	3.848	
3.378	3.590	3.432	3.524	3.690	
3.378	3.590	3.432	3.524	3.611	
3.378	3.590	3.432	3.524	3.571	
3.378	3.590	3.432	3.524	3.796	
3.378	3.590	3.432	3.524	3.664	
3.378	3.590	3.432	3.524	3.598	
3.378	3.590	3.432	3.524	3.565	
3.378	3.561	3.432	3.524	3.565	
3.378	3.561	3.432	3.524	3.303	
3.378	3.561	3.432	3.524	3.662	
3.378	3.561	3.432	3.524	3.597	
3.378	3.561	3.432	3.524	3.564	
3.378	3.561	3.432	3.524	3.548	
3.378	3.561	3.432	3.524	3.785	
3.378	3.561	3.432	3.524	3.413	
3.378	3.546	3.432	3.524	3.413	
3.378	3.294	3.432	3.524	3.413	
3.378	3.658	3.432	3.524	3.413	
3.378	3.595	3.432	3.524	3.413	
3.378	3.318	3.432	3.524	3.413	
3.378	3.425	3.432	3.524	3.413	
3.378	3.723	3.432	3.524	3.413	
3.378	3.627	3.432	3.524	3.413	
3.378	3.335	3.432	3.524	3.413	
3.378	3.433	3.432	3.524	3.413	
3.378	3.727	3.432	3.524	3.413	
3.378	3.384	3.432	3.524	3.413	
3.378	3.458	3.432	3.524	3.413	
3.378	3.495	3.432	3.524	3.413	
3.378	3.758	3.432	3.524	3.413	
3.378	3.400	3.432	3.524	3.413	
3.378	3.400	3.432	3.283	3.413	
3.378	3.400	3.432	3.652	3.413	
3.378	3.400	3.432	3.347	3.413	
3.378	3.400	3.432	3.439	3.413	
3.378	3.400	3.432	3.485	3.413	
3.378	3.400	3.432	3.509	3.413	
3.378	3.400	3.432	3.275	3.413	
3.378	3.400	3.432	3.648	3.413	
3.378	3.400	3.432	3.590	3.413	
3.378	3.400	3.432	3.561	3.413	
3.378	3.400	3.432	3.791	3.413	
3.378	3.400	3.432	3.661	3.413	
