Server_01	Server_0	Server_0D	Server_00	Server_07	
3.776	4.000	3.229	3.068	3.954	
3.776	3.521	3.229	3.068	3.954	
3.776	3.521	3.229	3.068	3.743	
3.654	3.521	3.229	3.068	3.743	
3.654	3.521	3.229	3.068	3.392	
3.593	3.521	3.229	3.068	3.392	
3.317	3.521	3.229	3.068	3.392	
3.317	3.281	3.229	3.068	3.392	
3.317	3.406	3.229	3.068	3.392	
3.317	3.469	3.229	3.068	3.392	
3.317	3.500	3.229	3.068	3.392	
3.317	3.271	3.229	3.068	3.392	
3.317	3.271	3.229	3.068	3.217	
3.317	3.271	3.229	3.068	3.374	
3.317	3.271	3.229	3.068	3.453	
3.317	3.271	3.229	3.068	3.492	
3.317	3.271	3.229	3.068	3.512	
3.317	3.271	3.229	3.068	3.522	
3.317	3.271	3.229	3.068	3.527	
3.317	3.271	3.229	3.068	3.529	
3.317	3.271	3.229	3.068	3.530	
3.317	3.271	3.229	3.068	3.286	
3.180	3.271	3.229	3.068	3.286	
3.180	3.271	3.229	3.068	3.164	
3.180	3.156	3.229	3.068	3.164	
3.180	3.589	3.229	3.068	3.164	
3.180	3.560	3.229	3.068	3.164	
3.180	3.301	3.229	3.068	3.164	
3.180	3.416	3.229	3.068	3.164	
3.180	3.719	3.229	3.068	3.164	
3.180	3.380	3.229	3.068	3.164	
3.180	3.211	3.229	3.068	3.164	
3.180	3.616	3.229	3.068	3.164	
3.180	3.329	3.229	3.068	3.164	
3.180	3.185	3.229	3.068	3.164	
3.180	3.358	3.229	3.068	3.164	
3.180	3.445	3.229	3.068	3.164	
3.180	3.488	3.229	3.068	3.164	
3.180	3.510	3.229	3.068	3.164	
3.180	3.521	3.229	3.068	3.164	
3.180	3.526	3.229	3.068	3.164	
3.180	3.284	3.229	3.068	3.164	
3.180	3.408	3.229	3.068	3.164	
3.180	3.470	3.229	3.068	3.164	
3.180	3.501	3.229	3.068	3.164	
3.180	3.516	3.229	3.068	3.164	
3.180	3.524	3.229	3.068	3.164	
3.180	3.283	3.229	3.068	3.164	
3.180	3.407	3.229	3.068	3.164	
3.180	3.469	3.229	3.068	3.164	
3.180	3.500	3.229	3.068	3.164	
3.180	3.516	3.229	3.068	3.164	
3.180	3.279	3.229	3.068	3.164	
3.180	3.405	3.229	3.068	3.164	
3.180	3.468	3.229	3.068	3.164	
3.180	3.255	3.229	3.068	3.164	
3.180	3.393	3.229	3.068	3.164	
3.180	3.462	3.229	3.068	3.164	
3.180	3.497	3.229	3.068	3.164	
3.180	3.269	3.229	3.068	3.164	
3.180	3.401	3.229	3.068	3.164	
3.180	3.466	3.229	3.068	3.164	
3.180	3.254	3.229	3.068	3.164	
3.180	3.393	3.229	3.068	3.164	
3.180	3.462	3.229	3.068	3.164	
3.180	3.497	3.229	3.068	3.164	
3.180	3.269	3.229	3.068	3.164	
3.180	3.400	3.229	3.068	3.164	
3.180	3.466	3.229	3.068	3.164	
3.180	3.499	3.229	3.068	3.164	
3.180	3.270	3.229	3.068	3.164	
3.180	3.401	3.229	3.068	3.164	
3.180	3.466	3.229	3.068	3.164	
3.180	3.254	3.229	3.068	3.164	
3.180	3.393	3.229	3.068	3.164	
3.180	3.462	3.229	3.068	3.164	
3.180	3.497	3.229	3.068	3.164	
3.180	3.269	3.229	3.068	3.164	
3.180	3.400	3.229	3.068	3.164	
3.180	3.466	3.229	3.068	3.164	
3.180	3.254	3.229	3.068	3.164	
3.180	3.393	3.229	3.068	3.164	
3.180	3.462	3.229	3.068	3.164	
3.180	3.252	3.229	3.068	3.164	
3.180	3.392	3.229	3.068	3.164	
3.180	3.462	3.229	3.068	3.164	
3.180	3.252	3.229	3.068	3.164	
3.180	3.392	3.229	3.068	3.164	
3.180	3.462	3.229	3.068	3.164	
3.180	3.252	3.229	3.068	3.164	
3.180	3.392	3.229	3.068	3.164	
3.180	3.217	3.229	3.068	3.164	
3.180	3.374	3.229	3.068	3.164	
3.180	3.208	3.229	3.068	3.164	
3.180	3.370	3.229	3.068	3.164	
3.180	3.451	3.229	3.068	3.164	
3.180	3.246	3.229	3.068	3.164	
3.180	3.389	3.229	3.068	3.164	
3.180	3.215	3.229	3.068	3.164	
3.180	3.373	3.229	3.068	3.164	
3.180	3.208	3.229	3.068	3.164	
3.180	3.370	3.229	3.068	3.164	
3.180	3.206	3.229	3.068	3.164	
3.180	3.369	3.229	3.068	3.164	
3.180	3.205	3.229	3.068	3.164	
3.180	3.368	3.229	3.068	3.164	
3.180	3.205	3.229	3.068	3.164	
3.180	3.368	3.229	3.068	3.164	
3.180	3.205	3.229	3.068	3.164	
3.180	3.368	3.229	3.068	3.164	
3.180	3.205	3.229	3.068	3.164	
3.180	3.368	3.229	3.068	3.164	
3.180	3.450	3.229	3.068	3.164	
3.180	3.246	3.229	3.068	3.164	
3.180	3.144	3.229	3.068	3.164	
3.180	3.338	3.229	3.068	3.164	
3.180	3.190	3.229	3.068	3.164	
3.180	3.361	3.229	3.068	3.164	
3.180	3.446	3.229	3.068	3.164	
3.180	3.244	3.229	3.068	3.164	
3.180	3.388	3.229	3.068	3.164	
3.180	3.215	3.229	3.068	3.164	
3.180	3.373	3.229	3.068	3.164	
3.180	3.207	3.229	3.068	3.164	
3.180	3.370	3.229	3.068	3.164	
3.180	3.206	3.229	3.068	3.164	
3.180	3.369	3.229	3.068	3.164	
3.180	3.205	3.229	3.068	3.164	
3.180	3.368	3.229	3.068	3.164	
3.180	3.205	3.229	3.068	3.164	
3.180	3.368	3.229	3.068	3.164	
3.180	3.205	3.229	3.068	3.164	
3.180	3.205	3.135	3.068	3.164	
3.180	3.205	3.333	3.068	3.164	
3.180	3.205	3.433	3.068	3.164	
3.180	3.205	3.482	3.068	3.164	
3.180	3.205	3.262	3.068	3.164	
3.180	3.205	3.397	3.068	3.164	
3.180	3.205	3.464	3.068	3.164	
3.180	3.205	3.498	3.068	3.164	
3.180	3.205	3.270	3.068	3.164	
3.180	3.205	3.401	3.068	3.164	
3.180	3.205	3.466	3.068	3.164	
3.180	3.205	3.499	3.068	3.164	
3.180	3.205	3.270	3.068	3.164	
3.180	3.205	3.401	3.068	3.164	
