Server_01	Server_0	Server_05	Server_0C	Server_00	
3.776	4.000	3.152	3.925	3.113	
3.899	4.000	3.152	3.925	3.113	
3.960	4.000	3.152	3.925	3.113	
3.991	4.000	3.152	3.925	3.113	
4.006	4.000	3.152	3.925	3.113	
4.014	4.000	3.152	3.925	3.113	
4.017	4.000	3.152	3.925	3.113	
4.019	4.000	3.152	3.925	3.113	
4.020	4.000	3.152	3.925	3.113	
4.021	4.000	3.152	3.925	3.113	
3.776	4.000	3.152	3.925	3.113	
3.899	4.000	3.152	3.925	3.113	
3.899	3.766	3.152	3.925	3.113	
3.899	3.766	3.152	3.728	3.113	
3.715	3.766	3.152	3.728	3.113	
3.868	3.766	3.152	3.728	3.113	
3.945	3.766	3.152	3.728	3.113	
3.738	3.766	3.152	3.728	3.113	
3.880	3.766	3.152	3.728	3.113	
3.950	3.766	3.152	3.728	3.113	
3.741	3.766	3.152	3.728	3.113	
3.881	3.766	3.152	3.728	3.113	
3.706	3.766	3.152	3.728	3.113	
3.706	3.649	3.152	3.728	3.113	
3.706	3.649	3.152	3.385	3.113	
3.619	3.649	3.152	3.385	3.113	
3.619	3.590	3.152	3.385	3.113	
3.575	3.590	3.152	3.385	3.113	
3.798	3.590	3.152	3.385	3.113	
3.910	3.590	3.152	3.385	3.113	
3.721	3.590	3.152	3.385	3.113	
3.626	3.590	3.152	3.385	3.113	
3.824	3.590	3.152	3.385	3.113	
3.678	3.590	3.152	3.385	3.113	
3.849	3.590	3.152	3.385	3.113	
3.690	3.590	3.152	3.385	3.113	
3.856	3.590	3.152	3.385	3.113	
3.694	3.590	3.152	3.385	3.113	
3.613	3.590	3.152	3.385	3.113	
3.572	3.590	3.152	3.385	3.113	
3.797	3.590	3.152	3.385	3.113	
3.664	3.590	3.152	3.385	3.113	
3.598	3.590	3.152	3.385	3.113	
3.320	3.590	3.152	3.385	3.113	
3.671	3.590	3.152	3.385	3.113	
3.601	3.590	3.152	3.385	3.113	
3.566	3.590	3.152	3.385	3.113	
3.794	3.590	3.152	3.385	3.113	
3.663	3.590	3.152	3.385	3.113	
3.597	3.590	3.152	3.385	3.113	
3.319	3.590	3.152	3.385	3.113	
3.319	3.561	3.152	3.385	3.113	
3.319	3.301	3.152	3.385	3.113	
3.319	3.416	3.152	3.385	3.113	
3.319	3.719	3.152	3.385	3.113	
3.319	3.380	3.152	3.385	3.113	
3.319	3.380	3.152	3.213	3.113	
3.319	3.380	3.152	3.617	3.113	
3.319	3.380	3.152	3.330	3.113	
3.319	3.380	3.152	3.675	3.113	
3.319	3.380	3.152	3.603	3.113	
3.319	3.380	3.152	3.323	3.113	
3.319	3.380	3.152	3.427	3.113	
3.319	3.380	3.152	3.724	3.113	
