Server_01	Server_0	Server_08	Server_06	Server_05	
3.776	4.000	3.006	3.289	3.855	
3.899	4.000	3.006	3.289	3.855	
3.960	4.000	3.006	3.289	3.855	
3.991	4.000	3.006	3.289	3.855	
4.006	4.000	3.006	3.289	3.855	
4.014	4.000	3.006	3.289	3.855	
4.017	4.000	3.006	3.289	3.855	
4.019	4.000	3.006	3.289	3.855	
4.020	4.000	3.006	3.289	3.855	
4.021	4.000	3.006	3.289	3.855	
4.021	4.000	3.006	3.289	3.855	
4.021	4.000	3.006	3.289	3.855	
4.021	4.000	3.006	3.289	3.855	
4.021	4.000	3.006	3.289	3.855	
4.021	4.000	3.006	3.289	3.855	
3.776	4.000	3.006	3.289	3.855	
3.899	4.000	3.006	3.289	3.855	
3.899	3.766	3.006	3.289	3.855	
3.715	3.766	3.006	3.289	3.855	
3.715	3.766	3.006	3.289	3.693	
3.715	3.766	3.006	3.289	3.857	
3.715	3.766	3.006	3.289	3.694	
3.715	3.766	3.006	3.289	3.858	
3.715	3.766	3.006	3.289	3.939	
3.715	3.766	3.006	3.289	3.736	
3.715	3.649	3.006	3.289	3.736	
3.715	3.649	3.006	3.289	3.389	
3.623	3.649	3.006	3.289	3.389	
3.623	3.590	3.006	3.289	3.389	
3.333	3.590	3.006	3.289	3.389	
3.333	3.561	3.006	3.289	3.389	
3.333	3.546	3.006	3.289	3.389	
3.333	3.784	3.006	3.289	3.389	
3.333	3.658	3.006	3.289	3.389	
3.333	3.595	3.006	3.289	3.389	
3.333	3.563	3.006	3.289	3.389	
3.333	3.547	3.006	3.289	3.389	
3.333	3.539	3.006	3.289	3.389	
3.333	3.780	3.006	3.289	3.389	
3.333	3.656	3.006	3.289	3.389	
3.333	3.594	3.006	3.289	3.389	
3.333	3.563	3.006	3.289	3.389	
3.333	3.547	3.006	3.289	3.389	
3.333	3.539	3.006	3.289	3.389	
3.333	3.535	3.006	3.289	3.389	
3.333	3.778	3.006	3.289	3.389	
3.333	3.410	3.006	3.289	3.389	
3.333	3.226	3.006	3.289	3.389	
3.333	3.624	3.006	3.289	3.389	
3.333	3.578	3.006	3.289	3.389	
3.333	3.310	3.006	3.289	3.389	
3.333	3.310	3.006	3.289	3.215	
3.333	3.310	3.006	3.289	3.373	
3.333	3.310	3.006	3.289	3.697	
3.333	3.310	3.006	3.289	3.614	
3.333	3.310	3.006	3.289	3.573	
3.333	3.310	3.006	3.289	3.307	
3.333	3.310	3.006	3.289	3.664	
3.333	3.310	3.006	3.289	3.598	
3.333	3.310	3.006	3.289	3.565	
3.333	3.310	3.006	3.289	3.303	
3.333	3.310	3.006	3.289	3.662	
3.333	3.310	3.006	3.289	3.352	
3.333	3.310	3.006	3.289	3.442	
3.333	3.310	3.006	3.289	3.731	
3.333	3.310	3.006	3.289	3.632	
3.333	3.310	3.006	3.289	3.337	
3.333	3.310	3.006	3.289	3.679	
3.333	3.310	3.006	3.289	3.605	
3.333	3.310	3.006	3.289	3.568	
3.333	3.310	3.006	3.289	3.305	
3.187	3.310	3.006	3.289	3.305	
3.604	3.310	3.006	3.289	3.305	
3.813	3.310	3.006	3.289	3.305	
3.427	3.310	3.006	3.289	3.305	
3.235	3.310	3.006	3.289	3.305	
3.628	3.310	3.006	3.289	3.305	
3.580	3.310	3.006	3.289	3.305	
3.311	3.310	3.006	3.289	3.305	
3.421	3.310	3.006	3.289	3.305	
3.721	3.310	3.006	3.289	3.305	
3.626	3.310	3.006	3.289	3.305	
3.334	3.310	3.006	3.289	3.305	
3.188	3.310	3.006	3.289	3.305	
3.605	3.310	3.006	3.289	3.305	
3.568	3.310	3.006	3.289	3.305	
3.550	3.310	3.006	3.289	3.305	
3.541	3.310	3.006	3.289	3.305	
3.291	3.310	3.006	3.289	3.305	
3.656	3.310	3.006	3.289	3.305	
3.349	3.310	3.006	3.289	3.305	
3.440	3.310	3.006	3.289	3.305	
3.731	3.310	3.006	3.289	3.305	
