Server_02	Server_0	Server_0D	Server_0B	Server_09	
3.776	4.000	3.858	3.796	3.325	
4.143	4.000	3.858	3.796	3.325	
4.327	4.000	3.858	3.796	3.325	
4.174	4.000	3.858	3.796	3.325	
4.098	4.000	3.858	3.796	3.325	
4.059	4.000	3.858	3.796	3.325	
4.040	4.000	3.858	3.796	3.325	
4.031	4.000	3.858	3.796	3.325	
4.026	4.000	3.858	3.796	3.325	
4.024	4.000	3.858	3.796	3.325	
4.022	4.000	3.858	3.796	3.325	
4.022	4.000	3.858	3.796	3.325	
4.021	4.000	3.858	3.796	3.325	
4.021	4.000	3.858	3.796	3.325	
4.021	4.000	3.858	3.796	3.325	
4.021	4.000	3.858	3.796	3.325	
4.021	4.000	3.858	3.796	3.325	
3.776	4.000	3.858	3.796	3.325	
3.899	4.000	3.858	3.796	3.325	
3.899	3.766	3.858	3.796	3.325	
3.899	3.893	3.858	3.796	3.325	
3.715	3.893	3.858	3.796	3.325	
3.868	3.893	3.858	3.796	3.325	
3.945	3.893	3.858	3.796	3.325	
3.738	3.893	3.858	3.796	3.325	
3.880	3.893	3.858	3.796	3.325	
3.880	3.713	3.858	3.796	3.325	
3.706	3.713	3.858	3.796	3.325	
3.706	3.713	3.695	3.796	3.325	
3.706	3.713	3.695	3.664	3.325	
3.706	3.622	3.695	3.664	3.325	
3.619	3.622	3.695	3.664	3.325	
3.619	3.622	3.613	3.664	3.325	
3.619	3.622	3.613	3.598	3.325	
3.619	3.577	3.613	3.598	3.325	
3.575	3.577	3.613	3.598	3.325	
3.575	3.577	3.572	3.598	3.325	
3.575	3.577	3.797	3.598	3.325	
3.575	3.577	3.664	3.598	3.325	
3.575	3.577	3.843	3.598	3.325	
3.575	3.577	3.687	3.598	3.325	
3.575	3.577	3.609	3.598	3.325	
3.575	3.577	3.815	3.598	3.325	
3.575	3.577	3.673	3.598	3.325	
3.575	3.577	3.847	3.598	3.325	
3.575	3.577	3.689	3.598	3.325	
3.575	3.577	3.611	3.598	3.325	
3.575	3.577	3.571	3.598	3.325	
3.575	3.577	3.796	3.598	3.325	
3.575	3.577	3.664	3.598	3.325	
3.575	3.577	3.598	3.598	3.325	
3.575	3.577	3.565	3.598	3.325	
3.575	3.577	3.565	3.565	3.325	
3.575	3.554	3.565	3.565	3.325	
3.575	3.788	3.565	3.565	3.325	
3.575	3.415	3.565	3.565	3.325	
3.553	3.415	3.565	3.565	3.325	
3.553	3.415	3.303	3.565	3.325	
3.553	3.415	3.662	3.565	3.325	
3.553	3.415	3.597	3.565	3.325	
3.553	3.415	3.319	3.565	3.325	
3.553	3.415	3.670	3.565	3.325	
3.553	3.415	3.601	3.565	3.325	
3.553	3.415	3.566	3.565	3.325	
3.553	3.415	3.304	3.565	3.325	
3.553	3.415	3.663	3.565	3.325	
3.553	3.415	3.597	3.565	3.325	
3.553	3.415	3.564	3.565	3.325	
3.553	3.415	3.564	3.548	3.325	
3.553	3.415	3.548	3.548	3.325	
3.542	3.415	3.548	3.548	3.325	
3.542	3.415	3.548	3.295	3.325	
3.542	3.415	3.540	3.295	3.325	
3.537	3.415	3.540	3.295	3.325	
3.779	3.415	3.540	3.295	3.325	
3.410	3.415	3.540	3.295	3.325	
3.410	3.415	3.536	3.295	3.325	
3.410	3.415	3.534	3.295	3.325	
3.410	3.415	3.288	3.295	3.325	
3.410	3.415	3.410	3.295	3.325	
3.410	3.415	3.715	3.295	3.325	
3.410	3.415	3.624	3.295	3.325	
3.410	3.415	3.822	3.295	3.325	
3.410	3.415	3.677	3.295	3.325	
3.410	3.415	3.359	3.295	3.325	
3.410	3.228	3.359	3.295	3.325	
3.410	3.625	3.359	3.295	3.325	
3.410	3.578	3.359	3.295	3.325	
3.410	3.555	3.359	3.295	3.325	
3.410	3.298	3.359	3.295	3.325	
3.410	3.415	3.359	3.295	3.325	
3.410	3.718	3.359	3.295	3.325	
3.410	3.380	3.359	3.295	3.325	
3.226	3.380	3.359	3.295	3.325	
3.624	3.380	3.359	3.295	3.325	
3.333	3.380	3.359	3.295	3.325	
3.677	3.380	3.359	3.295	3.325	
3.604	3.380	3.359	3.295	3.325	
3.568	3.380	3.359	3.295	3.325	
3.550	3.380	3.359	3.295	3.325	
3.296	3.380	3.359	3.295	3.325	
3.658	3.380	3.359	3.295	3.325	
3.350	3.380	3.359	3.295	3.325	
3.350	3.211	3.359	3.295	3.325	
3.350	3.616	3.359	3.295	3.325	
3.350	3.329	3.359	3.295	3.325	
3.350	3.329	3.201	3.295	3.325	
3.350	3.329	3.611	3.295	3.325	
3.350	3.329	3.326	3.295	3.325	
3.350	3.329	3.674	3.295	3.325	
3.350	3.329	3.603	3.295	3.325	
3.350	3.329	3.322	3.295	3.325	
3.350	3.329	3.427	3.295	3.325	
3.350	3.329	3.479	3.295	3.325	
3.350	3.329	3.750	3.295	3.325	
3.350	3.329	3.641	3.295	3.325	
3.350	3.329	3.586	3.295	3.325	
3.350	3.329	3.559	3.295	3.325	
3.350	3.329	3.545	3.295	3.325	
3.350	3.329	3.538	3.295	3.325	
3.350	3.329	3.290	3.295	3.325	
3.350	3.329	3.411	3.295	3.325	
3.350	3.329	3.471	3.295	3.325	
3.350	3.329	3.501	3.295	3.325	
3.350	3.329	3.272	3.295	3.325	
3.350	3.329	3.402	3.295	3.325	
3.350	3.329	3.711	3.295	3.325	
3.350	3.329	3.377	3.295	3.325	
3.350	3.329	3.699	3.295	3.325	
3.350	3.329	3.615	3.295	3.325	
3.350	3.329	3.573	3.295	3.325	
3.350	3.329	3.553	3.295	3.325	
3.350	3.329	3.542	3.295	3.325	
3.350	3.329	3.537	3.295	3.325	
3.350	3.329	3.534	3.295	3.325	
3.350	3.329	3.288	3.295	3.325	
3.350	3.329	3.655	3.295	3.325	
3.350	3.329	3.593	3.295	3.325	
3.350	3.329	3.562	3.295	3.325	
3.350	3.329	3.547	3.295	3.325	
3.350	3.329	3.294	3.295	3.325	
3.350	3.329	3.413	3.295	3.325	
3.350	3.329	3.472	3.295	3.325	
3.350	3.329	3.502	3.295	3.325	
3.350	3.329	3.762	3.295	3.325	
3.350	3.329	3.647	3.295	3.325	
3.350	3.329	3.589	3.295	3.325	
3.350	3.329	3.315	3.295	3.325	
3.196	3.329	3.315	3.295	3.325	
3.609	3.329	3.315	3.295	3.325	
3.570	3.329	3.315	3.295	3.325	
3.306	3.329	3.315	3.295	3.325	
3.664	3.329	3.315	3.295	3.325	
3.598	3.329	3.315	3.295	3.325	
3.565	3.329	3.315	3.295	3.325	
3.548	3.329	3.315	3.295	3.325	
3.540	3.329	3.315	3.295	3.325	
3.536	3.329	3.315	3.295	3.325	
3.534	3.329	3.315	3.295	3.325	
3.777	3.329	3.315	3.295	3.325	
3.655	3.329	3.315	3.295	3.325	
3.593	3.329	3.315	3.295	3.325	
3.562	3.329	3.315	3.295	3.325	
3.547	3.329	3.315	3.295	3.325	
3.539	3.329	3.315	3.295	3.325	
3.535	3.329	3.315	3.295	3.325	
3.534	3.329	3.315	3.295	3.325	
3.533	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.287	3.329	3.315	3.295	3.325	
3.654	3.329	3.315	3.295	3.325	
3.593	3.329	3.315	3.295	3.325	
3.562	3.329	3.315	3.295	3.325	
3.302	3.329	3.315	3.295	3.325	
3.417	3.329	3.315	3.295	3.325	
3.229	3.329	3.315	3.295	3.325	
3.625	3.329	3.315	3.295	3.325	
3.578	3.329	3.315	3.295	3.325	
3.555	3.329	3.315	3.295	3.325	
3.543	3.329	3.315	3.295	3.325	
3.537	3.329	3.315	3.295	3.325	
3.535	3.329	3.315	3.295	3.325	
3.533	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.287	3.329	3.315	3.295	3.325	
3.409	3.329	3.315	3.295	3.325	
3.715	3.329	3.315	3.295	3.325	
3.623	3.329	3.315	3.295	3.325	
3.577	3.329	3.315	3.295	3.325	
3.555	3.329	3.315	3.295	3.325	
3.543	3.329	3.315	3.295	3.325	
3.292	3.329	3.315	3.295	3.325	
3.657	3.329	3.315	3.295	3.325	
3.594	3.329	3.315	3.295	3.325	
3.563	3.329	3.315	3.295	3.325	
3.547	3.329	3.315	3.295	3.325	
3.539	3.329	3.315	3.295	3.325	
3.536	3.329	3.315	3.295	3.325	
3.534	3.329	3.315	3.295	3.325	
3.777	3.329	3.315	3.295	3.325	
3.654	3.329	3.315	3.295	3.325	
3.593	3.329	3.315	3.295	3.325	
3.562	3.329	3.315	3.295	3.325	
3.547	3.329	3.315	3.295	3.325	
3.539	3.329	3.315	3.295	3.325	
3.535	3.329	3.315	3.295	3.325	
3.534	3.329	3.315	3.295	3.325	
3.533	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.532	3.329	3.315	3.295	3.325	
3.287	3.329	3.315	3.295	3.325	
3.654	3.329	3.315	3.295	3.325	
3.593	3.329	3.315	3.295	3.325	
3.562	3.329	3.315	3.295	3.325	
3.302	3.329	3.315	3.295	3.325	
3.417	3.329	3.315	3.295	3.325	
3.719	3.329	3.315	3.295	3.325	
3.625	3.329	3.315	3.295	3.325	
3.578	3.329	3.315	3.295	3.325	
3.555	3.329	3.315	3.295	3.325	
3.543	3.329	3.315	3.295	3.325	
3.537	3.329	3.315	3.295	3.325	
3.535	3.329	3.315	3.295	3.325	
3.533	3.329	3.315	3.295	3.325	
3.287	3.329	3.315	3.295	3.325	
3.654	3.329	3.315	3.295	3.325	
3.593	3.329	3.315	3.295	3.325	
3.317	3.329	3.315	3.295	3.325	
3.317	3.185	3.315	3.295	3.325	
