Server_02	Server_0	Server_0F	Server_0B	Server_00	
3.776	4.000	3.224	3.466	3.773	
4.143	4.000	3.224	3.466	3.773	
4.082	4.000	3.224	3.466	3.773	
4.052	4.000	3.224	3.466	3.773	
4.036	4.000	3.224	3.466	3.773	
4.029	4.000	3.224	3.466	3.773	
4.025	4.000	3.224	3.466	3.773	
4.023	4.000	3.224	3.466	3.773	
4.022	4.000	3.224	3.466	3.773	
4.022	4.000	3.224	3.466	3.773	
4.021	4.000	3.224	3.466	3.773	
4.021	4.000	3.224	3.466	3.773	
4.021	4.000	3.224	3.466	3.773	
4.021	4.000	3.224	3.466	3.773	
4.021	4.000	3.224	3.466	3.773	
4.021	4.000	3.224	3.466	3.773	
4.021	4.000	3.224	3.466	3.773	
3.776	4.000	3.224	3.466	3.773	
3.899	4.000	3.224	3.466	3.773	
3.899	3.766	3.224	3.466	3.773	
3.899	3.893	3.224	3.466	3.773	
3.715	3.893	3.224	3.466	3.773	
3.868	3.893	3.224	3.466	3.773	
3.945	3.893	3.224	3.466	3.773	
3.738	3.893	3.224	3.466	3.773	
3.880	3.893	3.224	3.466	3.773	
3.880	3.713	3.224	3.466	3.773	
3.706	3.713	3.224	3.466	3.773	
3.706	3.713	3.224	3.466	3.652	
3.706	3.622	3.224	3.466	3.652	
3.619	3.622	3.224	3.466	3.652	
3.619	3.622	3.224	3.466	3.592	
3.619	3.577	3.224	3.466	3.592	
3.330	3.577	3.224	3.466	3.592	
3.330	3.577	3.224	3.466	3.562	
3.330	3.554	3.224	3.466	3.562	
3.330	3.554	3.224	3.466	3.547	
3.330	3.554	3.224	3.466	3.784	
3.330	3.554	3.224	3.466	3.903	
3.330	3.554	3.224	3.466	3.717	
3.330	3.554	3.224	3.466	3.869	
3.330	3.554	3.224	3.466	3.700	
3.330	3.554	3.224	3.466	3.616	
3.330	3.554	3.224	3.466	3.819	
3.330	3.554	3.224	3.466	3.675	
3.330	3.554	3.224	3.466	3.848	
3.330	3.554	3.224	3.466	3.690	
3.330	3.554	3.224	3.466	3.611	
3.330	3.554	3.224	3.466	3.571	
3.330	3.554	3.224	3.466	3.551	
3.330	3.554	3.224	3.466	3.786	
3.330	3.554	3.224	3.466	3.659	
3.330	3.554	3.224	3.466	3.595	
3.330	3.554	3.224	3.466	3.319	
3.330	3.554	3.224	3.466	3.670	
3.330	3.554	3.224	3.466	3.601	
3.330	3.554	3.224	3.466	3.321	
3.330	3.554	3.224	3.466	3.671	
3.330	3.554	3.224	3.466	3.601	
3.330	3.554	3.224	3.466	3.811	
3.330	3.554	3.224	3.466	3.427	
3.330	3.543	3.224	3.466	3.427	
3.330	3.292	3.224	3.466	3.427	
3.330	3.657	3.224	3.466	3.427	
3.330	3.594	3.224	3.466	3.427	
3.330	3.318	3.224	3.466	3.427	
3.330	3.425	3.224	3.466	3.427	
3.330	3.723	3.224	3.466	3.427	
3.330	3.627	3.224	3.466	3.427	
3.330	3.335	3.224	3.466	3.427	
3.330	3.433	3.224	3.466	3.427	
3.330	3.727	3.224	3.466	3.427	
3.330	3.629	3.224	3.466	3.427	
3.330	3.336	3.224	3.466	3.427	
3.330	3.434	3.224	3.466	3.427	
3.330	3.727	3.224	3.466	3.427	
3.330	3.385	3.224	3.466	3.427	
3.330	3.385	3.224	3.254	3.427	
3.330	3.385	3.224	3.638	3.427	
3.330	3.385	3.224	3.340	3.427	
3.330	3.385	3.224	3.340	3.234	
3.330	3.385	3.224	3.340	3.628	
3.330	3.385	3.224	3.340	3.580	
3.330	3.385	3.224	3.340	3.311	
3.330	3.385	3.224	3.340	3.421	
3.330	3.385	3.224	3.340	3.721	
3.330	3.385	3.224	3.340	3.626	
3.330	3.385	3.224	3.340	3.334	
3.330	3.385	3.224	3.340	3.678	
3.330	3.385	3.224	3.340	3.605	
3.330	3.385	3.224	3.340	3.568	
3.330	3.385	3.224	3.340	3.550	
3.330	3.385	3.224	3.340	3.541	
