Server_02	Server_0	Server_06	Server_04	Server_01	
3.776	4.000	3.741	3.469	3.365	
3.899	4.000	3.741	3.469	3.365	
3.899	3.766	3.741	3.469	3.365	
3.715	3.766	3.741	3.469	3.365	
3.868	3.766	3.741	3.469	3.365	
3.945	3.766	3.741	3.469	3.365	
3.983	3.766	3.741	3.469	3.365	
3.757	3.766	3.741	3.469	3.365	
3.889	3.766	3.741	3.469	3.365	
3.955	3.766	3.741	3.469	3.365	
3.743	3.766	3.741	3.469	3.365	
3.882	3.766	3.741	3.469	3.365	
3.707	3.766	3.741	3.469	3.365	
3.864	3.766	3.741	3.469	3.365	
3.698	3.766	3.741	3.469	3.365	
3.860	3.766	3.741	3.469	3.365	
3.696	3.766	3.741	3.469	3.365	
3.696	3.649	3.741	3.469	3.365	
3.696	3.649	3.636	3.469	3.365	
3.614	3.649	3.636	3.469	3.365	
3.614	3.590	3.636	3.469	3.365	
3.614	3.590	3.584	3.469	3.365	
3.614	3.590	3.803	3.469	3.365	
3.614	3.590	3.912	3.469	3.365	
3.614	3.590	3.722	3.469	3.365	
3.614	3.590	3.871	3.469	3.365	
3.614	3.590	3.946	3.469	3.365	
3.614	3.590	3.739	3.469	3.365	
3.614	3.590	3.880	3.469	3.365	
3.614	3.590	3.706	3.469	3.365	
3.614	3.590	3.619	3.469	3.365	
3.614	3.590	3.820	3.469	3.365	
3.614	3.590	3.676	3.469	3.365	
3.614	3.590	3.604	3.469	3.365	
3.328	3.590	3.604	3.469	3.365	
3.674	3.590	3.604	3.469	3.365	
3.603	3.590	3.604	3.469	3.365	
3.603	3.590	3.568	3.469	3.365	
3.603	3.590	3.794	3.469	3.365	
3.603	3.590	3.418	3.469	3.365	
3.567	3.590	3.418	3.469	3.365	
3.794	3.590	3.418	3.469	3.365	
3.418	3.590	3.418	3.469	3.365	
3.418	3.561	3.418	3.469	3.365	
3.418	3.301	3.418	3.469	3.365	
3.418	3.661	3.418	3.469	3.365	
3.418	3.596	3.418	3.469	3.365	
3.418	3.319	3.418	3.469	3.365	
3.418	3.425	3.418	3.469	3.365	
3.418	3.723	3.418	3.469	3.365	
3.418	3.627	3.418	3.469	3.365	
3.418	3.335	3.418	3.469	3.365	
3.418	3.678	3.418	3.469	3.365	
3.418	3.605	3.418	3.469	3.365	
3.418	3.323	3.418	3.469	3.365	
3.418	3.427	3.418	3.469	3.365	
3.418	3.724	3.418	3.469	3.365	
3.418	3.628	3.418	3.469	3.365	
3.418	3.335	3.418	3.469	3.365	
3.418	3.335	3.418	3.256	3.365	
3.418	3.335	3.418	3.394	3.365	
3.418	3.335	3.418	3.463	3.365	
3.418	3.335	3.418	3.742	3.365	
3.418	3.335	3.418	3.637	3.365	
3.418	3.335	3.418	3.829	3.365	
3.418	3.335	3.418	3.680	3.365	
3.418	3.335	3.418	3.361	3.365	
3.418	3.335	3.418	3.446	3.365	
3.418	3.335	3.418	3.489	3.365	
3.418	3.335	3.418	3.755	3.365	
3.418	3.335	3.418	3.643	3.365	
3.418	3.335	3.418	3.343	3.365	
3.418	3.335	3.418	3.437	3.365	
3.418	3.335	3.418	3.484	3.365	
3.418	3.335	3.418	3.508	3.365	
3.418	3.335	3.418	3.520	3.365	
3.418	3.335	3.418	3.281	3.365	
3.418	3.335	3.418	3.406	3.365	
3.418	3.335	3.418	3.714	3.365	
3.418	3.335	3.418	3.378	3.365	
3.418	3.335	3.418	3.699	3.365	
3.418	3.335	3.418	3.616	3.365	
3.418	3.335	3.418	3.574	3.365	
3.418	3.335	3.418	3.308	3.365	
3.418	3.335	3.230	3.308	3.365	
3.418	3.335	3.381	3.308	3.365	
3.418	3.335	3.701	3.308	3.365	
3.418	3.335	3.371	3.308	3.365	
3.418	3.335	3.451	3.308	3.365	
3.418	3.335	3.736	3.308	3.365	
3.418	3.335	3.389	3.308	3.365	
3.230	3.335	3.389	3.308	3.365	
3.626	3.335	3.389	3.308	3.365	
3.334	3.335	3.389	3.308	3.365	
3.433	3.335	3.389	3.308	3.365	
3.727	3.335	3.389	3.308	3.365	
3.384	3.335	3.389	3.308	3.365	
3.458	3.335	3.389	3.308	3.365	
3.250	3.335	3.389	3.308	3.365	
3.391	3.335	3.389	3.308	3.365	
3.706	3.335	3.389	3.308	3.365	
3.619	3.335	3.389	3.308	3.365	
3.330	3.335	3.389	3.308	3.365	
3.676	3.335	3.389	3.308	3.365	
3.604	3.335	3.389	3.308	3.365	
3.568	3.335	3.389	3.308	3.365	
3.550	3.335	3.389	3.308	3.365	
3.541	3.335	3.389	3.308	3.365	
3.536	3.335	3.389	3.308	3.365	
3.779	3.335	3.389	3.308	3.365	
3.655	3.335	3.389	3.308	3.365	
3.348	3.335	3.389	3.308	3.365	
3.348	3.335	3.215	3.308	3.365	
3.348	3.335	3.374	3.308	3.365	
3.348	3.335	3.697	3.308	3.365	
3.348	3.335	3.614	3.308	3.365	
3.348	3.335	3.573	3.308	3.365	
3.348	3.335	3.552	3.308	3.365	
3.348	3.335	3.542	3.308	3.365	
3.348	3.335	3.537	3.308	3.365	
3.348	3.335	3.534	3.308	3.365	
3.348	3.335	3.533	3.308	3.365	
3.348	3.335	3.287	3.308	3.365	
3.348	3.335	3.409	3.308	3.365	
3.348	3.335	3.715	3.308	3.365	
3.348	3.335	3.379	3.308	3.365	
3.348	3.335	3.210	3.308	3.365	
3.348	3.335	3.616	3.308	3.365	
3.348	3.335	3.574	3.308	3.365	
3.348	3.335	3.553	3.308	3.365	
3.348	3.335	3.542	3.308	3.365	
3.348	3.335	3.292	3.308	3.365	
3.348	3.335	3.657	3.308	3.365	
3.348	3.335	3.594	3.308	3.365	
3.348	3.335	3.318	3.308	3.365	
3.348	3.335	3.318	3.308	3.203	
3.348	3.335	3.318	3.308	3.367	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.450	
3.348	3.335	3.318	3.308	3.246	
3.348	3.335	3.318	3.308	3.389	
3.348	3.335	3.318	3.308	3.215	
3.348	3.335	3.318	3.308	3.373	
3.348	3.335	3.318	3.308	3.208	
3.348	3.335	3.318	3.308	3.370	
3.348	3.335	3.318	3.308	3.206	
3.348	3.335	3.318	3.308	3.369	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.450	
3.348	3.335	3.318	3.308	3.246	
3.348	3.335	3.318	3.308	3.389	
3.348	3.335	3.318	3.308	3.215	
3.348	3.335	3.318	3.308	3.373	
3.348	3.335	3.318	3.308	3.208	
3.348	3.335	3.318	3.308	3.370	
3.348	3.335	3.318	3.308	3.206	
3.348	3.335	3.318	3.308	3.369	
3.348	3.335	3.318	3.308	3.205	
3.348	3.335	3.318	3.308	3.368	
3.348	3.335	3.318	3.308	3.450	
3.348	3.335	3.318	3.308	3.246	
3.348	3.335	3.318	3.308	3.389	
3.348	3.335	3.318	3.308	3.215	
3.348	3.335	3.318	3.308	3.373	
3.348	3.335	3.318	3.308	3.208	
3.348	3.335	3.318	3.308	3.370	
3.348	3.335	3.318	3.308	3.206	
