Server_02	Server_0	Server_01	Server_0C	Server_0D	
3.776	4.000	3.455	3.931	3.659	
4.388	4.000	3.455	3.931	3.659	
4.694	4.000	3.455	3.931	3.659	
4.602	4.000	3.455	3.931	3.659	
4.312	4.000	3.455	3.931	3.659	
4.166	4.000	3.455	3.931	3.659	
4.094	4.000	3.455	3.931	3.659	
4.058	4.000	3.455	3.931	3.659	
4.039	4.000	3.455	3.931	3.659	
4.030	4.000	3.455	3.931	3.659	
4.026	4.000	3.455	3.931	3.659	
4.023	4.000	3.455	3.931	3.659	
4.022	4.000	3.455	3.931	3.659	
4.022	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
4.021	4.000	3.455	3.931	3.659	
3.776	4.000	3.455	3.931	3.659	
3.899	4.000	3.455	3.931	3.659	
3.899	3.766	3.455	3.931	3.659	
3.899	3.766	3.455	3.731	3.659	
3.899	3.766	3.455	3.876	3.659	
3.715	3.766	3.455	3.876	3.659	
3.715	3.766	3.455	3.704	3.659	
3.715	3.766	3.455	3.863	3.659	
3.715	3.766	3.455	3.697	3.659	
3.715	3.649	3.455	3.697	3.659	
3.623	3.649	3.455	3.697	3.659	
3.822	3.649	3.455	3.697	3.659	
3.677	3.649	3.455	3.697	3.659	
3.677	3.649	3.455	3.614	3.659	
3.604	3.649	3.455	3.614	3.659	
3.604	3.649	3.455	3.614	3.596	
3.604	3.649	3.455	3.614	3.808	
3.604	3.649	3.455	3.614	3.670	
3.604	3.649	3.455	3.614	3.846	
3.604	3.649	3.455	3.614	3.689	
3.604	3.649	3.455	3.614	3.610	
3.604	3.649	3.455	3.614	3.816	
3.604	3.649	3.455	3.614	3.674	
3.604	3.649	3.455	3.614	3.603	
3.604	3.590	3.455	3.614	3.603	
3.604	3.806	3.455	3.614	3.603	
3.604	3.424	3.455	3.614	3.603	
3.604	3.424	3.455	3.573	3.603	
3.568	3.424	3.455	3.573	3.603	
3.568	3.424	3.455	3.573	3.567	
3.568	3.424	3.455	3.552	3.567	
3.305	3.424	3.455	3.552	3.567	
3.305	3.424	3.455	3.552	3.549	
3.305	3.424	3.455	3.552	3.785	
3.305	3.424	3.455	3.552	3.414	
3.305	3.424	3.455	3.297	3.414	
3.305	3.424	3.455	3.414	3.414	
3.305	3.424	3.455	3.473	3.414	
3.305	3.424	3.455	3.747	3.414	
3.305	3.424	3.455	3.639	3.414	
3.305	3.424	3.455	3.341	3.414	
3.305	3.424	3.455	3.681	3.414	
3.305	3.424	3.455	3.606	3.414	
3.305	3.424	3.455	3.324	3.414	
3.305	3.424	3.455	3.673	3.414	
3.305	3.424	3.455	3.357	3.414	
3.305	3.424	3.248	3.357	3.414	
3.305	3.424	3.635	3.357	3.414	
3.305	3.424	3.583	3.357	3.414	
3.305	3.424	3.313	3.357	3.414	
3.305	3.424	3.667	3.357	3.414	
3.305	3.424	3.599	3.357	3.414	
3.305	3.424	3.810	3.357	3.414	
3.305	3.424	3.671	3.357	3.414	
3.305	3.424	3.356	3.357	3.414	
3.305	3.424	3.444	3.357	3.414	
3.305	3.424	3.488	3.357	3.414	
3.305	3.424	3.510	3.357	3.414	
3.305	3.424	3.276	3.357	3.414	
3.305	3.424	3.404	3.357	3.414	
