Server_02	Server_0	Server_05	Server_0C	Server_07	
3.776	4.000	3.184	3.744	3.873	
4.388	4.000	3.184	3.744	3.873	
3.226	4.000	3.184	3.744	3.873	
3.624	4.000	3.184	3.744	3.873	
3.822	4.000	3.184	3.744	3.873	
3.922	4.000	3.184	3.744	3.873	
3.971	4.000	3.184	3.744	3.873	
3.971	3.766	3.184	3.744	3.873	
3.971	4.383	3.184	3.744	3.873	
3.971	4.691	3.184	3.744	3.873	
3.971	4.846	3.184	3.744	3.873	
3.971	4.678	3.184	3.744	3.873	
3.971	4.594	3.184	3.744	3.873	
3.971	4.308	3.184	3.744	3.873	
3.971	4.164	3.184	3.744	3.873	
3.971	4.093	3.184	3.744	3.873	
3.971	4.057	3.184	3.744	3.873	
3.971	4.039	3.184	3.744	3.873	
3.971	3.785	3.184	3.744	3.873	
3.971	3.903	3.184	3.744	3.873	
3.752	3.903	3.184	3.744	3.873	
3.886	3.903	3.184	3.744	3.873	
3.954	3.903	3.184	3.744	3.873	
3.987	3.903	3.184	3.744	3.873	
3.760	3.903	3.184	3.744	3.873	
4.135	3.903	3.184	3.744	3.873	
3.833	3.903	3.184	3.744	3.873	
3.927	3.903	3.184	3.744	3.873	
3.729	3.903	3.184	3.744	3.873	
4.120	3.903	3.184	3.744	3.873	
3.826	3.903	3.184	3.744	3.873	
3.923	3.903	3.184	3.744	3.873	
3.728	3.903	3.184	3.744	3.873	
3.874	3.903	3.184	3.744	3.873	
3.874	3.717	3.184	3.744	3.873	
3.874	3.869	3.184	3.744	3.873	
3.703	3.869	3.184	3.744	3.873	
3.703	3.869	3.184	3.744	3.702	
3.703	3.869	3.184	3.744	3.862	
3.703	3.700	3.184	3.744	3.862	
3.703	3.700	3.184	3.744	3.697	
3.703	3.700	3.184	3.744	3.859	
3.703	3.700	3.184	3.744	3.695	
3.703	3.700	3.184	3.744	3.858	
3.703	3.700	3.184	3.744	3.695	
3.703	3.700	3.184	3.638	3.695	
3.617	3.700	3.184	3.638	3.695	
3.617	3.616	3.184	3.638	3.695	
3.617	3.616	3.184	3.638	3.368	
3.617	3.616	3.184	3.638	3.695	
