Server_02	Server_0	Server_01	Server_04	Server_0D	
3.776	4.000	3.603	3.415	3.630	
3.899	4.000	3.603	3.415	3.630	
3.960	4.000	3.603	3.415	3.630	
3.991	4.000	3.603	3.415	3.630	
4.006	4.000	3.603	3.415	3.630	
4.014	4.000	3.603	3.415	3.630	
4.017	4.000	3.603	3.415	3.630	
4.019	4.000	3.603	3.415	3.630	
4.020	4.000	3.603	3.415	3.630	
4.021	4.000	3.603	3.415	3.630	
4.021	4.000	3.603	3.415	3.630	
4.021	4.000	3.603	3.415	3.630	
4.021	4.000	3.603	3.415	3.630	
4.021	4.000	3.603	3.415	3.630	
4.021	4.000	3.603	3.415	3.630	
4.021	4.000	3.603	3.415	3.630	
3.776	4.000	3.603	3.415	3.630	
3.776	3.766	3.603	3.415	3.630	
3.654	3.766	3.603	3.415	3.630	
3.654	3.649	3.603	3.415	3.630	
3.593	3.649	3.603	3.415	3.630	
3.593	3.590	3.603	3.415	3.630	
3.593	3.590	3.603	3.415	3.581	
3.593	3.590	3.567	3.415	3.581	
3.593	3.590	3.794	3.415	3.581	
3.593	3.590	3.908	3.415	3.581	
3.593	3.590	3.720	3.415	3.581	
3.593	3.590	4.115	3.415	3.581	
3.593	3.590	3.823	3.415	3.581	
3.593	3.590	3.922	3.415	3.581	
3.593	3.590	3.727	3.415	3.581	
3.593	3.590	3.629	3.415	3.581	
3.593	3.590	3.825	3.415	3.581	
3.593	3.590	3.923	3.415	3.581	
3.593	3.590	3.727	3.415	3.581	
3.593	3.590	3.874	3.415	3.581	
3.593	3.590	3.703	3.415	3.581	
3.593	3.590	3.617	3.415	3.581	
3.593	3.590	3.574	3.415	3.581	
3.593	3.590	3.798	3.415	3.581	
3.593	3.590	3.909	3.415	3.581	
3.593	3.590	3.721	3.415	3.581	
3.593	3.590	3.871	3.415	3.581	
3.593	3.590	3.701	3.415	3.581	
3.593	3.590	3.616	3.415	3.581	
3.593	3.590	3.574	3.415	3.581	
3.593	3.590	3.798	3.415	3.581	
3.593	3.590	3.665	3.415	3.581	
3.593	3.590	3.353	3.415	3.581	
3.593	3.590	3.687	3.415	3.581	
3.593	3.590	3.609	3.415	3.581	
3.593	3.590	3.570	3.415	3.581	
3.562	3.590	3.570	3.415	3.581	
3.562	3.561	3.570	3.415	3.581	
3.562	3.561	3.570	3.415	3.311	
3.562	3.561	3.306	3.415	3.311	
3.547	3.561	3.306	3.415	3.311	
3.784	3.561	3.306	3.415	3.311	
3.658	3.561	3.306	3.415	3.311	
3.350	3.561	3.306	3.415	3.311	
3.685	3.561	3.306	3.415	3.311	
3.609	3.561	3.306	3.415	3.311	
3.325	3.561	3.306	3.415	3.311	
3.325	3.546	3.306	3.415	3.311	
3.325	3.294	3.306	3.415	3.311	
3.325	3.413	3.306	3.415	3.311	
3.325	3.717	3.306	3.415	3.311	
3.325	3.624	3.306	3.415	3.311	
3.325	3.333	3.306	3.415	3.311	
3.325	3.677	3.306	3.415	3.311	
3.325	3.604	3.306	3.415	3.311	
3.325	3.568	3.306	3.415	3.311	
3.325	3.305	3.306	3.415	3.311	
3.325	3.418	3.306	3.415	3.311	
3.325	3.720	3.306	3.415	3.311	
3.325	3.626	3.306	3.415	3.311	
3.325	3.334	3.306	3.415	3.311	
3.325	3.677	3.306	3.415	3.311	
3.325	3.605	3.306	3.415	3.311	
3.325	3.568	3.306	3.415	3.311	
3.325	3.305	3.306	3.415	3.311	
3.325	3.305	3.306	3.228	3.311	
3.325	3.305	3.306	3.625	3.311	
3.325	3.305	3.306	3.578	3.311	
3.325	3.305	3.306	3.555	3.311	
3.325	3.305	3.306	3.298	3.311	
3.325	3.305	3.306	3.415	3.311	
3.325	3.305	3.306	3.718	3.311	
3.325	3.305	3.306	3.625	3.311	
3.325	3.305	3.306	3.578	3.311	
3.325	3.305	3.306	3.310	3.311	
3.325	3.305	3.306	3.666	3.311	
3.325	3.305	3.306	3.354	3.311	
3.325	3.305	3.306	3.198	3.311	
3.325	3.305	3.306	3.609	3.311	
3.325	3.305	3.306	3.571	3.311	
3.325	3.305	3.306	3.551	3.311	
3.325	3.305	3.306	3.296	3.311	
3.325	3.305	3.306	3.414	3.311	
3.325	3.305	3.306	3.718	3.311	
3.325	3.305	3.306	3.625	3.311	
3.325	3.305	3.306	3.333	3.311	
3.325	3.305	3.306	3.187	3.311	
3.325	3.305	3.306	3.604	3.311	
3.325	3.305	3.306	3.568	3.311	
3.325	3.305	3.306	3.795	3.311	
3.325	3.305	3.306	3.663	3.311	
3.325	3.305	3.306	3.597	3.311	
3.325	3.305	3.306	3.564	3.311	
3.325	3.305	3.306	3.548	3.311	
3.325	3.305	3.306	3.295	3.311	
3.325	3.305	3.306	3.658	3.311	
3.325	3.305	3.306	3.595	3.311	
3.325	3.305	3.306	3.318	3.311	
3.183	3.305	3.306	3.318	3.311	
3.358	3.305	3.306	3.318	3.311	
3.445	3.305	3.306	3.318	3.311	
3.733	3.305	3.306	3.318	3.311	
3.632	3.305	3.306	3.318	3.311	
3.582	3.305	3.306	3.318	3.311	
3.802	3.305	3.306	3.318	3.311	
3.667	3.305	3.306	3.318	3.311	
3.599	3.305	3.306	3.318	3.311	
3.565	3.305	3.306	3.318	3.311	
3.548	3.305	3.306	3.318	3.311	
3.295	3.305	3.306	3.318	3.311	
3.413	3.305	3.306	3.318	3.311	
3.717	3.305	3.306	3.318	3.311	
3.624	3.305	3.306	3.318	3.311	
3.578	3.305	3.306	3.318	3.311	
3.555	3.305	3.306	3.318	3.311	
3.298	3.305	3.306	3.318	3.311	
3.415	3.305	3.306	3.318	3.311	
3.473	3.305	3.306	3.318	3.311	
3.502	3.305	3.306	3.318	3.311	
3.762	3.305	3.306	3.318	3.311	
3.647	3.305	3.306	3.318	3.311	
3.344	3.305	3.306	3.318	3.311	
3.193	3.305	3.306	3.318	3.311	
3.607	3.305	3.306	3.318	3.311	
3.569	3.305	3.306	3.318	3.311	
3.550	3.305	3.306	3.318	3.311	
3.541	3.305	3.306	3.318	3.311	
3.536	3.305	3.306	3.318	3.311	
3.534	3.305	3.306	3.318	3.311	
3.533	3.305	3.306	3.318	3.311	
3.287	3.305	3.306	3.318	3.311	
3.654	3.305	3.306	3.318	3.311	
