Server_02	Server_0	Server_0D	Server_09	Server_07	
3.776	4.000	3.947	3.580	3.222	
3.899	4.000	3.947	3.580	3.222	
3.899	3.766	3.947	3.580	3.222	
3.899	3.766	3.740	3.580	3.222	
3.715	3.766	3.740	3.580	3.222	
3.715	3.649	3.740	3.580	3.222	
3.715	3.835	3.740	3.580	3.222	
3.715	3.438	3.740	3.580	3.222	
3.715	3.730	3.740	3.580	3.222	
3.715	3.730	3.636	3.580	3.222	
3.715	3.631	3.636	3.580	3.222	
3.623	3.631	3.636	3.580	3.222	
3.623	3.631	3.584	3.580	3.222	
3.623	3.581	3.584	3.580	3.222	
3.577	3.581	3.584	3.580	3.222	
3.577	3.581	3.558	3.580	3.222	
3.577	3.556	3.558	3.580	3.222	
3.577	3.556	3.558	3.311	3.222	
3.577	3.556	3.558	3.666	3.222	
3.577	3.556	3.558	3.599	3.222	
3.577	3.556	3.558	3.810	3.222	
3.577	3.556	3.558	3.671	3.222	
3.577	3.556	3.558	3.846	3.222	
3.577	3.556	3.558	3.689	3.222	
3.577	3.556	3.558	3.855	3.222	
3.577	3.556	3.558	3.693	3.222	
3.577	3.556	3.558	3.612	3.222	
3.577	3.556	3.558	3.817	3.222	
3.577	3.556	3.558	3.674	3.222	
3.577	3.556	3.558	3.603	3.222	
3.577	3.556	3.558	3.812	3.222	
3.577	3.556	3.558	3.672	3.222	
3.577	3.556	3.558	3.602	3.222	
3.577	3.556	3.558	3.567	3.222	
3.577	3.556	3.558	3.794	3.222	
3.577	3.556	3.558	3.663	3.222	
3.577	3.556	3.558	3.352	3.222	
3.577	3.556	3.558	3.687	3.222	
3.577	3.556	3.558	3.609	3.222	
3.577	3.556	3.558	3.815	3.222	
3.577	3.556	3.558	3.428	3.222	
3.555	3.556	3.558	3.428	3.222	
3.555	3.556	3.545	3.428	3.222	
3.555	3.299	3.545	3.428	3.222	
3.555	3.660	3.545	3.428	3.222	
3.555	3.351	3.545	3.428	3.222	
3.543	3.351	3.545	3.428	3.222	
3.543	3.351	3.293	3.428	3.222	
3.537	3.351	3.293	3.428	3.222	
3.779	3.351	3.293	3.428	3.222	
3.411	3.351	3.293	3.428	3.222	
3.716	3.351	3.293	3.428	3.222	
3.624	3.351	3.293	3.428	3.222	
3.578	3.351	3.293	3.428	3.222	
3.555	3.351	3.293	3.428	3.222	
3.298	3.351	3.293	3.428	3.222	
3.660	3.351	3.293	3.428	3.222	
3.596	3.351	3.293	3.428	3.222	
3.319	3.351	3.293	3.428	3.222	
3.670	3.351	3.293	3.428	3.222	
3.601	3.351	3.293	3.428	3.222	
3.566	3.351	3.293	3.428	3.222	
3.304	3.351	3.293	3.428	3.222	
3.304	3.351	3.293	3.235	3.222	
3.304	3.351	3.293	3.383	3.222	
3.304	3.351	3.293	3.702	3.222	
3.304	3.351	3.293	3.372	3.222	
3.304	3.351	3.293	3.207	3.222	
3.304	3.351	3.293	3.614	3.222	
3.304	3.351	3.293	3.573	3.222	
3.304	3.351	3.293	3.307	3.222	
3.304	3.351	3.293	3.419	3.222	
3.304	3.351	3.293	3.476	3.222	
3.304	3.351	3.293	3.748	3.222	
3.304	3.351	3.293	3.395	3.222	
3.304	3.351	3.293	3.218	3.222	
3.304	3.351	3.293	3.620	3.222	
3.304	3.351	3.293	3.576	3.222	
3.304	3.351	3.293	3.309	3.222	
3.304	3.351	3.293	3.420	3.222	
3.304	3.351	3.293	3.476	3.222	
3.304	3.351	3.293	3.749	3.222	
3.304	3.351	3.293	3.395	3.222	
3.304	3.351	3.293	3.218	3.222	
3.304	3.351	3.293	3.375	3.222	
3.304	3.351	3.293	3.698	3.222	
3.304	3.351	3.293	3.615	3.222	
3.304	3.351	3.293	3.328	3.222	
3.304	3.351	3.293	3.430	3.222	
3.304	3.351	3.293	3.726	3.222	
3.304	3.351	3.293	3.384	3.222	
3.304	3.351	3.293	3.458	3.222	
3.304	3.351	3.293	3.739	3.222	
3.304	3.351	3.293	3.636	3.222	
3.304	3.351	3.293	3.584	3.222	
3.304	3.351	3.293	3.313	3.222	
3.304	3.196	3.293	3.313	3.222	
3.304	3.364	3.293	3.313	3.222	
3.304	3.693	3.293	3.313	3.222	
3.304	3.612	3.293	3.313	3.222	
3.304	3.327	3.293	3.313	3.222	
3.304	3.429	3.293	3.313	3.222	
3.304	3.725	3.293	3.313	3.222	
3.304	3.628	3.293	3.313	3.222	
3.304	3.335	3.293	3.313	3.222	
