Server_02	Server_0	Server_0D	Server_05	Server_0F	
3.776	4.000	3.016	3.443	3.794	
4.388	4.000	3.016	3.443	3.794	
4.694	4.000	3.016	3.443	3.794	
3.379	4.000	3.016	3.443	3.794	
3.700	4.000	3.016	3.443	3.794	
3.861	4.000	3.016	3.443	3.794	
3.941	4.000	3.016	3.443	3.794	
3.981	4.000	3.016	3.443	3.794	
4.001	4.000	3.016	3.443	3.794	
4.011	4.000	3.016	3.443	3.794	
4.016	4.000	3.016	3.443	3.794	
4.019	4.000	3.016	3.443	3.794	
4.020	4.000	3.016	3.443	3.794	
4.021	4.000	3.016	3.443	3.794	
3.776	4.000	3.016	3.443	3.794	
3.899	4.000	3.016	3.443	3.794	
3.960	4.000	3.016	3.443	3.794	
3.991	4.000	3.016	3.443	3.794	
4.006	4.000	3.016	3.443	3.794	
3.769	4.000	3.016	3.443	3.794	
3.895	4.000	3.016	3.443	3.794	
3.895	3.766	3.016	3.443	3.794	
3.713	3.766	3.016	3.443	3.794	
3.867	3.766	3.016	3.443	3.794	
3.699	3.766	3.016	3.443	3.794	
3.860	3.766	3.016	3.443	3.794	
3.696	3.766	3.016	3.443	3.794	
3.696	3.766	3.016	3.443	3.663	
3.696	3.649	3.016	3.443	3.663	
3.369	3.649	3.016	3.443	3.663	
3.940	3.649	3.016	3.443	3.663	
3.736	3.649	3.016	3.443	3.663	
4.123	3.649	3.016	3.443	3.663	
3.827	3.649	3.016	3.443	3.663	
3.679	3.649	3.016	3.443	3.663	
3.606	3.649	3.016	3.443	3.663	
3.813	3.649	3.016	3.443	3.663	
3.672	3.649	3.016	3.443	3.663	
3.847	3.649	3.016	3.443	3.663	
3.689	3.649	3.016	3.443	3.663	
3.855	3.649	3.016	3.443	3.663	
3.693	3.649	3.016	3.443	3.663	
3.857	3.649	3.016	3.443	3.663	
3.694	3.649	3.016	3.443	3.663	
3.613	3.649	3.016	3.443	3.663	
3.817	3.649	3.016	3.443	3.663	
3.674	3.649	3.016	3.443	3.663	
3.603	3.649	3.016	3.443	3.663	
3.603	3.649	3.016	3.443	3.597	
3.603	3.649	3.016	3.443	3.809	
3.603	3.649	3.016	3.443	3.670	
3.603	3.649	3.016	3.443	3.601	
3.603	3.590	3.016	3.443	3.601	
3.322	3.590	3.016	3.443	3.601	
3.322	3.590	3.016	3.443	3.566	
3.322	3.590	3.016	3.443	3.794	
3.322	3.590	3.016	3.443	3.663	
