Server_03	Server_0	Server_05	Server_0A	Server_09	
3.776	4.000	3.349	3.626	3.408	
3.776	3.766	3.349	3.626	3.408	
3.409	3.766	3.349	3.626	3.408	
3.409	3.649	3.349	3.626	3.408	
3.409	3.345	3.349	3.626	3.408	
3.409	3.345	3.349	3.334	3.408	
3.409	3.345	3.349	3.433	3.408	
3.409	3.345	3.349	3.482	3.408	
3.409	3.345	3.349	3.507	3.408	
3.409	3.345	3.349	3.519	3.408	
3.409	3.345	3.349	3.525	3.408	
3.409	3.345	3.349	3.529	3.408	
3.409	3.345	3.349	3.530	3.408	
3.409	3.345	3.349	3.531	3.408	
3.409	3.345	3.349	3.531	3.408	
3.409	3.345	3.349	3.531	3.408	
3.409	3.345	3.349	3.531	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.532	3.408	
3.409	3.345	3.349	3.287	3.408	
3.409	3.345	3.349	3.409	3.408	
3.409	3.345	3.349	3.470	3.408	
3.409	3.345	3.349	3.501	3.408	
3.409	3.345	3.349	3.516	3.408	
3.409	3.345	3.349	3.524	3.408	
3.409	3.345	3.349	3.528	3.408	
3.409	3.345	3.349	3.285	3.408	
3.409	3.345	3.349	3.408	3.408	
3.409	3.345	3.349	3.470	3.408	
3.409	3.345	3.349	3.501	3.408	
3.409	3.345	3.349	3.516	3.408	
3.409	3.345	3.349	3.524	3.408	
3.409	3.345	3.349	3.773	3.408	
3.409	3.345	3.349	3.652	3.408	
3.409	3.345	3.349	3.592	3.408	
3.409	3.345	3.349	3.562	3.408	
3.409	3.345	3.349	3.547	3.408	
3.409	3.345	3.349	3.539	3.408	
3.409	3.345	3.349	3.780	3.408	
3.409	3.345	3.349	3.656	3.408	
3.409	3.345	3.349	3.594	3.408	
3.409	3.345	3.349	3.563	3.408	
3.409	3.345	3.349	3.302	3.408	
3.225	3.345	3.349	3.302	3.408	
3.379	3.345	3.349	3.302	3.408	
3.700	3.345	3.349	3.302	3.408	
3.616	3.345	3.349	3.302	3.408	
3.574	3.345	3.349	3.302	3.408	
3.553	3.345	3.349	3.302	3.408	
3.542	3.345	3.349	3.302	3.408	
3.292	3.345	3.349	3.302	3.408	
3.657	3.345	3.349	3.302	3.408	
3.594	3.345	3.349	3.302	3.408	
3.563	3.345	3.349	3.302	3.408	
3.302	3.345	3.349	3.302	3.408	
3.662	3.345	3.349	3.302	3.408	
3.597	3.345	3.349	3.302	3.408	
3.564	3.345	3.349	3.302	3.408	
3.548	3.345	3.349	3.302	3.408	
3.295	3.345	3.349	3.302	3.408	
3.658	3.345	3.349	3.302	3.408	
3.595	3.345	3.349	3.302	3.408	
3.563	3.345	3.349	3.302	3.408	
3.547	3.345	3.349	3.302	3.408	
3.539	3.345	3.349	3.302	3.408	
3.536	3.345	3.349	3.302	3.408	
3.534	3.345	3.349	3.302	3.408	
3.288	3.345	3.349	3.302	3.408	
3.654	3.345	3.349	3.302	3.408	
3.593	3.345	3.349	3.302	3.408	
3.562	3.345	3.349	3.302	3.408	
3.547	3.345	3.349	3.302	3.408	
3.539	3.345	3.349	3.302	3.408	
3.535	3.345	3.349	3.302	3.408	
3.289	3.345	3.349	3.302	3.408	
3.655	3.345	3.349	3.302	3.408	
3.593	3.345	3.349	3.302	3.408	
3.562	3.345	3.349	3.302	3.408	
3.547	3.345	3.349	3.302	3.408	
3.539	3.345	3.349	3.302	3.408	
3.535	3.345	3.349	3.302	3.408	
3.534	3.345	3.349	3.302	3.408	
3.533	3.345	3.349	3.302	3.408	
3.532	3.345	3.349	3.302	3.408	
