Server_03	Server_0	Server_05	Server_07	Server_0C	
3.776	4.000	3.454	3.172	3.927	
4.388	4.000	3.454	3.172	3.927	
4.694	4.000	3.454	3.172	3.927	
4.602	4.000	3.454	3.172	3.927	
4.312	4.000	3.454	3.172	3.927	
4.166	4.000	3.454	3.172	3.927	
4.094	4.000	3.454	3.172	3.927	
4.058	4.000	3.454	3.172	3.927	
4.039	4.000	3.454	3.172	3.927	
4.030	4.000	3.454	3.172	3.927	
4.026	4.000	3.454	3.172	3.927	
4.023	4.000	3.454	3.172	3.927	
4.022	4.000	3.454	3.172	3.927	
4.022	4.000	3.454	3.172	3.927	
4.021	4.000	3.454	3.172	3.927	
4.021	4.000	3.454	3.172	3.927	
4.021	4.000	3.454	3.172	3.927	
4.021	4.000	3.454	3.172	3.927	
3.776	4.000	3.454	3.172	3.927	
3.899	4.000	3.454	3.172	3.927	
3.899	3.766	3.454	3.172	3.927	
3.899	3.766	3.454	3.172	3.729	
3.715	3.766	3.454	3.172	3.729	
4.113	3.766	3.454	3.172	3.729	
4.067	3.766	3.454	3.172	3.729	
4.044	3.766	3.454	3.172	3.729	
3.788	3.766	3.454	3.172	3.729	
3.660	3.766	3.454	3.172	3.729	
3.840	3.766	3.454	3.172	3.729	
3.686	3.766	3.454	3.172	3.729	
3.686	3.649	3.454	3.172	3.729	
3.686	3.649	3.454	3.172	3.631	
3.609	3.649	3.454	3.172	3.631	
3.609	3.590	3.454	3.172	3.631	
3.609	3.590	3.454	3.172	3.581	
3.570	3.590	3.454	3.172	3.581	
3.796	3.590	3.454	3.172	3.581	
3.908	3.590	3.454	3.172	3.581	
3.720	3.590	3.454	3.172	3.581	
3.871	3.590	3.454	3.172	3.581	
3.701	3.590	3.454	3.172	3.581	
3.861	3.590	3.454	3.172	3.581	
3.696	3.590	3.454	3.172	3.581	
3.614	3.590	3.454	3.172	3.581	
3.818	3.590	3.454	3.172	3.581	
3.675	3.590	3.454	3.172	3.581	
3.848	3.590	3.454	3.172	3.581	
3.690	3.590	3.454	3.172	3.581	
3.611	3.590	3.454	3.172	3.581	
3.571	3.590	3.454	3.172	3.581	
3.796	3.590	3.454	3.172	3.581	
3.664	3.590	3.454	3.172	3.581	
3.598	3.590	3.454	3.172	3.581	
3.565	3.590	3.454	3.172	3.581	
3.565	3.561	3.454	3.172	3.581	
3.565	3.791	3.454	3.172	3.581	
3.565	3.416	3.454	3.172	3.581	
3.565	3.416	3.454	3.172	3.311	
3.565	3.416	3.454	3.172	3.666	
3.565	3.416	3.454	3.172	3.354	
3.548	3.416	3.454	3.172	3.354	
3.785	3.416	3.454	3.172	3.354	
3.413	3.416	3.454	3.172	3.354	
3.413	3.416	3.248	3.172	3.354	
3.413	3.416	3.635	3.172	3.354	
3.413	3.416	3.338	3.172	3.354	
3.413	3.416	3.435	3.172	3.354	
3.413	3.416	3.728	3.172	3.354	
3.413	3.416	3.385	3.172	3.354	
3.413	3.416	3.458	3.172	3.354	
3.413	3.416	3.495	3.172	3.354	
3.413	3.416	3.513	3.172	3.354	
3.413	3.416	3.767	3.172	3.354	
3.413	3.416	3.405	3.172	3.354	
3.413	3.416	3.468	3.172	3.354	
3.413	3.416	3.500	3.172	3.354	
3.413	3.416	3.516	3.172	3.354	
3.413	3.416	3.279	3.172	3.354	
3.413	3.416	3.650	3.172	3.354	
3.413	3.416	3.346	3.172	3.354	
3.413	3.416	3.439	3.172	3.354	
3.413	3.416	3.730	3.172	3.354	
3.413	3.416	3.631	3.172	3.354	
3.413	3.416	3.336	3.172	3.354	
3.413	3.416	3.434	3.172	3.354	
3.413	3.416	3.483	3.172	3.354	
3.413	3.416	3.507	3.172	3.354	
3.413	3.416	3.764	3.172	3.354	
3.413	3.416	3.403	3.172	3.354	
3.413	3.416	3.467	3.172	3.354	
3.413	3.416	3.499	3.172	3.354	
3.413	3.416	3.271	3.172	3.354	
3.413	3.416	3.401	3.172	3.354	
3.413	3.416	3.711	3.172	3.354	
3.413	3.416	3.376	3.172	3.354	
3.413	3.229	3.376	3.172	3.354	
3.413	3.625	3.376	3.172	3.354	
3.413	3.578	3.376	3.172	3.354	
3.413	3.310	3.376	3.172	3.354	
3.413	3.421	3.376	3.172	3.354	
3.413	3.721	3.376	3.172	3.354	
3.413	3.626	3.376	3.172	3.354	
3.413	3.334	3.376	3.172	3.354	
3.228	3.334	3.376	3.172	3.354	
3.624	3.334	3.376	3.172	3.354	
3.333	3.334	3.376	3.172	3.354	
3.432	3.334	3.376	3.172	3.354	
3.727	3.334	3.376	3.172	3.354	
3.629	3.334	3.376	3.172	3.354	
3.580	3.334	3.376	3.172	3.354	
