Server_03	Server_0	Server_0F	Server_04	Server_0D	
3.776	4.000	3.936	3.972	3.075	
4.388	4.000	3.936	3.972	3.075	
4.449	4.000	3.936	3.972	3.075	
4.235	4.000	3.936	3.972	3.075	
4.128	4.000	3.936	3.972	3.075	
4.075	4.000	3.936	3.972	3.075	
4.048	4.000	3.936	3.972	3.075	
3.790	4.000	3.936	3.972	3.075	
3.905	4.000	3.936	3.972	3.075	
3.963	4.000	3.936	3.972	3.075	
3.992	4.000	3.936	3.972	3.075	
4.007	4.000	3.936	3.972	3.075	
4.014	4.000	3.936	3.972	3.075	
4.018	4.000	3.936	3.972	3.075	
4.019	4.000	3.936	3.972	3.075	
4.020	4.000	3.936	3.972	3.075	
4.021	4.000	3.936	3.972	3.075	
4.021	4.000	3.936	3.972	3.075	
4.021	4.000	3.936	3.972	3.075	
3.776	4.000	3.936	3.972	3.075	
3.899	4.000	3.936	3.972	3.075	
3.899	3.766	3.936	3.972	3.075	
3.899	3.766	3.936	3.752	3.075	
3.899	3.766	3.734	3.752	3.075	
3.715	3.766	3.734	3.752	3.075	
3.868	3.766	3.734	3.752	3.075	
3.700	3.766	3.734	3.752	3.075	
3.861	3.766	3.734	3.752	3.075	
3.696	3.766	3.734	3.752	3.075	
3.696	3.649	3.734	3.752	3.075	
3.696	3.649	3.734	3.642	3.075	
3.696	3.649	3.633	3.642	3.075	
3.614	3.649	3.633	3.642	3.075	
3.614	3.590	3.633	3.642	3.075	
3.614	3.590	3.633	3.587	3.075	
3.614	3.590	3.633	3.804	3.075	
3.614	3.590	3.633	3.913	3.075	
3.614	3.590	3.633	3.722	3.075	
3.614	3.590	3.633	3.872	3.075	
3.614	3.590	3.633	3.702	3.075	
3.614	3.590	3.633	3.617	3.075	
3.614	3.590	3.633	3.819	3.075	
3.614	3.590	3.633	3.675	3.075	
3.614	3.590	3.633	3.848	3.075	
3.614	3.590	3.633	3.690	3.075	
3.614	3.590	3.633	3.611	3.075	
3.614	3.590	3.633	3.816	3.075	
3.614	3.590	3.633	3.674	3.075	
3.614	3.590	3.633	3.603	3.075	
3.614	3.590	3.633	3.812	3.075	
3.614	3.590	3.633	3.672	3.075	
3.614	3.590	3.633	3.602	3.075	
3.614	3.590	3.582	3.602	3.075	
3.573	3.590	3.582	3.602	3.075	
3.573	3.590	3.582	3.322	3.075	
3.573	3.561	3.582	3.322	3.075	
3.573	3.561	3.312	3.322	3.075	
3.573	3.561	3.667	3.322	3.075	
3.573	3.561	3.599	3.322	3.075	
3.573	3.561	3.565	3.322	3.075	
3.307	3.561	3.565	3.322	3.075	
3.664	3.561	3.565	3.322	3.075	
