Server_03	Server_0	Server_09	Server_0D	Server_0C	
3.776	4.000	3.934	3.616	3.828	
4.143	4.000	3.934	3.616	3.828	
4.082	4.000	3.934	3.616	3.828	
4.052	4.000	3.934	3.616	3.828	
4.036	4.000	3.934	3.616	3.828	
4.029	4.000	3.934	3.616	3.828	
4.025	4.000	3.934	3.616	3.828	
4.023	4.000	3.934	3.616	3.828	
4.022	4.000	3.934	3.616	3.828	
4.022	4.000	3.934	3.616	3.828	
4.021	4.000	3.934	3.616	3.828	
3.777	4.000	3.934	3.616	3.828	
3.899	4.000	3.934	3.616	3.828	
3.960	4.000	3.934	3.616	3.828	
3.991	4.000	3.934	3.616	3.828	
4.006	4.000	3.934	3.616	3.828	
4.014	4.000	3.934	3.616	3.828	
4.017	4.000	3.934	3.616	3.828	
3.774	4.000	3.934	3.616	3.828	
3.898	4.000	3.934	3.616	3.828	
3.898	3.766	3.934	3.616	3.828	
3.898	3.766	3.488	3.616	3.828	
3.715	3.766	3.488	3.616	3.828	
3.715	3.766	3.488	3.616	3.680	
3.715	3.766	3.488	3.616	3.851	
3.715	3.766	3.488	3.616	3.936	
3.715	3.766	3.488	3.616	3.734	
3.715	3.766	3.488	3.616	3.877	
3.715	3.766	3.488	3.616	3.705	
3.715	3.649	3.488	3.616	3.705	
3.378	3.649	3.488	3.616	3.705	
3.700	3.649	3.488	3.616	3.705	
3.700	3.649	3.488	3.616	3.618	
3.616	3.649	3.488	3.616	3.618	
4.063	3.649	3.488	3.616	3.618	
3.797	3.649	3.488	3.616	3.618	
3.664	3.649	3.488	3.616	3.618	
3.598	3.649	3.488	3.616	3.618	
3.810	3.649	3.488	3.616	3.618	
3.671	3.649	3.488	3.616	3.618	
3.846	3.649	3.488	3.616	3.618	
3.689	3.649	3.488	3.616	3.618	
3.855	3.649	3.488	3.616	3.618	
3.693	3.649	3.488	3.616	3.618	
3.612	3.649	3.488	3.616	3.618	
3.817	3.649	3.488	3.616	3.618	
3.674	3.649	3.488	3.616	3.618	
3.603	3.649	3.488	3.616	3.618	
3.603	3.590	3.488	3.616	3.618	
3.603	3.806	3.488	3.616	3.618	
3.603	3.669	3.488	3.616	3.618	
3.603	3.355	3.488	3.616	3.618	
3.603	3.355	3.488	3.616	3.330	
3.603	3.355	3.488	3.329	3.330	
3.603	3.355	3.488	3.675	3.330	
3.603	3.355	3.488	3.603	3.330	
3.603	3.355	3.488	3.323	3.330	
3.603	3.355	3.488	3.672	3.330	
3.603	3.355	3.488	3.602	3.330	
3.322	3.355	3.488	3.602	3.330	
3.672	3.355	3.488	3.602	3.330	
3.357	3.355	3.488	3.602	3.330	
3.357	3.355	3.488	3.567	3.330	
3.357	3.355	3.488	3.549	3.330	
3.357	3.355	3.488	3.295	3.330	
3.357	3.355	3.488	3.658	3.330	
3.357	3.355	3.488	3.595	3.330	
3.357	3.355	3.488	3.563	3.330	
3.357	3.355	3.488	3.547	3.330	
3.357	3.355	3.488	3.540	3.330	
3.357	3.355	3.488	3.536	3.330	
3.357	3.355	3.488	3.534	3.330	
3.357	3.355	3.488	3.288	3.330	
3.357	3.355	3.488	3.410	3.330	
3.357	3.355	3.488	3.715	3.330	
3.357	3.355	3.488	3.379	3.330	
3.357	3.355	3.488	3.700	3.330	
3.357	3.355	3.488	3.616	3.330	
3.357	3.355	3.488	3.329	3.330	
