Server_03	Server_0	Server_0F	Server_02	Server_01	
3.776	4.000	3.869	3.874	3.541	
3.776	3.766	3.869	3.874	3.541	
3.776	3.766	3.869	3.458	3.541	
3.776	3.766	3.456	3.458	3.541	
3.654	3.766	3.456	3.458	3.541	
3.654	3.649	3.456	3.458	3.541	
3.348	3.649	3.456	3.458	3.541	
3.348	3.345	3.456	3.458	3.541	
3.348	3.345	3.456	3.458	3.536	
3.348	3.345	3.456	3.458	3.534	
3.348	3.345	3.456	3.458	3.533	
3.348	3.345	3.456	3.458	3.287	
3.348	3.345	3.456	3.458	3.409	
3.348	3.345	3.456	3.458	3.471	
3.348	3.345	3.456	3.458	3.256	
3.348	3.345	3.456	3.250	3.256	
3.348	3.345	3.249	3.250	3.256	
3.348	3.345	3.390	3.250	3.256	
3.348	3.345	3.706	3.250	3.256	
3.348	3.345	3.619	3.250	3.256	
3.348	3.345	3.330	3.250	3.256	
3.348	3.345	3.431	3.250	3.256	
3.348	3.345	3.726	3.250	3.256	
3.348	3.345	3.629	3.250	3.256	
3.348	3.345	3.335	3.250	3.256	
3.195	3.345	3.335	3.250	3.256	
3.363	3.345	3.335	3.250	3.256	
3.692	3.345	3.335	3.250	3.256	
3.612	3.345	3.335	3.250	3.256	
3.572	3.345	3.335	3.250	3.256	
3.307	3.345	3.335	3.250	3.256	
3.419	3.345	3.335	3.250	3.256	
3.720	3.345	3.335	3.250	3.256	
3.626	3.345	3.335	3.250	3.256	
3.579	3.345	3.335	3.250	3.256	
3.555	3.345	3.335	3.250	3.256	
3.298	3.345	3.335	3.250	3.256	
3.415	3.345	3.335	3.250	3.256	
3.718	3.345	3.335	3.250	3.256	
3.380	3.345	3.335	3.250	3.256	
3.456	3.345	3.335	3.250	3.256	
3.738	3.345	3.335	3.250	3.256	
3.635	3.345	3.335	3.250	3.256	
3.338	3.345	3.335	3.250	3.256	
3.338	3.194	3.335	3.250	3.256	
3.338	3.363	3.335	3.250	3.256	
3.338	3.447	3.335	3.250	3.256	
3.338	3.734	3.335	3.250	3.256	
