Server_03	Server_0	Server_0A	Server_05	Server_09	
3.776	4.000	3.625	3.175	3.400	
4.388	4.000	3.625	3.175	3.400	
4.694	4.000	3.625	3.175	3.400	
4.602	4.000	3.625	3.175	3.400	
3.333	4.000	3.625	3.175	3.400	
3.677	4.000	3.625	3.175	3.400	
3.849	4.000	3.625	3.175	3.400	
3.935	4.000	3.625	3.175	3.400	
3.978	4.000	3.625	3.175	3.400	
4.000	4.000	3.625	3.175	3.400	
4.010	4.000	3.625	3.175	3.400	
4.016	4.000	3.625	3.175	3.400	
4.018	4.000	3.625	3.175	3.400	
4.020	4.000	3.625	3.175	3.400	
4.021	4.000	3.625	3.175	3.400	
4.021	4.000	3.625	3.175	3.400	
4.021	4.000	3.625	3.175	3.400	
4.021	4.000	3.625	3.175	3.400	
3.776	4.000	3.625	3.175	3.400	
3.899	4.000	3.625	3.175	3.400	
3.899	3.766	3.625	3.175	3.400	
3.715	3.766	3.625	3.175	3.400	
3.715	3.649	3.625	3.175	3.400	
3.378	3.649	3.625	3.175	3.400	
3.378	3.590	3.625	3.175	3.400	
3.378	3.590	3.578	3.175	3.400	
3.378	3.590	3.800	3.175	3.400	
3.378	3.590	3.666	3.175	3.400	
3.378	3.590	3.843	3.175	3.400	
3.378	3.590	3.932	3.175	3.400	
3.378	3.590	3.732	3.175	3.400	
3.378	3.590	3.632	3.175	3.400	
3.378	3.590	3.826	3.175	3.400	
3.378	3.590	3.679	3.175	3.400	
3.378	3.590	3.605	3.175	3.400	
3.378	3.590	3.568	3.175	3.400	
3.378	3.590	3.795	3.175	3.400	
3.378	3.590	3.908	3.175	3.400	
3.378	3.590	3.720	3.175	3.400	
3.378	3.590	3.870	3.175	3.400	
3.378	3.590	3.701	3.175	3.400	
3.378	3.590	3.861	3.175	3.400	
3.378	3.590	3.696	3.175	3.400	
3.378	3.590	3.614	3.175	3.400	
3.378	3.590	3.573	3.175	3.400	
3.378	3.590	3.797	3.175	3.400	
3.378	3.590	3.664	3.175	3.400	
3.378	3.590	3.843	3.175	3.400	
3.378	3.590	3.687	3.175	3.400	
3.378	3.590	3.609	3.175	3.400	
3.378	3.590	3.570	3.175	3.400	
3.378	3.561	3.570	3.175	3.400	
3.378	3.561	3.306	3.175	3.400	
3.378	3.561	3.664	3.175	3.400	
3.378	3.561	3.598	3.175	3.400	
3.378	3.561	3.565	3.175	3.400	
3.378	3.561	3.548	3.175	3.400	
3.378	3.301	3.548	3.175	3.400	
3.378	3.661	3.548	3.175	3.400	
3.378	3.352	3.548	3.175	3.400	
3.378	3.352	3.295	3.175	3.400	
3.378	3.352	3.413	3.175	3.400	
3.378	3.352	3.472	3.175	3.400	
3.378	3.352	3.747	3.175	3.400	
3.378	3.352	3.639	3.175	3.400	
3.378	3.352	3.340	3.175	3.400	
3.378	3.352	3.436	3.175	3.400	
3.378	3.352	3.729	3.175	3.400	
3.378	3.352	3.630	3.175	3.400	
3.378	3.352	3.581	3.175	3.400	
3.378	3.352	3.556	3.175	3.400	
3.378	3.352	3.299	3.175	3.400	
3.378	3.352	3.415	3.175	3.400	
3.378	3.352	3.718	3.175	3.400	
3.378	3.352	3.625	3.175	3.400	
3.378	3.352	3.333	3.175	3.400	
3.378	3.352	3.432	3.175	3.400	
3.378	3.352	3.727	3.175	3.400	
3.378	3.352	3.629	3.175	3.400	
3.378	3.352	3.336	3.175	3.400	
3.378	3.352	3.336	3.175	3.221	
3.378	3.352	3.336	3.175	3.376	
