Server_03	Server_0	Server_01	Server_0B	Server_00	
3.776	4.000	3.612	3.267	3.306	
3.776	3.766	3.612	3.267	3.306	
3.654	3.766	3.612	3.267	3.306	
3.654	3.649	3.612	3.267	3.306	
3.348	3.649	3.612	3.267	3.306	
3.348	3.590	3.612	3.267	3.306	
3.348	3.590	3.572	3.267	3.306	
3.348	3.561	3.572	3.267	3.306	
3.348	3.561	3.307	3.267	3.306	
3.348	3.546	3.307	3.267	3.306	
3.348	3.539	3.307	3.267	3.306	
3.348	3.535	3.307	3.267	3.306	
3.348	3.289	3.307	3.267	3.306	
3.195	3.289	3.307	3.267	3.306	
3.195	3.289	3.174	3.267	3.306	
3.195	3.289	3.174	3.267	3.174	
3.195	3.289	3.174	3.267	3.353	
3.195	3.289	3.174	3.267	3.442	
3.195	3.289	3.174	3.267	3.242	
3.195	3.165	3.174	3.267	3.242	
3.195	3.348	3.174	3.267	3.242	
3.195	3.440	3.174	3.267	3.242	
3.195	3.731	3.174	3.267	3.242	
3.195	3.631	3.174	3.267	3.242	
3.195	3.336	3.174	3.267	3.242	
3.195	3.434	3.174	3.267	3.242	
3.195	3.728	3.174	3.267	3.242	
3.195	3.385	3.174	3.267	3.242	
3.195	3.213	3.174	3.267	3.242	
3.195	3.617	3.174	3.267	3.242	
3.195	3.574	3.174	3.267	3.242	
3.195	3.553	3.174	3.267	3.242	
3.195	3.297	3.174	3.267	3.242	
3.195	3.414	3.174	3.267	3.242	
3.195	3.718	3.174	3.267	3.242	
3.195	3.625	3.174	3.267	3.242	
3.195	3.333	3.174	3.267	3.242	
3.195	3.677	3.174	3.267	3.242	
3.195	3.604	3.174	3.267	3.242	
3.195	3.568	3.174	3.267	3.242	
3.195	3.305	3.174	3.267	3.242	
3.195	3.663	3.174	3.267	3.242	
3.195	3.597	3.174	3.267	3.242	
3.195	3.320	3.174	3.267	3.242	
3.195	3.181	3.174	3.267	3.242	
3.195	3.601	3.174	3.267	3.242	
3.195	3.566	3.174	3.267	3.242	
3.195	3.549	3.174	3.267	3.242	
3.195	3.295	3.174	3.267	3.242	
3.195	3.658	3.174	3.267	3.242	
3.195	3.595	3.174	3.267	3.242	
3.195	3.318	3.174	3.267	3.242	
3.195	3.425	3.174	3.267	3.242	
3.195	3.723	3.174	3.267	3.242	
3.195	3.627	3.174	3.267	3.242	
3.195	3.335	3.174	3.267	3.242	
3.195	3.188	3.174	3.267	3.242	
3.195	3.605	3.174	3.267	3.242	
3.195	3.568	3.174	3.267	3.242	
3.195	3.305	3.174	3.267	3.242	
3.195	3.418	3.174	3.267	3.242	
3.195	3.720	3.174	3.267	3.242	
3.195	3.626	3.174	3.267	3.242	
3.195	3.579	3.174	3.267	3.242	
3.195	3.310	3.174	3.267	3.242	
3.195	3.666	3.174	3.267	3.242	
3.195	3.599	3.174	3.267	3.242	
3.195	3.320	3.174	3.267	3.242	
3.195	3.181	3.174	3.267	3.242	
3.195	3.601	3.174	3.267	3.242	
3.195	3.566	3.174	3.267	3.242	
3.195	3.549	3.174	3.267	3.242	
3.195	3.295	3.174	3.267	3.242	
3.195	3.413	3.174	3.267	3.242	
3.195	3.717	3.174	3.267	3.242	
3.195	3.624	3.174	3.267	3.242	
3.195	3.333	3.174	3.267	3.242	
3.195	3.432	3.174	3.267	3.242	
3.195	3.727	3.174	3.267	3.242	
3.195	3.629	3.174	3.267	3.242	
3.195	3.335	3.174	3.267	3.242	
3.195	3.678	3.174	3.267	3.242	
3.195	3.605	3.174	3.267	3.242	
3.195	3.568	3.174	3.267	3.242	
3.195	3.305	3.174	3.267	3.242	
3.195	3.418	3.174	3.267	3.242	
3.195	3.475	3.174	3.267	3.242	
3.195	3.748	3.174	3.267	3.242	
3.195	3.640	3.174	3.267	3.242	
3.195	3.586	3.174	3.267	3.242	
3.195	3.559	3.174	3.267	3.242	
3.195	3.300	3.174	3.267	3.242	
3.195	3.416	3.174	3.267	3.242	
3.195	3.474	3.174	3.267	3.242	
3.195	3.503	3.174	3.267	3.242	
3.195	3.272	3.174	3.267	3.242	
3.195	3.647	3.174	3.267	3.242	
3.195	3.589	3.174	3.267	3.242	
3.195	3.560	3.174	3.267	3.242	
3.195	3.546	3.174	3.267	3.242	
3.195	3.539	3.174	3.267	3.242	
3.195	3.535	3.174	3.267	3.242	
3.195	3.288	3.174	3.267	3.242	
3.195	3.655	3.174	3.267	3.242	
3.195	3.593	3.174	3.267	3.242	
3.195	3.318	3.174	3.267	3.242	
3.195	3.425	3.174	3.267	3.242	
3.195	3.478	3.174	3.267	3.242	
3.195	3.260	3.174	3.267	3.242	
3.195	3.396	3.174	3.267	3.242	
3.195	3.464	3.174	3.267	3.242	
3.195	3.498	3.174	3.267	3.242	
3.195	3.515	3.174	3.267	3.242	
3.195	3.523	3.174	3.267	3.242	
3.195	3.527	3.174	3.267	3.242	
3.195	3.529	3.174	3.267	3.242	
3.195	3.531	3.174	3.267	3.242	
3.195	3.531	3.174	3.267	3.242	
3.195	3.286	3.174	3.267	3.242	
3.195	3.409	3.174	3.267	3.242	
3.195	3.470	3.174	3.267	3.242	
3.195	3.501	3.174	3.267	3.242	
3.195	3.516	3.174	3.267	3.242	
3.195	3.524	3.174	3.267	3.242	
3.195	3.528	3.174	3.267	3.242	
3.195	3.285	3.174	3.267	3.242	
3.195	3.408	3.174	3.267	3.242	
3.195	3.470	3.174	3.267	3.242	
3.195	3.501	3.174	3.267	3.242	
3.195	3.271	3.174	3.267	3.242	
3.195	3.401	3.174	3.267	3.242	
3.195	3.467	3.174	3.267	3.242	
3.195	3.499	3.174	3.267	3.242	
3.195	3.270	3.174	3.267	3.242	
3.195	3.401	3.174	3.267	3.242	
3.195	3.466	3.174	3.267	3.242	
3.195	3.254	3.174	3.267	3.242	
3.195	3.393	3.174	3.267	3.242	
3.195	3.462	3.174	3.267	3.242	
3.195	3.497	3.174	3.267	3.242	
3.195	3.269	3.174	3.267	3.242	
3.195	3.400	3.174	3.267	3.242	
