Server_03	Server_0	Server_0C	Server_08	Server_00	
3.776	4.000	3.076	3.061	3.837	
4.143	4.000	3.076	3.061	3.837	
4.327	4.000	3.076	3.061	3.837	
4.174	4.000	3.076	3.061	3.837	
4.098	4.000	3.076	3.061	3.837	
4.059	4.000	3.076	3.061	3.837	
4.040	4.000	3.076	3.061	3.837	
3.786	4.000	3.076	3.061	3.837	
3.904	4.000	3.076	3.061	3.837	
3.962	4.000	3.076	3.061	3.837	
3.992	4.000	3.076	3.061	3.837	
4.006	4.000	3.076	3.061	3.837	
4.014	4.000	3.076	3.061	3.837	
4.018	4.000	3.076	3.061	3.837	
4.019	4.000	3.076	3.061	3.837	
4.020	4.000	3.076	3.061	3.837	
4.021	4.000	3.076	3.061	3.837	
4.021	4.000	3.076	3.061	3.837	
4.021	4.000	3.076	3.061	3.837	
3.776	4.000	3.076	3.061	3.837	
3.899	4.000	3.076	3.061	3.837	
3.899	3.766	3.076	3.061	3.837	
3.470	3.766	3.076	3.061	3.837	
3.470	3.766	3.076	3.061	3.684	
3.470	3.766	3.076	3.061	3.853	
3.470	3.766	3.076	3.061	3.937	
3.470	3.766	3.076	3.061	3.979	
3.470	3.766	3.076	3.061	4.000	
3.470	3.766	3.076	3.061	3.766	
3.470	3.766	3.076	3.061	3.649	
3.470	3.649	3.076	3.061	3.649	
3.470	3.649	3.076	3.061	3.345	
3.470	3.649	3.076	3.061	3.683	
3.470	3.649	3.076	3.061	3.607	
3.470	3.649	3.076	3.061	3.814	
3.470	3.649	3.076	3.061	3.673	
3.470	3.649	3.076	3.061	3.847	
3.470	3.649	3.076	3.061	3.934	
3.470	3.649	3.076	3.061	3.978	
3.470	3.649	3.076	3.061	3.755	
3.470	3.649	3.076	3.061	3.888	
3.470	3.649	3.076	3.061	3.710	
3.470	3.649	3.076	3.061	3.621	
3.470	3.649	3.076	3.061	3.821	
3.470	3.649	3.076	3.061	3.676	
3.470	3.649	3.076	3.061	3.604	
3.470	3.649	3.076	3.061	3.813	
3.470	3.649	3.076	3.061	3.672	
3.470	3.649	3.076	3.061	3.602	
3.470	3.649	3.076	3.061	3.812	
3.470	3.649	3.076	3.061	3.672	
3.470	3.649	3.076	3.061	3.602	
3.470	3.590	3.076	3.061	3.602	
3.470	3.590	3.076	3.061	3.322	
3.470	3.561	3.076	3.061	3.322	
3.470	3.546	3.076	3.061	3.322	
3.470	3.294	3.076	3.061	3.322	
3.470	3.658	3.076	3.061	3.322	
3.470	3.595	3.076	3.061	3.322	
3.470	3.318	3.076	3.061	3.322	
3.470	3.670	3.076	3.061	3.322	
3.470	3.601	3.076	3.061	3.322	
3.470	3.321	3.076	3.061	3.322	
3.256	3.321	3.076	3.061	3.322	
3.639	3.321	3.076	3.061	3.322	
3.585	3.321	3.076	3.061	3.322	
3.558	3.321	3.076	3.061	3.322	
3.545	3.321	3.076	3.061	3.322	
3.538	3.321	3.076	3.061	3.322	
3.780	3.321	3.076	3.061	3.322	
