Server_03	Server_0	Server_04	Server_0C	Server_09	
3.776	4.000	3.614	3.414	3.220	
3.776	3.766	3.614	3.414	3.220	
3.776	3.893	3.614	3.414	3.220	
3.776	3.957	3.614	3.414	3.220	
3.776	3.989	3.614	3.414	3.220	
3.776	4.005	3.614	3.414	3.220	
3.776	4.013	3.614	3.414	3.220	
3.776	3.772	3.614	3.414	3.220	
3.654	3.772	3.614	3.414	3.220	
3.654	3.652	3.614	3.414	3.220	
3.593	3.652	3.614	3.414	3.220	
3.807	3.652	3.614	3.414	3.220	
3.914	3.652	3.614	3.414	3.220	
4.212	3.652	3.614	3.414	3.220	
4.117	3.652	3.614	3.414	3.220	
4.069	3.652	3.614	3.414	3.220	
3.800	3.652	3.614	3.414	3.220	
3.911	3.652	3.614	3.414	3.220	
3.721	3.652	3.614	3.414	3.220	
3.871	3.652	3.614	3.414	3.220	
3.946	3.652	3.614	3.414	3.220	
3.739	3.652	3.614	3.414	3.220	
3.880	3.652	3.614	3.414	3.220	
3.706	3.652	3.614	3.414	3.220	
3.863	3.652	3.614	3.414	3.220	
3.942	3.652	3.614	3.414	3.220	
3.737	3.652	3.614	3.414	3.220	
3.879	3.652	3.614	3.414	3.220	
3.705	3.652	3.614	3.414	3.220	
3.863	3.652	3.614	3.414	3.220	
3.697	3.652	3.614	3.414	3.220	
3.859	3.652	3.614	3.414	3.220	
3.695	3.652	3.614	3.414	3.220	
3.614	3.652	3.614	3.414	3.220	
3.817	3.652	3.614	3.414	3.220	
3.674	3.652	3.614	3.414	3.220	
3.603	3.652	3.614	3.414	3.220	
3.603	3.592	3.614	3.414	3.220	
3.603	3.592	3.328	3.414	3.220	
3.567	3.592	3.328	3.414	3.220	
3.794	3.592	3.328	3.414	3.220	
3.663	3.592	3.328	3.414	3.220	
3.597	3.592	3.328	3.414	3.220	
3.320	3.592	3.328	3.414	3.220	
3.670	3.592	3.328	3.414	3.220	
3.846	3.592	3.328	3.414	3.220	
3.444	3.592	3.328	3.414	3.220	
3.444	3.317	3.328	3.414	3.220	
3.444	3.424	3.328	3.414	3.220	
3.243	3.424	3.328	3.414	3.220	
3.632	3.424	3.328	3.414	3.220	
3.337	3.424	3.328	3.414	3.220	
3.679	3.424	3.328	3.414	3.220	
3.605	3.424	3.328	3.414	3.220	
3.324	3.424	3.328	3.414	3.220	
3.324	3.233	3.328	3.414	3.220	
3.324	3.382	3.328	3.414	3.220	
3.324	3.702	3.328	3.414	3.220	
3.324	3.617	3.328	3.414	3.220	
3.324	3.329	3.328	3.414	3.220	
3.324	3.675	3.328	3.414	3.220	
3.324	3.603	3.328	3.414	3.220	
3.324	3.567	3.328	3.414	3.220	
3.324	3.305	3.328	3.414	3.220	
3.324	3.418	3.328	3.414	3.220	
3.324	3.720	3.328	3.414	3.220	
3.324	3.626	3.328	3.414	3.220	
3.324	3.334	3.328	3.414	3.220	
3.324	3.677	3.328	3.414	3.220	
3.324	3.605	3.328	3.414	3.220	
3.324	3.568	3.328	3.414	3.220	
3.324	3.305	3.328	3.414	3.220	
3.324	3.663	3.328	3.414	3.220	
3.324	3.597	3.328	3.414	3.220	
3.324	3.320	3.328	3.414	3.220	
3.324	3.320	3.328	3.228	3.220	
3.324	3.320	3.328	3.625	3.220	
3.324	3.320	3.328	3.333	3.220	
3.324	3.320	3.328	3.432	3.220	
3.324	3.320	3.328	3.727	3.220	
3.324	3.320	3.328	3.384	3.220	
3.324	3.320	3.328	3.213	3.220	
3.324	3.320	3.328	3.617	3.220	
3.324	3.320	3.328	3.574	3.220	
3.324	3.320	3.328	3.553	3.220	
3.324	3.320	3.328	3.542	3.220	
3.324	3.320	3.328	3.292	3.220	
3.324	3.320	3.328	3.412	3.220	
3.324	3.320	3.328	3.472	3.220	
3.324	3.320	3.328	3.502	3.220	
3.324	3.320	3.328	3.272	3.220	
3.324	3.320	3.328	3.402	3.220	
3.324	3.320	3.328	3.467	3.220	
3.324	3.320	3.328	3.499	3.220	
3.324	3.320	3.328	3.270	3.220	
3.324	3.320	3.328	3.401	3.220	
3.324	3.320	3.328	3.221	3.220	
3.324	3.320	3.328	3.377	3.220	
3.324	3.320	3.328	3.209	3.220	
3.324	3.320	3.328	3.370	3.220	
3.324	3.320	3.328	3.451	3.220	
3.324	3.320	3.328	3.246	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.215	3.220	
3.324	3.320	3.328	3.373	3.220	
3.324	3.320	3.328	3.208	3.220	
3.324	3.320	3.328	3.370	3.220	
3.324	3.320	3.328	3.206	3.220	
3.324	3.320	3.328	3.369	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.450	3.220	
3.324	3.320	3.328	3.246	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.215	3.220	
3.324	3.320	3.328	3.373	3.220	
3.324	3.320	3.328	3.453	3.220	
3.324	3.320	3.328	3.247	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.216	3.220	
3.324	3.320	3.328	3.374	3.220	
3.324	3.320	3.328	3.453	3.220	
3.324	3.320	3.328	3.247	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.216	3.220	
3.324	3.320	3.328	3.374	3.220	
3.324	3.320	3.328	3.208	3.220	
3.324	3.320	3.328	3.370	3.220	
3.324	3.320	3.328	3.206	3.220	
3.324	3.320	3.328	3.369	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.450	3.220	
3.324	3.320	3.328	3.246	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.460	3.220	
3.324	3.320	3.328	3.251	3.220	
3.324	3.320	3.328	3.391	3.220	
3.324	3.320	3.328	3.461	3.220	
3.324	3.320	3.328	3.252	3.220	
3.324	3.320	3.328	3.392	3.220	
3.324	3.320	3.328	3.462	3.220	
3.324	3.320	3.328	3.252	3.220	
3.324	3.320	3.328	3.392	3.220	
3.324	3.320	3.328	3.462	3.220	
3.324	3.320	3.328	3.252	3.220	
3.324	3.320	3.328	3.392	3.220	
3.324	3.320	3.328	3.462	3.220	
3.324	3.320	3.328	3.252	3.220	
3.324	3.320	3.328	3.392	3.220	
3.324	3.320	3.328	3.462	3.220	
3.324	3.320	3.328	3.252	3.220	
3.324	3.320	3.328	3.392	3.220	
3.324	3.320	3.328	3.462	3.220	
3.324	3.320	3.328	3.252	3.220	
3.324	3.320	3.328	3.392	3.220	
3.324	3.320	3.328	3.217	3.220	
3.324	3.320	3.328	3.374	3.220	
3.324	3.320	3.328	3.453	3.220	
3.324	3.320	3.328	3.247	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.461	3.220	
3.324	3.320	3.328	3.251	3.220	
3.324	3.320	3.328	3.391	3.220	
3.324	3.320	3.328	3.217	3.220	
3.324	3.320	3.328	3.374	3.220	
3.324	3.320	3.328	3.453	3.220	
3.324	3.320	3.328	3.247	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.461	3.220	
3.324	3.320	3.328	3.251	3.220	
3.324	3.320	3.328	3.391	3.220	
3.324	3.320	3.328	3.461	3.220	
3.324	3.320	3.328	3.252	3.220	
3.324	3.320	3.328	3.392	3.220	
3.324	3.320	3.328	3.217	3.220	
3.324	3.320	3.328	3.374	3.220	
3.324	3.320	3.328	3.453	3.220	
3.324	3.320	3.328	3.247	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.216	3.220	
3.324	3.320	3.328	3.374	3.220	
3.324	3.320	3.328	3.208	3.220	
3.324	3.320	3.328	3.370	3.220	
3.324	3.320	3.328	3.206	3.220	
3.324	3.320	3.328	3.369	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.450	3.220	
3.324	3.320	3.328	3.246	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.215	3.220	
3.324	3.320	3.328	3.373	3.220	
3.324	3.320	3.328	3.208	3.220	
3.324	3.320	3.328	3.370	3.220	
3.324	3.320	3.328	3.206	3.220	
3.324	3.320	3.328	3.369	3.220	
3.324	3.320	3.328	3.450	3.220	
3.324	3.320	3.328	3.246	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.215	3.220	
3.324	3.320	3.328	3.373	3.220	
3.324	3.320	3.328	3.208	3.220	
3.324	3.320	3.328	3.370	3.220	
3.324	3.320	3.328	3.206	3.220	
3.324	3.320	3.328	3.369	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.205	3.220	
3.324	3.320	3.328	3.368	3.220	
3.324	3.320	3.328	3.450	3.220	
3.324	3.320	3.328	3.246	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.215	3.220	
3.324	3.320	3.328	3.373	3.220	
3.324	3.320	3.328	3.208	3.220	
3.324	3.320	3.328	3.370	3.220	
3.324	3.320	3.328	3.451	3.220	
3.324	3.320	3.328	3.246	3.220	
3.324	3.320	3.328	3.389	3.220	
3.324	3.320	3.328	3.215	3.220	
