Server_04	Server_0	Server_03	Server_00	Server_0E	
3.776	4.000	3.210	3.263	3.112	
3.899	4.000	3.210	3.263	3.112	
3.899	3.766	3.210	3.263	3.112	
3.470	3.766	3.210	3.263	3.112	
3.470	3.649	3.210	3.263	3.112	
3.470	3.590	3.210	3.263	3.112	
3.470	3.561	3.210	3.263	3.112	
3.470	3.546	3.210	3.263	3.112	
3.470	3.539	3.210	3.263	3.112	
3.470	3.535	3.210	3.263	3.112	
3.470	3.533	3.210	3.263	3.112	
3.470	3.533	3.210	3.263	3.112	
3.470	3.532	3.210	3.263	3.112	
3.470	3.532	3.210	3.263	3.112	
3.470	3.532	3.210	3.263	3.112	
3.470	3.532	3.210	3.263	3.112	
3.470	3.532	3.210	3.263	3.112	
3.470	3.532	3.210	3.263	3.112	
3.470	3.287	3.210	3.263	3.112	
3.256	3.287	3.210	3.263	3.112	
3.394	3.287	3.210	3.263	3.112	
3.218	3.287	3.210	3.263	3.112	
3.375	3.287	3.210	3.263	3.112	
3.453	3.287	3.210	3.263	3.112	
3.492	3.287	3.210	3.263	3.112	
3.757	3.287	3.210	3.263	3.112	
3.644	3.287	3.210	3.263	3.112	
3.588	3.287	3.210	3.263	3.112	
3.560	3.287	3.210	3.263	3.112	
3.546	3.287	3.210	3.263	3.112	
3.539	3.287	3.210	3.263	3.112	
3.535	3.287	3.210	3.263	3.112	
3.288	3.287	3.210	3.263	3.112	
3.655	3.287	3.210	3.263	3.112	
3.593	3.287	3.210	3.263	3.112	
3.562	3.287	3.210	3.263	3.112	
3.302	3.287	3.210	3.263	3.112	
3.662	3.287	3.210	3.263	3.112	
3.597	3.287	3.210	3.263	3.112	
3.564	3.287	3.210	3.263	3.112	
3.548	3.287	3.210	3.263	3.112	
3.540	3.287	3.210	3.263	3.112	
3.780	3.287	3.210	3.263	3.112	
3.411	3.287	3.210	3.263	3.112	
3.471	3.287	3.210	3.263	3.112	
3.746	3.287	3.210	3.263	3.112	
3.639	3.287	3.210	3.263	3.112	
3.340	3.287	3.210	3.263	3.112	
3.436	3.287	3.210	3.263	3.112	
3.729	3.287	3.210	3.263	3.112	
3.630	3.287	3.210	3.263	3.112	
3.581	3.287	3.210	3.263	3.112	
3.556	3.287	3.210	3.263	3.112	
3.299	3.287	3.210	3.263	3.112	
3.415	3.287	3.210	3.263	3.112	
3.718	3.287	3.210	3.263	3.112	
3.625	3.287	3.210	3.263	3.112	
3.578	3.287	3.210	3.263	3.112	
3.310	3.287	3.210	3.263	3.112	
