Server_04	Server_0	Server_05	Server_07	Server_0D	
3.776	4.000	3.877	3.816	3.845	
4.388	4.000	3.877	3.816	3.845	
4.449	4.000	3.877	3.816	3.845	
3.256	4.000	3.877	3.816	3.845	
3.639	4.000	3.877	3.816	3.845	
3.830	4.000	3.877	3.816	3.845	
3.926	4.000	3.877	3.816	3.845	
3.973	4.000	3.877	3.816	3.845	
3.997	4.000	3.877	3.816	3.845	
4.009	4.000	3.877	3.816	3.845	
4.015	4.000	3.877	3.816	3.845	
4.018	4.000	3.877	3.816	3.845	
4.020	4.000	3.877	3.816	3.845	
4.020	4.000	3.877	3.816	3.845	
4.021	4.000	3.877	3.816	3.845	
4.021	4.000	3.877	3.816	3.845	
4.021	4.000	3.877	3.816	3.845	
4.021	4.000	3.877	3.816	3.845	
4.021	4.000	3.877	3.816	3.845	
3.776	4.000	3.877	3.816	3.845	
3.899	4.000	3.877	3.816	3.845	
3.899	3.766	3.877	3.816	3.845	
3.470	3.766	3.877	3.816	3.845	
3.470	3.766	3.704	3.816	3.845	
3.470	3.766	3.704	3.816	3.688	
3.470	3.766	3.704	3.816	3.855	
3.470	3.766	3.704	3.816	3.938	
3.470	3.766	3.704	3.816	3.735	
3.470	3.766	3.704	3.674	3.735	
3.470	3.649	3.704	3.674	3.735	
3.470	3.835	3.704	3.674	3.735	
3.470	3.438	3.704	3.674	3.735	
3.470	3.438	3.704	3.674	3.633	
3.470	3.438	3.704	3.674	3.827	
3.470	3.438	3.704	3.674	3.924	
3.470	3.438	3.704	3.674	3.728	
3.470	3.438	3.704	3.674	3.875	
3.470	3.438	3.704	3.674	3.703	
3.470	3.438	3.704	3.674	3.862	
3.470	3.438	3.704	3.674	3.697	
3.470	3.438	3.704	3.674	3.859	
3.470	3.438	3.704	3.674	3.695	
3.470	3.438	3.618	3.674	3.695	
3.470	3.438	3.618	3.674	3.613	
3.470	3.438	3.618	3.674	3.817	
3.470	3.438	3.618	3.674	3.674	
3.470	3.438	3.618	3.674	3.603	
3.470	3.438	3.618	3.674	3.812	
3.470	3.438	3.618	3.674	3.672	
3.470	3.438	3.618	3.603	3.672	
3.470	3.438	3.618	3.603	3.357	
3.470	3.438	3.618	3.603	3.689	
3.470	3.438	3.618	3.603	3.610	
3.470	3.438	3.575	3.603	3.610	
3.470	3.438	3.575	3.603	3.326	
3.470	3.438	3.575	3.603	3.674	
3.470	3.438	3.575	3.603	3.358	
3.470	3.438	3.575	3.322	3.358	
3.470	3.438	3.575	3.672	3.358	
3.470	3.438	3.575	3.602	3.358	
3.470	3.438	3.575	3.322	3.358	
3.470	3.438	3.575	3.671	3.358	
3.470	3.438	3.575	3.602	3.358	
3.470	3.438	3.575	3.322	3.358	
3.470	3.438	3.575	3.671	3.358	
3.470	3.438	3.575	3.602	3.358	
3.470	3.438	3.575	3.567	3.358	
3.470	3.438	3.308	3.567	3.358	
3.470	3.438	3.308	3.304	3.358	
3.470	3.438	3.308	3.418	3.358	
3.470	3.438	3.308	3.720	3.358	
3.470	3.438	3.308	3.381	3.358	
3.470	3.438	3.308	3.701	3.358	
3.470	3.438	3.308	3.616	3.358	
3.470	3.438	3.308	3.574	3.358	
3.470	3.438	3.308	3.308	3.358	
3.470	3.438	3.308	3.665	3.358	
3.470	3.438	3.308	3.598	3.358	
3.470	3.438	3.308	3.320	3.358	
3.470	3.438	3.308	3.426	3.358	
3.470	3.438	3.308	3.479	3.358	
3.470	3.438	3.308	3.260	3.358	
3.470	3.438	3.308	3.641	3.358	
3.470	3.438	3.308	3.341	3.358	
3.470	3.438	3.308	3.681	3.358	
3.470	3.438	3.308	3.606	3.358	
3.470	3.438	3.308	3.324	3.358	
3.470	3.438	3.308	3.428	3.358	
3.256	3.438	3.308	3.428	3.358	
3.639	3.438	3.308	3.428	3.358	
3.585	3.438	3.308	3.428	3.358	
3.313	3.438	3.308	3.428	3.358	
3.423	3.438	3.308	3.428	3.358	
3.722	3.438	3.308	3.428	3.358	
3.382	3.438	3.308	3.428	3.358	
3.382	3.240	3.308	3.428	3.358	
3.382	3.631	3.308	3.428	3.358	
3.382	3.336	3.308	3.428	3.358	
3.382	3.336	3.308	3.235	3.358	
3.382	3.336	3.308	3.628	3.358	
3.382	3.336	3.308	3.825	3.358	
3.382	3.336	3.308	3.678	3.358	
3.382	3.336	3.308	3.605	3.358	
3.382	3.336	3.308	3.568	3.358	
3.382	3.336	3.308	3.305	3.358	
3.212	3.336	3.308	3.305	3.358	
3.616	3.336	3.308	3.305	3.358	
3.574	3.336	3.308	3.305	3.358	
3.798	3.336	3.308	3.305	3.358	
3.665	3.336	3.308	3.305	3.358	
3.598	3.336	3.308	3.305	3.358	
3.320	3.336	3.308	3.305	3.358	
3.320	3.336	3.308	3.305	3.200	
3.320	3.336	3.308	3.305	3.610	
3.320	3.336	3.308	3.305	3.571	
3.320	3.336	3.308	3.305	3.551	
3.320	3.336	3.308	3.305	3.541	
3.320	3.336	3.308	3.305	3.292	
3.320	3.336	3.308	3.305	3.656	
3.320	3.336	3.308	3.305	3.594	
3.320	3.336	3.308	3.305	3.318	
3.320	3.336	3.308	3.305	3.425	
3.320	3.336	3.308	3.305	3.723	
3.320	3.336	3.308	3.305	3.627	
3.320	3.336	3.308	3.305	3.335	
3.320	3.336	3.308	3.305	3.433	
3.320	3.336	3.308	3.305	3.482	
3.320	3.336	3.308	3.305	3.262	
3.320	3.336	3.308	3.305	3.397	
3.320	3.336	3.308	3.305	3.709	
3.320	3.336	3.308	3.305	3.620	
3.320	3.336	3.308	3.305	3.576	
3.320	3.336	3.308	3.305	3.554	
3.320	3.336	3.308	3.305	3.543	
3.320	3.336	3.308	3.305	3.537	
3.320	3.336	3.308	3.305	3.289	
3.320	3.336	3.308	3.305	3.655	
3.320	3.336	3.308	3.305	3.593	
3.320	3.336	3.308	3.305	3.563	
3.320	3.336	3.308	3.305	3.547	
3.320	3.336	3.308	3.305	3.539	
3.320	3.336	3.308	3.305	3.291	
3.320	3.336	3.308	3.305	3.656	
3.320	3.336	3.308	3.305	3.594	
3.320	3.336	3.308	3.305	3.563	
3.320	3.336	3.308	3.305	3.547	
3.320	3.336	3.308	3.305	3.539	
3.320	3.336	3.308	3.305	3.535	
3.320	3.336	3.308	3.305	3.289	
3.320	3.336	3.308	3.305	3.655	
3.320	3.336	3.308	3.305	3.593	
3.320	3.336	3.308	3.305	3.562	
3.320	3.336	3.308	3.305	3.547	
3.320	3.336	3.308	3.305	3.539	
3.320	3.336	3.308	3.305	3.535	
3.320	3.336	3.308	3.305	3.289	
3.320	3.336	3.308	3.305	3.410	
3.320	3.336	3.308	3.305	3.716	
3.320	3.336	3.308	3.305	3.624	
3.320	3.336	3.308	3.305	3.578	
3.320	3.336	3.308	3.305	3.555	
3.320	3.336	3.308	3.305	3.543	
3.320	3.336	3.308	3.305	3.537	
3.320	3.336	3.308	3.305	3.534	
3.320	3.336	3.308	3.305	3.533	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.287	
3.320	3.336	3.308	3.305	3.409	
3.320	3.336	3.308	3.305	3.715	
3.320	3.336	3.308	3.305	3.623	
3.320	3.336	3.308	3.305	3.577	
3.320	3.336	3.308	3.305	3.555	
3.320	3.336	3.308	3.305	3.543	
3.320	3.336	3.308	3.305	3.537	
3.320	3.336	3.308	3.305	3.534	
3.320	3.336	3.308	3.305	3.533	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
3.320	3.336	3.308	3.305	3.532	
