Server_04	Server_0	Server_02	Server_0E	Server_00	
3.776	4.000	3.162	3.245	3.856	
4.388	4.000	3.162	3.245	3.856	
4.694	4.000	3.162	3.245	3.856	
4.847	4.000	3.162	3.245	3.856	
4.434	4.000	3.162	3.245	3.856	
4.228	4.000	3.162	3.245	3.856	
4.124	4.000	3.162	3.245	3.856	
4.073	4.000	3.162	3.245	3.856	
4.047	4.000	3.162	3.245	3.856	
4.034	4.000	3.162	3.245	3.856	
4.028	4.000	3.162	3.245	3.856	
4.024	4.000	3.162	3.245	3.856	
4.023	4.000	3.162	3.245	3.856	
4.022	4.000	3.162	3.245	3.856	
4.022	4.000	3.162	3.245	3.856	
4.021	4.000	3.162	3.245	3.856	
4.021	4.000	3.162	3.245	3.856	
4.021	4.000	3.162	3.245	3.856	
4.021	4.000	3.162	3.245	3.856	
4.021	4.000	3.162	3.245	3.856	
3.776	4.000	3.162	3.245	3.856	
3.899	4.000	3.162	3.245	3.856	
3.899	3.766	3.162	3.245	3.856	
3.470	3.766	3.162	3.245	3.856	
3.470	3.766	3.162	3.245	3.694	
3.470	3.649	3.162	3.245	3.694	
3.470	3.649	3.162	3.245	3.368	
3.470	3.590	3.162	3.245	3.368	
3.470	3.561	3.162	3.245	3.368	
3.470	3.301	3.162	3.245	3.368	
3.470	3.416	3.162	3.245	3.368	
3.470	3.474	3.162	3.245	3.368	
3.470	3.258	3.162	3.245	3.368	
3.470	3.395	3.162	3.245	3.368	
3.470	3.708	3.162	3.245	3.368	
3.470	3.620	3.162	3.245	3.368	
3.470	3.576	3.162	3.245	3.368	
3.470	3.798	3.162	3.245	3.368	
3.470	3.665	3.162	3.245	3.368	
3.470	3.598	3.162	3.245	3.368	
3.470	3.565	3.162	3.245	3.368	
3.470	3.793	3.162	3.245	3.368	
3.470	3.662	3.162	3.245	3.368	
3.470	3.597	3.162	3.245	3.368	
3.470	3.564	3.162	3.245	3.368	
3.470	3.548	3.162	3.245	3.368	
3.470	3.540	3.162	3.245	3.368	
3.470	3.536	3.162	3.245	3.368	
3.470	3.778	3.162	3.245	3.368	
3.470	3.410	3.162	3.245	3.368	
3.470	3.471	3.162	3.245	3.368	
3.470	3.501	3.162	3.245	3.368	
3.470	3.272	3.162	3.245	3.368	
3.470	3.402	3.162	3.245	3.368	
3.256	3.402	3.162	3.245	3.368	
3.639	3.402	3.162	3.245	3.368	
3.585	3.402	3.162	3.245	3.368	
3.558	3.402	3.162	3.245	3.368	
3.545	3.402	3.162	3.245	3.368	
3.538	3.402	3.162	3.245	3.368	
3.535	3.402	3.162	3.245	3.368	
3.288	3.402	3.162	3.245	3.368	
3.410	3.402	3.162	3.245	3.368	
3.716	3.402	3.162	3.245	3.368	
3.624	3.402	3.162	3.245	3.368	
3.333	3.402	3.162	3.245	3.368	
3.432	3.402	3.162	3.245	3.368	
3.727	3.402	3.162	3.245	3.368	
3.874	3.402	3.162	3.245	3.368	
3.703	3.402	3.162	3.245	3.368	
3.617	3.402	3.162	3.245	3.368	
3.574	3.402	3.162	3.245	3.368	
3.308	3.402	3.162	3.245	3.368	
3.420	3.402	3.162	3.245	3.368	
3.721	3.402	3.162	3.245	3.368	
3.626	3.402	3.162	3.245	3.368	
3.334	3.402	3.162	3.245	3.368	
3.334	3.222	3.162	3.245	3.368	
3.334	3.377	3.162	3.245	3.368	
3.334	3.454	3.162	3.245	3.368	
3.334	3.738	3.162	3.245	3.368	
3.334	3.635	3.162	3.245	3.368	
3.334	3.583	3.162	3.245	3.368	
3.334	3.312	3.162	3.245	3.368	
3.334	3.667	3.162	3.245	3.368	
3.334	3.599	3.162	3.245	3.368	
3.334	3.321	3.162	3.245	3.368	
3.334	3.426	3.162	3.245	3.368	
3.334	3.724	3.162	3.245	3.368	
3.334	3.628	3.162	3.245	3.368	
3.334	3.580	3.162	3.245	3.368	
3.334	3.311	3.162	3.245	3.368	
3.334	3.666	3.162	3.245	3.368	
3.334	3.599	3.162	3.245	3.368	
3.334	3.320	3.162	3.245	3.368	
3.334	3.426	3.162	3.245	3.368	
3.334	3.479	3.162	3.245	3.368	
3.334	3.750	3.162	3.245	3.368	
3.334	3.396	3.162	3.245	3.368	
3.334	3.219	3.162	3.245	3.368	
3.334	3.620	3.162	3.245	3.368	
3.334	3.576	3.162	3.245	3.368	
3.334	3.309	3.162	3.245	3.368	
3.334	3.309	3.162	3.245	3.205	
3.334	3.309	3.162	3.245	3.368	
3.334	3.309	3.162	3.245	3.450	
3.334	3.309	3.162	3.245	3.736	
3.334	3.309	3.162	3.245	3.634	
3.334	3.309	3.162	3.245	3.338	
3.334	3.309	3.162	3.245	3.679	
3.334	3.309	3.162	3.245	3.606	
3.334	3.309	3.162	3.245	3.569	
3.334	3.309	3.162	3.245	3.550	
3.334	3.309	3.162	3.245	3.541	
3.334	3.309	3.162	3.245	3.536	
3.334	3.309	3.162	3.245	3.289	
3.334	3.309	3.162	3.245	3.655	
3.334	3.309	3.162	3.245	3.348	
3.334	3.309	3.162	3.245	3.440	
3.334	3.309	3.162	3.245	3.731	
3.334	3.309	3.162	3.245	3.631	
3.334	3.309	3.162	3.245	3.336	
3.334	3.309	3.162	3.245	3.189	
3.334	3.309	3.162	3.245	3.605	
3.334	3.309	3.162	3.245	3.568	
3.334	3.309	3.162	3.245	3.305	
3.334	3.309	3.162	3.245	3.418	
3.334	3.309	3.162	3.245	3.720	
3.334	3.309	3.162	3.245	3.626	
3.334	3.309	3.162	3.245	3.579	
3.334	3.309	3.162	3.245	3.555	
3.334	3.309	3.162	3.245	3.543	
3.334	3.309	3.162	3.245	3.537	
3.334	3.309	3.162	3.245	3.535	
3.334	3.309	3.162	3.245	3.533	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
3.334	3.309	3.162	3.245	3.532	
