Server_04	Server_0	Server_06	Server_0F	Server_09	
3.776	4.000	3.622	3.513	3.443	
4.388	4.000	3.622	3.513	3.443	
4.449	4.000	3.622	3.513	3.443	
3.256	4.000	3.622	3.513	3.443	
3.639	4.000	3.622	3.513	3.443	
3.830	4.000	3.622	3.513	3.443	
3.926	4.000	3.622	3.513	3.443	
3.973	4.000	3.622	3.513	3.443	
3.997	4.000	3.622	3.513	3.443	
4.009	4.000	3.622	3.513	3.443	
4.015	4.000	3.622	3.513	3.443	
4.018	4.000	3.622	3.513	3.443	
4.020	4.000	3.622	3.513	3.443	
3.776	4.000	3.622	3.513	3.443	
3.898	4.000	3.622	3.513	3.443	
3.960	4.000	3.622	3.513	3.443	
3.960	3.766	3.622	3.513	3.443	
3.746	3.766	3.622	3.513	3.443	
3.746	3.649	3.622	3.513	3.443	
3.639	3.649	3.622	3.513	3.443	
3.639	3.590	3.622	3.513	3.443	
3.585	3.590	3.622	3.513	3.443	
3.585	3.590	3.577	3.513	3.443	
3.585	3.561	3.577	3.513	3.443	
3.313	3.561	3.577	3.513	3.443	
3.667	3.561	3.577	3.513	3.443	
4.089	3.561	3.577	3.513	3.443	
3.810	3.561	3.577	3.513	3.443	
4.160	3.561	3.577	3.513	3.443	
3.846	3.561	3.577	3.513	3.443	
3.934	3.561	3.577	3.513	3.443	
4.222	3.561	3.577	3.513	3.443	
3.877	3.561	3.577	3.513	3.443	
3.704	3.561	3.577	3.513	3.443	
3.863	3.561	3.577	3.513	3.443	
3.697	3.561	3.577	3.513	3.443	
3.859	3.561	3.577	3.513	3.443	
3.695	3.561	3.577	3.513	3.443	
3.858	3.561	3.577	3.513	3.443	
3.695	3.561	3.577	3.513	3.443	
3.613	3.561	3.577	3.513	3.443	
3.817	3.561	3.577	3.513	3.443	
3.674	3.561	3.577	3.513	3.443	
3.848	3.561	3.577	3.513	3.443	
3.690	3.561	3.577	3.513	3.443	
3.611	3.561	3.577	3.513	3.443	
3.571	3.561	3.577	3.513	3.443	
3.796	3.561	3.577	3.513	3.443	
3.664	3.561	3.577	3.513	3.443	
3.598	3.561	3.577	3.513	3.443	
3.320	3.561	3.577	3.513	3.443	
3.670	3.561	3.577	3.513	3.443	
3.846	3.561	3.577	3.513	3.443	
3.689	3.561	3.577	3.513	3.443	
3.365	3.561	3.577	3.513	3.443	
3.693	3.561	3.577	3.513	3.443	
3.612	3.561	3.577	3.513	3.443	
3.572	3.561	3.577	3.513	3.443	
3.572	3.561	3.554	3.513	3.443	
3.552	3.561	3.554	3.513	3.443	
3.552	3.301	3.554	3.513	3.443	
3.552	3.661	3.554	3.513	3.443	
3.552	3.352	3.554	3.513	3.443	
3.552	3.352	3.298	3.513	3.443	
3.552	3.352	3.660	3.513	3.443	
3.552	3.352	3.351	3.513	3.443	
3.542	3.352	3.351	3.513	3.443	
3.781	3.352	3.351	3.513	3.443	
3.657	3.352	3.351	3.513	3.443	
3.594	3.352	3.351	3.513	3.443	
3.563	3.352	3.351	3.513	3.443	
3.302	3.352	3.351	3.513	3.443	
3.662	3.352	3.351	3.513	3.443	
3.597	3.352	3.351	3.513	3.443	
3.564	3.352	3.351	3.513	3.443	
3.303	3.352	3.351	3.513	3.443	
3.417	3.352	3.351	3.513	3.443	
3.719	3.352	3.351	3.513	3.443	
3.625	3.352	3.351	3.513	3.443	
3.579	3.352	3.351	3.513	3.443	
3.800	3.352	3.351	3.513	3.443	
3.421	3.352	3.351	3.513	3.443	
3.476	3.352	3.351	3.513	3.443	
3.504	3.352	3.351	3.513	3.443	
3.518	3.352	3.351	3.513	3.443	
3.525	3.352	3.351	3.513	3.443	
3.283	3.352	3.351	3.513	3.443	
3.407	3.352	3.351	3.513	3.443	
3.714	3.352	3.351	3.513	3.443	
3.623	3.352	3.351	3.513	3.443	
3.577	3.352	3.351	3.513	3.443	
3.310	3.352	3.351	3.513	3.443	
3.421	3.352	3.351	3.513	3.443	
3.721	3.352	3.351	3.513	3.443	
3.381	3.352	3.351	3.513	3.443	
3.381	3.352	3.351	3.277	3.443	
3.381	3.352	3.351	3.405	3.443	
3.381	3.352	3.351	3.713	3.443	
3.381	3.352	3.351	3.867	3.443	
3.381	3.352	3.351	3.699	3.443	
3.381	3.352	3.351	3.371	3.443	
3.381	3.352	3.351	3.371	3.243	
3.381	3.352	3.351	3.371	3.632	
3.381	3.352	3.351	3.371	3.582	
3.381	3.352	3.351	3.371	3.312	
3.381	3.352	3.351	3.371	3.422	
3.381	3.352	3.351	3.371	3.721	
3.381	3.352	3.351	3.371	3.627	
3.381	3.352	3.351	3.371	3.334	
3.381	3.352	3.351	3.371	3.678	
3.381	3.352	3.351	3.371	3.605	
3.381	3.352	3.351	3.371	3.568	
3.381	3.352	3.351	3.371	3.305	
3.212	3.352	3.351	3.371	3.305	
3.616	3.352	3.351	3.371	3.305	
3.329	3.352	3.351	3.371	3.305	
3.675	3.352	3.351	3.371	3.305	
3.603	3.352	3.351	3.371	3.305	
3.567	3.352	3.351	3.371	3.305	
3.550	3.352	3.351	3.371	3.305	
3.541	3.352	3.351	3.371	3.305	
3.291	3.352	3.351	3.371	3.305	
3.656	3.352	3.351	3.371	3.305	
3.349	3.352	3.351	3.371	3.305	
3.349	3.352	3.351	3.206	3.305	
3.349	3.352	3.351	3.369	3.305	
3.349	3.352	3.351	3.205	3.305	
3.349	3.352	3.351	3.368	3.305	
3.349	3.352	3.351	3.450	3.305	
3.349	3.352	3.351	3.246	3.305	
3.349	3.352	3.351	3.389	3.305	
3.349	3.352	3.351	3.460	3.305	
3.349	3.352	3.351	3.251	3.305	
3.349	3.352	3.351	3.391	3.305	
3.349	3.352	3.351	3.461	3.305	
3.349	3.352	3.351	3.252	3.305	
3.349	3.352	3.351	3.392	3.305	
3.349	3.352	3.351	3.462	3.305	
3.349	3.352	3.351	3.252	3.305	
3.349	3.352	3.351	3.392	3.305	
3.349	3.352	3.351	3.462	3.305	
3.349	3.352	3.351	3.252	3.305	
3.349	3.352	3.351	3.392	3.305	
3.349	3.352	3.351	3.462	3.305	
