Server_04	Server_0	Server_0E	Server_0F	Server_00	
3.776	4.000	3.895	3.996	3.491	
3.899	4.000	3.895	3.996	3.491	
3.960	4.000	3.895	3.996	3.491	
3.991	4.000	3.895	3.996	3.491	
4.006	4.000	3.895	3.996	3.491	
4.014	4.000	3.895	3.996	3.491	
4.017	4.000	3.895	3.996	3.491	
4.019	4.000	3.895	3.996	3.491	
4.020	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
4.021	4.000	3.895	3.996	3.491	
3.776	4.000	3.895	3.996	3.491	
3.899	4.000	3.895	3.996	3.491	
3.899	3.766	3.895	3.996	3.491	
3.899	3.766	3.895	3.764	3.491	
3.899	3.766	3.895	3.893	3.491	
3.899	3.766	3.895	3.957	3.491	
3.899	3.766	3.895	3.744	3.491	
3.899	3.766	3.895	3.883	3.491	
3.715	3.766	3.895	3.883	3.491	
3.868	3.766	3.895	3.883	3.491	
3.868	3.766	3.713	3.883	3.491	
3.868	3.766	3.713	3.707	3.491	
3.868	3.766	3.713	3.864	3.491	
3.868	3.766	3.713	3.943	3.491	
3.868	3.766	3.713	3.737	3.491	
3.868	3.766	3.713	3.879	3.491	
3.868	3.766	3.713	3.705	3.491	
3.868	3.766	3.713	3.863	3.491	
3.700	3.766	3.713	3.863	3.491	
3.861	3.766	3.713	3.863	3.491	
3.861	3.766	3.713	3.697	3.491	
3.696	3.766	3.713	3.697	3.491	
3.859	3.766	3.713	3.697	3.491	
3.695	3.766	3.713	3.697	3.491	
3.858	3.766	3.713	3.697	3.491	
3.695	3.766	3.713	3.697	3.491	
3.695	3.649	3.713	3.697	3.491	
3.695	3.649	3.622	3.697	3.491	
3.695	3.649	3.822	3.697	3.491	
3.695	3.649	3.677	3.697	3.491	
3.695	3.649	3.677	3.615	3.491	
3.613	3.649	3.677	3.615	3.491	
3.613	3.649	3.604	3.615	3.491	
3.613	3.590	3.604	3.615	3.491	
3.613	3.590	3.604	3.328	3.491	
3.328	3.590	3.604	3.328	3.491	
3.328	3.590	3.568	3.328	3.491	
3.328	3.590	3.795	3.328	3.491	
3.328	3.590	3.908	3.328	3.491	
3.328	3.590	3.475	3.328	3.491	
3.328	3.561	3.475	3.328	3.491	
3.328	3.301	3.475	3.328	3.491	
