Server_04	Server_0	Server_0E	Server_05	Server_00	
3.776	4.000	3.105	3.823	3.144	
3.899	4.000	3.105	3.823	3.144	
3.960	4.000	3.105	3.823	3.144	
3.991	4.000	3.105	3.823	3.144	
4.006	4.000	3.105	3.823	3.144	
4.014	4.000	3.105	3.823	3.144	
4.017	4.000	3.105	3.823	3.144	
4.019	4.000	3.105	3.823	3.144	
4.020	4.000	3.105	3.823	3.144	
4.021	4.000	3.105	3.823	3.144	
4.021	4.000	3.105	3.823	3.144	
4.021	4.000	3.105	3.823	3.144	
4.021	4.000	3.105	3.823	3.144	
4.021	4.000	3.105	3.823	3.144	
3.776	4.000	3.105	3.823	3.144	
3.899	4.000	3.105	3.823	3.144	
3.960	4.000	3.105	3.823	3.144	
3.991	4.000	3.105	3.823	3.144	
4.251	4.000	3.105	3.823	3.144	
4.136	4.000	3.105	3.823	3.144	
4.079	4.000	3.105	3.823	3.144	
3.805	4.000	3.105	3.823	3.144	
3.913	4.000	3.105	3.823	3.144	
3.913	3.766	3.105	3.823	3.144	
3.722	3.766	3.105	3.823	3.144	
3.722	3.766	3.105	3.678	3.144	
3.722	3.649	3.105	3.678	3.144	
3.627	3.649	3.105	3.678	3.144	
3.627	3.649	3.105	3.605	3.144	
3.627	3.590	3.105	3.605	3.144	
3.334	3.590	3.105	3.605	3.144	
3.334	3.590	3.105	3.568	3.144	
3.334	3.590	3.105	3.795	3.144	
3.334	3.590	3.105	3.663	3.144	
3.334	3.590	3.105	3.842	3.144	
3.334	3.590	3.105	3.687	3.144	
3.334	3.590	3.105	3.854	3.144	
3.334	3.590	3.105	3.693	3.144	
3.334	3.590	3.105	3.612	3.144	
3.334	3.590	3.105	3.817	3.144	
3.334	3.590	3.105	3.674	3.144	
3.334	3.590	3.105	3.603	3.144	
3.334	3.590	3.105	3.812	3.144	
3.334	3.590	3.105	3.672	3.144	
3.334	3.590	3.105	3.602	3.144	
3.334	3.590	3.105	3.567	3.144	
3.334	3.561	3.105	3.567	3.144	
3.334	3.561	3.105	3.304	3.144	
3.334	3.561	3.105	3.663	3.144	
3.334	3.561	3.105	3.597	3.144	
3.334	3.561	3.105	3.319	3.144	
3.334	3.561	3.105	3.670	3.144	
3.334	3.561	3.105	3.601	3.144	
3.334	3.561	3.105	3.566	3.144	
3.334	3.561	3.105	3.304	3.144	
3.334	3.561	3.105	3.663	3.144	
3.334	3.561	3.105	3.842	3.144	
3.334	3.561	3.105	3.442	3.144	
3.334	3.546	3.105	3.442	3.144	
3.334	3.294	3.105	3.442	3.144	
3.334	3.658	3.105	3.442	3.144	
3.334	3.595	3.105	3.442	3.144	
3.334	3.318	3.105	3.442	3.144	
3.334	3.670	3.105	3.442	3.144	
3.334	3.601	3.105	3.442	3.144	
3.334	3.321	3.105	3.442	3.144	
3.334	3.321	3.105	3.242	3.144	
3.334	3.321	3.105	3.632	3.144	
3.334	3.321	3.105	3.337	3.144	
3.334	3.321	3.105	3.679	3.144	
3.334	3.321	3.105	3.605	3.144	
3.334	3.321	3.105	3.324	3.144	
3.188	3.321	3.105	3.324	3.144	
3.605	3.321	3.105	3.324	3.144	
3.813	3.321	3.105	3.324	3.144	
3.672	3.321	3.105	3.324	3.144	
3.602	3.321	3.105	3.324	3.144	
3.322	3.321	3.105	3.324	3.144	
3.427	3.321	3.105	3.324	3.144	
3.724	3.321	3.105	3.324	3.144	
3.628	3.321	3.105	3.324	3.144	
3.580	3.321	3.105	3.324	3.144	
3.311	3.321	3.105	3.324	3.144	
3.421	3.321	3.105	3.324	3.144	
3.721	3.321	3.105	3.324	3.144	
3.626	3.321	3.105	3.324	3.144	
3.579	3.321	3.105	3.324	3.144	
3.310	3.321	3.105	3.324	3.144	
3.310	3.321	3.105	3.183	3.144	
3.310	3.321	3.105	3.357	3.144	
3.310	3.321	3.105	3.444	3.144	
3.310	3.321	3.105	3.733	3.144	
3.310	3.321	3.105	3.632	3.144	
3.310	3.321	3.105	3.337	3.144	
3.310	3.321	3.105	3.434	3.144	
