Server_04	Server_0	Server_03	Server_00	Server_0E	
3.776	4.000	3.184	3.280	3.115	
3.776	3.521	3.184	3.280	3.115	
3.409	3.521	3.184	3.280	3.115	
3.409	3.281	3.184	3.280	3.115	
3.225	3.281	3.184	3.280	3.115	
3.225	3.162	3.184	3.280	3.115	
3.225	3.162	3.184	3.161	3.115	
3.225	3.162	3.184	3.346	3.115	
3.225	3.162	3.184	3.194	3.115	
3.134	3.162	3.184	3.194	3.115	
3.134	3.162	3.184	3.118	3.115	
3.134	3.162	3.184	3.325	3.115	
3.134	3.162	3.184	3.428	3.115	
3.134	3.162	3.184	3.235	3.115	
3.134	3.162	3.184	3.138	3.115	
3.134	3.162	3.184	3.580	3.115	
3.134	3.162	3.184	3.556	3.115	
3.134	3.162	3.184	3.299	3.115	
3.134	3.162	3.184	3.415	3.115	
3.134	3.162	3.184	3.473	3.115	
3.134	3.162	3.184	3.747	3.115	
3.134	3.162	3.184	3.639	3.115	
3.134	3.162	3.184	3.586	3.115	
3.134	3.162	3.184	3.314	3.115	
3.134	3.162	3.184	3.423	3.115	
3.134	3.162	3.184	3.477	3.115	
3.134	3.162	3.184	3.504	3.115	
3.134	3.162	3.184	3.763	3.115	
3.134	3.162	3.184	3.647	3.115	
3.134	3.162	3.184	3.589	3.115	
3.134	3.162	3.184	3.560	3.115	
3.134	3.162	3.184	3.546	3.115	
3.134	3.162	3.184	3.539	3.115	
3.134	3.162	3.184	3.535	3.115	
3.134	3.162	3.184	3.533	3.115	
3.134	3.162	3.184	3.532	3.115	
