Server_05	Server_0	Server_03	Server_01	Server_0B	
3.776	4.000	3.605	3.443	3.283	
3.776	3.766	3.605	3.443	3.283	
3.776	4.383	3.605	3.443	3.283	
3.776	4.691	3.605	3.443	3.283	
3.776	4.846	3.605	3.443	3.283	
3.776	4.923	3.605	3.443	3.283	
3.776	4.961	3.605	3.443	3.283	
3.776	4.981	3.605	3.443	3.283	
3.776	4.990	3.605	3.443	3.283	
3.776	4.750	3.605	3.443	3.283	
3.776	4.631	3.605	3.443	3.283	
3.776	4.571	3.605	3.443	3.283	
3.776	4.541	3.605	3.443	3.283	
3.776	4.526	3.605	3.443	3.283	
3.776	4.518	3.605	3.443	3.283	
3.776	4.514	3.605	3.443	3.283	
3.776	4.513	3.605	3.443	3.283	
3.776	4.512	3.605	3.443	3.283	
3.776	4.022	3.605	3.443	3.283	
3.776	3.777	3.605	3.443	3.283	
3.776	3.654	3.605	3.443	3.283	
3.776	4.082	3.605	3.443	3.283	
3.776	3.807	3.605	3.443	3.283	
3.776	3.669	3.605	3.443	3.283	
3.409	3.669	3.605	3.443	3.283	
3.409	3.600	3.605	3.443	3.283	
3.409	3.600	3.568	3.443	3.283	
3.409	3.600	3.795	3.443	3.283	
3.409	3.600	3.908	3.443	3.283	
3.409	3.600	4.209	3.443	3.283	
3.409	3.600	3.870	3.443	3.283	
3.409	3.600	3.701	3.443	3.283	
3.409	3.600	3.861	3.443	3.283	
3.409	3.600	3.941	3.443	3.283	
3.409	3.600	3.736	3.443	3.283	
3.409	3.600	3.879	3.443	3.283	
3.409	3.600	3.705	3.443	3.283	
3.409	3.600	3.863	3.443	3.283	
3.409	3.600	3.697	3.443	3.283	
3.409	3.600	3.859	3.443	3.283	
3.409	3.600	3.695	3.443	3.283	
3.409	3.600	3.614	3.443	3.283	
3.409	3.600	3.817	3.443	3.283	
3.409	3.600	3.674	3.443	3.283	
3.409	3.600	3.603	3.443	3.283	
3.409	3.600	3.567	3.443	3.283	
3.409	3.600	3.794	3.443	3.283	
3.409	3.600	3.663	3.443	3.283	
3.409	3.600	3.597	3.443	3.283	
3.409	3.600	3.809	3.443	3.283	
3.409	3.600	3.670	3.443	3.283	
3.409	3.600	3.601	3.443	3.283	
3.409	3.600	3.321	3.443	3.283	
3.409	3.600	3.671	3.443	3.283	
