Server_05	Server_0	Server_02	Server_0A	Server_06	
3.776	4.000	3.564	3.680	3.113	
3.899	4.000	3.564	3.680	3.113	
3.960	4.000	3.564	3.680	3.113	
3.991	4.000	3.564	3.680	3.113	
4.006	4.000	3.564	3.680	3.113	
4.014	4.000	3.564	3.680	3.113	
4.017	4.000	3.564	3.680	3.113	
4.019	4.000	3.564	3.680	3.113	
4.020	4.000	3.564	3.680	3.113	
4.021	4.000	3.564	3.680	3.113	
4.021	4.000	3.564	3.680	3.113	
4.021	4.000	3.564	3.680	3.113	
3.776	4.000	3.564	3.680	3.113	
3.899	4.000	3.564	3.680	3.113	
3.960	4.000	3.564	3.680	3.113	
3.991	4.000	3.564	3.680	3.113	
4.006	4.000	3.564	3.680	3.113	
3.769	4.000	3.564	3.680	3.113	
3.769	3.766	3.564	3.680	3.113	
3.650	3.766	3.564	3.680	3.113	
3.650	3.649	3.564	3.680	3.113	
3.650	3.649	3.564	3.606	3.113	
3.650	3.649	3.564	3.813	3.113	
3.650	3.649	3.564	3.917	3.113	
3.650	3.649	3.564	3.724	3.113	
3.650	3.649	3.564	3.873	3.113	
3.650	3.649	3.564	3.702	3.113	
3.650	3.649	3.564	3.862	3.113	
3.650	3.649	3.564	3.941	3.113	
3.650	3.649	3.564	3.737	3.113	
3.650	3.649	3.564	3.634	3.113	
3.650	3.649	3.564	4.072	3.113	
3.650	3.649	3.564	3.802	3.113	
3.650	3.649	3.564	3.667	3.113	
3.650	3.649	3.564	3.599	3.113	
3.650	3.649	3.564	3.810	3.113	
3.650	3.649	3.564	3.671	3.113	
3.650	3.649	3.564	3.846	3.113	
3.650	3.649	3.564	3.689	3.113	
3.650	3.649	3.564	3.855	3.113	
3.650	3.649	3.564	3.693	3.113	
3.650	3.649	3.564	3.612	3.113	
3.650	3.649	3.564	3.817	3.113	
3.650	3.649	3.564	3.674	3.113	
3.650	3.649	3.564	3.603	3.113	
3.650	3.649	3.564	3.812	3.113	
3.650	3.649	3.564	3.672	3.113	
3.650	3.649	3.564	3.602	3.113	
3.591	3.649	3.564	3.602	3.113	
3.591	3.345	3.564	3.602	3.113	
3.591	3.683	3.564	3.602	3.113	
3.591	3.363	3.564	3.602	3.113	
3.591	3.363	3.564	3.322	3.113	
3.316	3.363	3.564	3.322	3.113	
3.669	3.363	3.564	3.322	3.113	
3.845	3.363	3.564	3.322	3.113	
3.688	3.363	3.564	3.322	3.113	
3.365	3.363	3.564	3.322	3.113	
3.365	3.363	3.548	3.322	3.113	
3.365	3.363	3.784	3.322	3.113	
3.365	3.363	3.413	3.322	3.113	
3.365	3.363	3.472	3.322	3.113	
3.365	3.363	3.502	3.322	3.113	
3.365	3.363	3.272	3.322	3.113	
3.365	3.363	3.647	3.322	3.113	
3.365	3.363	3.589	3.322	3.113	
3.365	3.363	3.315	3.322	3.113	
