Server_05	Server_0	Server_0A	Server_06	Server_0D	
3.776	4.000	3.827	3.154	3.933	
3.899	4.000	3.827	3.154	3.933	
3.960	4.000	3.827	3.154	3.933	
3.991	4.000	3.827	3.154	3.933	
4.006	4.000	3.827	3.154	3.933	
3.769	4.000	3.827	3.154	3.933	
3.895	4.000	3.827	3.154	3.933	
3.958	4.000	3.827	3.154	3.933	
3.990	4.000	3.827	3.154	3.933	
4.005	4.000	3.827	3.154	3.933	
4.013	4.000	3.827	3.154	3.933	
4.017	4.000	3.827	3.154	3.933	
3.774	4.000	3.827	3.154	3.933	
3.898	4.000	3.827	3.154	3.933	
3.959	4.000	3.827	3.154	3.933	
3.990	4.000	3.827	3.154	3.933	
4.006	4.000	3.827	3.154	3.933	
3.769	4.000	3.827	3.154	3.933	
3.895	4.000	3.827	3.154	3.933	
3.958	4.000	3.827	3.154	3.933	
3.990	4.000	3.827	3.154	3.933	
4.005	4.000	3.827	3.154	3.933	
3.768	4.000	3.827	3.154	3.933	
3.895	4.000	3.827	3.154	3.933	
3.895	3.766	3.827	3.154	3.933	
3.895	3.766	3.827	3.154	3.732	
3.895	3.766	3.827	3.154	3.877	
3.713	3.766	3.827	3.154	3.877	
3.713	3.766	3.827	3.154	3.704	
3.713	3.766	3.679	3.154	3.704	
3.713	3.766	3.850	3.154	3.704	
3.713	3.766	3.691	3.154	3.704	
3.713	3.649	3.691	3.154	3.704	
3.378	3.649	3.691	3.154	3.704	
3.699	3.649	3.691	3.154	3.704	
3.699	3.649	3.691	3.154	3.618	
3.699	3.649	3.691	3.154	3.820	
3.699	3.649	3.691	3.154	3.676	
3.699	3.649	3.691	3.154	3.848	
3.699	3.649	3.691	3.154	3.690	
3.615	3.649	3.691	3.154	3.690	
3.818	3.649	3.691	3.154	3.690	
3.675	3.649	3.691	3.154	3.690	
3.675	3.649	3.611	3.154	3.690	
3.675	3.649	3.611	3.154	3.611	
3.675	3.649	3.611	3.154	3.816	
3.675	3.649	3.611	3.154	3.674	
3.603	3.649	3.611	3.154	3.674	
3.603	3.649	3.611	3.154	3.603	
3.603	3.590	3.611	3.154	3.603	
3.603	3.590	3.327	3.154	3.603	
3.603	3.590	3.674	3.154	3.603	
3.603	3.590	3.603	3.154	3.603	
3.567	3.590	3.603	3.154	3.603	
3.567	3.590	3.567	3.154	3.603	
3.567	3.590	3.567	3.154	3.322	
3.567	3.561	3.567	3.154	3.322	
3.550	3.561	3.567	3.154	3.322	
3.785	3.561	3.567	3.154	3.322	
3.658	3.561	3.567	3.154	3.322	
3.350	3.561	3.567	3.154	3.322	
3.686	3.561	3.567	3.154	3.322	
3.364	3.561	3.567	3.154	3.322	
3.364	3.561	3.549	3.154	3.322	
3.364	3.546	3.549	3.154	3.322	
3.364	3.546	3.296	3.154	3.322	
3.364	3.546	3.658	3.154	3.322	
3.364	3.546	3.350	3.154	3.322	
3.364	3.546	3.686	3.154	3.322	
3.364	3.546	3.364	3.154	3.322	
3.364	3.294	3.364	3.154	3.322	
3.364	3.658	3.364	3.154	3.322	
3.364	3.350	3.364	3.154	3.322	
3.364	3.441	3.364	3.154	3.322	
3.364	3.731	3.364	3.154	3.322	
3.364	3.631	3.364	3.154	3.322	
3.364	3.337	3.364	3.154	3.322	
3.364	3.434	3.364	3.154	3.322	
3.364	3.728	3.364	3.154	3.322	
3.364	3.630	3.364	3.154	3.322	
3.364	3.336	3.364	3.154	3.322	
3.203	3.336	3.364	3.154	3.322	
3.612	3.336	3.364	3.154	3.322	
3.572	3.336	3.364	3.154	3.322	
3.552	3.336	3.364	3.154	3.322	
3.297	3.336	3.364	3.154	3.322	
3.414	3.336	3.364	3.154	3.322	
3.718	3.336	3.364	3.154	3.322	
3.380	3.336	3.364	3.154	3.322	
3.211	3.336	3.364	3.154	3.322	
3.616	3.336	3.364	3.154	3.322	
3.574	3.336	3.364	3.154	3.322	
3.308	3.336	3.364	3.154	3.322	
3.420	3.336	3.364	3.154	3.322	
3.720	3.336	3.364	3.154	3.322	
3.626	3.336	3.364	3.154	3.322	
3.334	3.336	3.364	3.154	3.322	
3.334	3.336	3.203	3.154	3.322	
3.334	3.336	3.367	3.154	3.322	
3.334	3.336	3.694	3.154	3.322	
3.334	3.336	3.613	3.154	3.322	
3.334	3.336	3.817	3.154	3.322	
3.334	3.336	3.674	3.154	3.322	
3.334	3.336	3.603	3.154	3.322	
3.334	3.336	3.322	3.154	3.322	
3.334	3.189	3.322	3.154	3.322	
3.334	3.605	3.322	3.154	3.322	
3.334	3.568	3.322	3.154	3.322	
3.334	3.305	3.322	3.154	3.322	
3.334	3.663	3.322	3.154	3.322	
3.334	3.597	3.322	3.154	3.322	
3.334	3.564	3.322	3.154	3.322	
3.334	3.303	3.322	3.154	3.322	
3.188	3.303	3.322	3.154	3.322	
3.360	3.303	3.322	3.154	3.322	
3.446	3.303	3.322	3.154	3.322	
3.733	3.303	3.322	3.154	3.322	
3.877	3.303	3.322	3.154	3.322	
3.704	3.303	3.322	3.154	3.322	
3.618	3.303	3.322	3.154	3.322	
3.575	3.303	3.322	3.154	3.322	
3.553	3.303	3.322	3.154	3.322	
3.542	3.303	3.322	3.154	3.322	
3.537	3.303	3.322	3.154	3.322	
3.289	3.303	3.322	3.154	3.322	
3.655	3.303	3.322	3.154	3.322	
3.593	3.303	3.322	3.154	3.322	
3.563	3.303	3.322	3.154	3.322	
3.547	3.303	3.322	3.154	3.322	
3.539	3.303	3.322	3.154	3.322	
3.535	3.303	3.322	3.154	3.322	
3.534	3.303	3.322	3.154	3.322	
3.777	3.303	3.322	3.154	3.322	
3.654	3.303	3.322	3.154	3.322	
3.593	3.303	3.322	3.154	3.322	
3.562	3.303	3.322	3.154	3.322	
3.547	3.303	3.322	3.154	3.322	
