Server_05	Server_0	Server_09	Server_01	Server_07	
3.776	4.000	3.660	3.421	3.397	
3.776	3.766	3.660	3.421	3.397	
3.409	3.766	3.660	3.421	3.397	
3.409	3.404	3.660	3.421	3.397	
3.409	3.404	3.596	3.421	3.397	
3.409	3.404	3.564	3.421	3.397	
3.409	3.404	3.548	3.421	3.397	
3.409	3.404	3.540	3.421	3.397	
3.409	3.404	3.536	3.421	3.397	
3.409	3.404	3.289	3.421	3.397	
3.409	3.404	3.410	3.421	3.397	
3.409	3.404	3.471	3.421	3.397	
3.409	3.404	3.501	3.421	3.397	
3.409	3.404	3.516	3.421	3.397	
3.409	3.404	3.524	3.421	3.397	
3.409	3.404	3.528	3.421	3.397	
3.409	3.404	3.285	3.421	3.397	
3.409	3.404	3.408	3.421	3.397	
3.409	3.404	3.408	3.231	3.397	
3.409	3.404	3.408	3.381	3.397	
3.225	3.404	3.408	3.381	3.397	
3.623	3.404	3.408	3.381	3.397	
3.577	3.404	3.408	3.381	3.397	
3.555	3.404	3.408	3.381	3.397	
3.543	3.404	3.408	3.381	3.397	
3.292	3.404	3.408	3.381	3.397	
3.657	3.404	3.408	3.381	3.397	
3.594	3.404	3.408	3.381	3.397	
3.318	3.404	3.408	3.381	3.397	
3.425	3.404	3.408	3.381	3.397	
3.723	3.404	3.408	3.381	3.397	
3.382	3.404	3.408	3.381	3.397	
3.457	3.404	3.408	3.381	3.397	
3.494	3.404	3.408	3.381	3.397	
3.268	3.404	3.408	3.381	3.397	
3.400	3.404	3.408	3.381	3.397	
3.711	3.404	3.408	3.381	3.397	
3.621	3.404	3.408	3.381	3.397	
3.576	3.404	3.408	3.381	3.397	
3.309	3.404	3.408	3.381	3.397	
3.420	3.404	3.408	3.381	3.397	
3.721	3.404	3.408	3.381	3.397	
3.381	3.404	3.408	3.381	3.397	
3.381	3.404	3.225	3.381	3.397	
3.381	3.404	3.378	3.381	3.397	
3.381	3.404	3.455	3.381	3.397	
3.381	3.404	3.738	3.381	3.397	
3.381	3.404	3.635	3.381	3.397	
3.381	3.404	3.338	3.381	3.397	
3.381	3.223	3.338	3.381	3.397	
3.381	3.377	3.338	3.381	3.397	
3.381	3.454	3.338	3.381	3.397	
3.381	3.738	3.338	3.381	3.397	
3.381	3.635	3.338	3.381	3.397	
3.381	3.338	3.338	3.381	3.397	
3.381	3.680	3.338	3.381	3.397	
3.381	3.606	3.338	3.381	3.397	
3.381	3.569	3.338	3.381	3.397	
3.381	3.305	3.338	3.381	3.397	
3.381	3.305	3.338	3.381	3.219	
3.381	3.305	3.338	3.381	3.375	
3.381	3.305	3.338	3.381	3.454	
3.381	3.305	3.338	3.381	3.737	
3.381	3.305	3.338	3.381	3.634	
3.381	3.305	3.338	3.381	3.583	
3.381	3.305	3.338	3.381	3.312	
3.381	3.305	3.338	3.381	3.667	
3.381	3.305	3.338	3.381	3.599	
3.381	3.305	3.338	3.381	3.565	
3.381	3.305	3.338	3.381	3.548	
3.381	3.305	3.338	3.381	3.540	
3.381	3.305	3.338	3.381	3.781	
3.381	3.305	3.338	3.381	3.411	
3.381	3.305	3.338	3.381	3.471	
3.381	3.305	3.338	3.381	3.501	
3.381	3.305	3.338	3.381	3.272	
3.381	3.305	3.338	3.381	3.402	
3.381	3.305	3.338	3.381	3.711	
3.381	3.305	3.338	3.381	3.621	
3.381	3.305	3.338	3.381	3.577	
3.381	3.305	3.338	3.381	3.554	
3.381	3.305	3.338	3.381	3.543	
3.381	3.305	3.338	3.381	3.292	
3.381	3.305	3.338	3.381	3.657	
3.381	3.305	3.338	3.381	3.594	
3.381	3.305	3.338	3.381	3.563	
3.381	3.305	3.338	3.381	3.547	
3.381	3.305	3.338	3.381	3.539	
3.381	3.305	3.338	3.381	3.536	
3.381	3.305	3.338	3.381	3.534	
3.381	3.305	3.338	3.381	3.533	
3.381	3.305	3.338	3.381	3.532	
3.381	3.305	3.338	3.381	3.532	
3.381	3.305	3.338	3.381	3.532	
3.381	3.305	3.338	3.381	3.287	
3.381	3.305	3.338	3.381	3.409	
3.381	3.305	3.338	3.381	3.715	
3.381	3.305	3.338	3.381	3.378	
3.381	3.305	3.338	3.381	3.455	
3.381	3.305	3.338	3.381	3.493	
3.381	3.305	3.338	3.381	3.757	
3.381	3.305	3.338	3.381	3.400	
3.381	3.305	3.338	3.381	3.466	
3.381	3.305	3.338	3.381	3.499	
3.381	3.305	3.338	3.381	3.270	
3.381	3.305	3.338	3.381	3.401	
3.381	3.305	3.338	3.381	3.466	
3.381	3.305	3.338	3.381	3.499	
3.381	3.305	3.338	3.381	3.515	
3.381	3.305	3.338	3.381	3.523	
3.381	3.305	3.338	3.381	3.772	
3.381	3.305	3.338	3.381	3.652	
3.381	3.305	3.338	3.381	3.347	
