Server_05	Server_0	Server_04	Server_0B	Server_0A	
3.776	4.000	3.008	3.367	3.788	
4.388	4.000	3.008	3.367	3.788	
4.449	4.000	3.008	3.367	3.788	
3.256	4.000	3.008	3.367	3.788	
3.639	4.000	3.008	3.367	3.788	
3.830	4.000	3.008	3.367	3.788	
3.926	4.000	3.008	3.367	3.788	
3.926	3.766	3.008	3.367	3.788	
3.926	4.383	3.008	3.367	3.788	
3.926	4.691	3.008	3.367	3.788	
3.926	4.846	3.008	3.367	3.788	
3.926	4.678	3.008	3.367	3.788	
3.926	4.594	3.008	3.367	3.788	
3.926	4.553	3.008	3.367	3.788	
3.926	4.287	3.008	3.367	3.788	
3.926	4.154	3.008	3.367	3.788	
3.926	4.088	3.008	3.367	3.788	
3.926	4.054	3.008	3.367	3.788	
3.926	4.038	3.008	3.367	3.788	
3.926	4.029	3.008	3.367	3.788	
3.926	3.781	3.008	3.367	3.788	
3.729	3.781	3.008	3.367	3.788	
4.120	3.781	3.008	3.367	3.788	
3.826	3.781	3.008	3.367	3.788	
4.168	3.781	3.008	3.367	3.788	
3.850	3.781	3.008	3.367	3.788	
3.936	3.781	3.008	3.367	3.788	
3.734	3.781	3.008	3.367	3.788	
3.877	3.781	3.008	3.367	3.788	
4.194	3.781	3.008	3.367	3.788	
3.863	3.781	3.008	3.367	3.788	
3.697	3.781	3.008	3.367	3.788	
3.859	3.781	3.008	3.367	3.788	
3.695	3.781	3.008	3.367	3.788	
3.695	3.781	3.008	3.367	3.660	
3.695	3.781	3.008	3.367	3.840	
3.695	3.781	3.008	3.367	3.686	
3.695	3.781	3.008	3.367	3.854	
3.695	3.781	3.008	3.367	3.937	
3.695	3.781	3.008	3.367	3.734	
3.695	3.656	3.008	3.367	3.734	
3.695	3.839	3.008	3.367	3.734	
3.695	3.685	3.008	3.367	3.734	
3.695	3.685	3.008	3.367	3.633	
3.613	3.685	3.008	3.367	3.633	
3.613	3.608	3.008	3.367	3.633	
3.613	3.608	3.008	3.367	3.582	
3.573	3.608	3.008	3.367	3.582	
3.797	3.608	3.008	3.367	3.582	
3.664	3.608	3.008	3.367	3.582	
3.353	3.608	3.008	3.367	3.582	
3.687	3.608	3.008	3.367	3.582	
3.609	3.608	3.008	3.367	3.582	
3.570	3.608	3.008	3.367	3.582	
3.570	3.325	3.008	3.367	3.582	
3.570	3.673	3.008	3.367	3.582	
3.570	3.357	3.008	3.367	3.582	
3.570	3.357	3.008	3.367	3.557	
3.551	3.357	3.008	3.367	3.557	
3.551	3.357	3.008	3.367	3.544	
3.551	3.357	3.008	3.367	3.783	
3.551	3.357	3.008	3.367	3.412	
3.541	3.357	3.008	3.367	3.412	
3.536	3.357	3.008	3.367	3.412	
3.289	3.357	3.008	3.367	3.412	
3.410	3.357	3.008	3.367	3.412	
3.716	3.357	3.008	3.367	3.412	
3.624	3.357	3.008	3.367	3.412	
3.333	3.357	3.008	3.367	3.412	
3.677	3.357	3.008	3.367	3.412	
3.604	3.357	3.008	3.367	3.412	
3.568	3.357	3.008	3.367	3.412	
3.305	3.357	3.008	3.367	3.412	
3.305	3.357	3.008	3.367	3.227	
3.305	3.357	3.008	3.367	3.624	
3.305	3.357	3.008	3.367	3.333	
3.305	3.357	3.008	3.367	3.677	
3.305	3.357	3.008	3.367	3.604	
3.305	3.357	3.008	3.367	3.568	
3.305	3.357	3.008	3.367	3.305	
3.305	3.357	3.008	3.367	3.418	
3.305	3.357	3.008	3.367	3.720	
3.305	3.357	3.008	3.367	3.626	
3.305	3.357	3.008	3.367	3.334	
3.305	3.357	3.008	3.367	3.433	
3.305	3.357	3.008	3.367	3.482	
3.305	3.357	3.008	3.367	3.752	
3.305	3.357	3.008	3.367	3.397	
3.305	3.357	3.008	3.367	3.464	
3.305	3.357	3.008	3.367	3.498	
3.305	3.357	3.008	3.367	3.515	
3.305	3.357	3.008	3.367	3.523	
3.305	3.357	3.008	3.367	3.282	
3.305	3.357	3.008	3.367	3.652	
3.305	3.357	3.008	3.367	3.592	
3.305	3.357	3.008	3.367	3.317	
3.305	3.357	3.008	3.367	3.424	
