Server_05	Server_0	Server_0F	Server_0E	Server_07	
3.776	4.000	3.937	3.920	3.188	
3.776	3.766	3.937	3.920	3.188	
3.776	3.766	3.734	3.920	3.188	
3.776	3.766	3.878	3.920	3.188	
3.776	3.766	3.950	3.920	3.188	
3.776	3.766	4.230	3.920	3.188	
3.776	3.766	4.126	3.920	3.188	
3.776	3.766	4.073	3.920	3.188	
3.776	3.766	3.802	3.920	3.188	
3.776	3.766	3.802	3.726	3.188	
3.776	3.766	3.802	3.873	3.188	
3.776	3.766	3.802	3.703	3.188	
3.776	3.766	3.802	3.862	3.188	
3.776	3.766	3.802	3.942	3.188	
3.776	3.766	3.802	3.737	3.188	
3.776	3.766	3.667	3.737	3.188	
3.654	3.766	3.667	3.737	3.188	
3.654	3.649	3.667	3.737	3.188	
3.654	3.835	3.667	3.737	3.188	
3.654	3.683	3.667	3.737	3.188	
3.654	3.683	3.667	3.634	3.188	
3.654	3.607	3.667	3.634	3.188	
3.654	3.607	3.599	3.634	3.188	
3.654	3.607	3.810	3.634	3.188	
3.654	3.607	3.671	3.634	3.188	
3.654	3.607	3.846	3.634	3.188	
3.654	3.607	3.689	3.634	3.188	
3.654	3.607	3.855	3.634	3.188	
3.654	3.607	3.693	3.634	3.188	
3.654	3.607	3.612	3.634	3.188	
3.593	3.607	3.612	3.634	3.188	
3.807	3.607	3.612	3.634	3.188	
3.669	3.607	3.612	3.634	3.188	
3.600	3.607	3.612	3.634	3.188	
3.600	3.607	3.612	3.583	3.188	
3.600	3.607	3.612	3.802	3.188	
3.600	3.607	3.612	3.667	3.188	
3.600	3.607	3.612	3.599	3.188	
3.600	3.607	3.327	3.599	3.188	
3.600	3.570	3.327	3.599	3.188	
3.566	3.570	3.327	3.599	3.188	
3.794	3.570	3.327	3.599	3.188	
3.663	3.570	3.327	3.599	3.188	
3.352	3.570	3.327	3.599	3.188	
3.687	3.570	3.327	3.599	3.188	
3.609	3.570	3.327	3.599	3.188	
3.325	3.570	3.327	3.599	3.188	
3.673	3.570	3.327	3.599	3.188	
3.602	3.570	3.327	3.599	3.188	
3.322	3.570	3.327	3.599	3.188	
3.322	3.570	3.327	3.565	3.188	
3.322	3.551	3.327	3.565	3.188	
3.322	3.551	3.327	3.548	3.188	
3.322	3.551	3.327	3.785	3.188	
3.322	3.551	3.327	3.658	3.188	
3.322	3.551	3.327	3.595	3.188	
3.322	3.551	3.327	3.318	3.188	
3.322	3.296	3.327	3.318	3.188	
3.322	3.659	3.327	3.318	3.188	
3.322	3.350	3.327	3.318	3.188	
3.322	3.686	3.327	3.318	3.188	
3.322	3.609	3.327	3.318	3.188	
3.322	3.325	3.327	3.318	3.188	
3.322	3.325	3.184	3.318	3.188	
3.322	3.325	3.358	3.318	3.188	
3.322	3.325	3.445	3.318	3.188	
3.322	3.325	3.733	3.318	3.188	
3.322	3.325	3.632	3.318	3.188	
3.322	3.325	3.337	3.318	3.188	
3.322	3.325	3.434	3.318	3.188	
3.322	3.325	3.728	3.318	3.188	
3.322	3.325	3.385	3.318	3.188	
3.322	3.325	3.213	3.318	3.188	
3.322	3.325	3.617	3.318	3.188	
3.322	3.325	3.574	3.318	3.188	
3.322	3.325	3.553	3.318	3.188	
3.322	3.325	3.542	3.318	3.188	
3.322	3.325	3.537	3.318	3.188	
3.322	3.325	3.534	3.318	3.188	
3.322	3.325	3.533	3.318	3.188	
3.322	3.325	3.287	3.318	3.188	
3.322	3.325	3.409	3.318	3.188	
3.322	3.325	3.715	3.318	3.188	
3.322	3.325	3.623	3.318	3.188	
3.322	3.325	3.822	3.318	3.188	
3.322	3.325	3.432	3.318	3.188	
3.322	3.325	3.237	3.318	3.188	
3.322	3.325	3.629	3.318	3.188	
3.322	3.325	3.580	3.318	3.188	
3.322	3.325	3.311	3.318	3.188	
3.322	3.184	3.311	3.318	3.188	
3.322	3.358	3.311	3.318	3.188	
3.322	3.689	3.311	3.318	3.188	
3.322	3.610	3.311	3.318	3.188	
3.322	3.326	3.311	3.318	3.188	
3.322	3.429	3.311	3.318	3.188	
3.322	3.725	3.311	3.318	3.188	
3.322	3.628	3.311	3.318	3.188	
3.322	3.580	3.311	3.318	3.188	
3.322	3.311	3.311	3.318	3.188	
3.322	3.666	3.311	3.318	3.188	
3.322	3.599	3.311	3.318	3.188	
3.322	3.320	3.311	3.318	3.188	
3.322	3.426	3.311	3.318	3.188	
3.322	3.724	3.311	3.318	3.188	
3.322	3.628	3.311	3.318	3.188	
3.322	3.335	3.311	3.318	3.188	
3.322	3.188	3.311	3.318	3.188	
3.322	3.605	3.311	3.318	3.188	
3.322	3.568	3.311	3.318	3.188	
3.322	3.305	3.311	3.318	3.188	
3.322	3.418	3.311	3.318	3.188	
3.322	3.720	3.311	3.318	3.188	
3.322	3.626	3.311	3.318	3.188	
3.322	3.579	3.311	3.318	3.188	
3.322	3.555	3.311	3.318	3.188	
3.322	3.543	3.311	3.318	3.188	
3.322	3.293	3.311	3.318	3.188	
3.322	3.412	3.311	3.318	3.188	
3.322	3.717	3.311	3.318	3.188	
3.322	3.624	3.311	3.318	3.188	
3.322	3.333	3.311	3.318	3.188	
3.322	3.432	3.311	3.318	3.188	
3.322	3.482	3.311	3.318	3.188	
3.322	3.507	3.311	3.318	3.188	
3.322	3.519	3.311	3.318	3.188	
3.322	3.770	3.311	3.318	3.188	
3.322	3.651	3.311	3.318	3.188	
3.322	3.346	3.311	3.318	3.188	
3.322	3.194	3.311	3.318	3.188	
3.322	3.608	3.311	3.318	3.188	
3.322	3.570	3.311	3.318	3.188	
3.322	3.306	3.311	3.318	3.188	
3.322	3.663	3.311	3.318	3.188	
3.322	3.353	3.311	3.318	3.188	
3.322	3.197	3.311	3.318	3.188	
3.322	3.364	3.311	3.318	3.188	
3.322	3.693	3.311	3.318	3.188	
3.322	3.367	3.311	3.318	3.188	
3.322	3.205	3.311	3.318	3.188	
3.322	3.368	3.311	3.318	3.188	
3.322	3.450	3.311	3.318	3.188	
3.322	3.491	3.311	3.318	3.188	
3.322	3.511	3.311	3.318	3.188	
3.322	3.521	3.311	3.318	3.188	
3.322	3.282	3.311	3.318	3.188	
3.322	3.407	3.311	3.318	3.188	
3.322	3.469	3.311	3.318	3.188	
3.322	3.500	3.311	3.318	3.188	
3.322	3.516	3.311	3.318	3.188	
3.322	3.524	3.311	3.318	3.188	
3.322	3.283	3.311	3.318	3.188	
3.322	3.407	3.311	3.318	3.188	
3.322	3.469	3.311	3.318	3.188	
3.322	3.500	3.311	3.318	3.188	
3.322	3.516	3.311	3.318	3.188	
3.322	3.279	3.311	3.318	3.188	
3.322	3.405	3.311	3.318	3.188	
3.322	3.468	3.311	3.318	3.188	
3.322	3.500	3.311	3.318	3.188	
3.322	3.271	3.311	3.318	3.188	
3.322	3.401	3.311	3.318	3.188	
3.322	3.466	3.311	3.318	3.188	
3.322	3.254	3.311	3.318	3.188	
3.322	3.393	3.311	3.318	3.188	
3.322	3.462	3.311	3.318	3.188	
3.322	3.497	3.311	3.318	3.188	
3.322	3.269	3.311	3.318	3.188	
3.322	3.400	3.311	3.318	3.188	
3.322	3.466	3.311	3.318	3.188	
3.322	3.254	3.311	3.318	3.188	
3.322	3.393	3.311	3.318	3.188	
3.322	3.462	3.311	3.318	3.188	
3.322	3.497	3.311	3.318	3.188	
3.322	3.269	3.311	3.318	3.188	
3.322	3.400	3.311	3.318	3.188	
3.322	3.466	3.311	3.318	3.188	
3.322	3.254	3.311	3.318	3.188	
3.322	3.393	3.311	3.318	3.188	
3.322	3.462	3.311	3.318	3.188	
3.322	3.497	3.311	3.318	3.188	
3.322	3.269	3.311	3.318	3.188	
3.322	3.400	3.311	3.318	3.188	
3.322	3.466	3.311	3.318	3.188	
3.322	3.254	3.311	3.318	3.188	
3.322	3.393	3.311	3.318	3.188	
3.322	3.462	3.311	3.318	3.188	
3.322	3.497	3.311	3.318	3.188	
3.322	3.269	3.311	3.318	3.188	
3.322	3.400	3.311	3.318	3.188	
3.322	3.466	3.311	3.318	3.188	
3.322	3.254	3.311	3.318	3.188	
3.322	3.393	3.311	3.318	3.188	
3.322	3.217	3.311	3.318	3.188	
3.322	3.374	3.311	3.318	3.188	
3.322	3.208	3.311	3.318	3.188	
3.322	3.370	3.311	3.318	3.188	
3.322	3.451	3.311	3.318	3.188	
3.322	3.246	3.311	3.318	3.188	
3.322	3.389	3.311	3.318	3.188	
3.322	3.215	3.311	3.318	3.188	
3.322	3.373	3.311	3.318	3.188	
3.322	3.453	3.311	3.318	3.188	
3.322	3.247	3.311	3.318	3.188	
3.322	3.389	3.311	3.318	3.188	
