Server_05	Server_0	Server_03	Server_01	Server_0F	
3.776	4.000	3.904	3.276	3.082	
3.776	3.521	3.904	3.276	3.082	
3.776	3.521	3.718	3.276	3.082	
3.654	3.521	3.718	3.276	3.082	
3.654	3.521	3.625	3.276	3.082	
3.593	3.521	3.625	3.276	3.082	
3.593	3.521	3.333	3.276	3.082	
3.562	3.521	3.333	3.276	3.082	
3.547	3.521	3.333	3.276	3.082	
3.539	3.521	3.333	3.276	3.082	
3.535	3.521	3.333	3.276	3.082	
3.289	3.521	3.333	3.276	3.082	
3.410	3.521	3.333	3.276	3.082	
3.471	3.521	3.333	3.276	3.082	
3.471	3.281	3.333	3.276	3.082	
3.471	3.406	3.333	3.276	3.082	
3.256	3.406	3.333	3.276	3.082	
3.256	3.224	3.333	3.276	3.082	
3.256	3.623	3.333	3.276	3.082	
3.256	3.577	3.333	3.276	3.082	
3.256	3.309	3.333	3.276	3.082	
3.256	3.421	3.333	3.276	3.082	
3.256	3.721	3.333	3.276	3.082	
3.256	3.626	3.333	3.276	3.082	
3.256	3.334	3.333	3.276	3.082	
3.256	3.188	3.333	3.276	3.082	
3.256	3.605	3.333	3.276	3.082	
3.256	3.568	3.333	3.276	3.082	
3.256	3.305	3.333	3.276	3.082	
3.256	3.663	3.333	3.276	3.082	
3.256	3.597	3.333	3.276	3.082	
3.256	3.564	3.333	3.276	3.082	
3.256	3.303	3.333	3.276	3.082	
3.256	3.417	3.333	3.276	3.082	
3.256	3.719	3.333	3.276	3.082	
3.256	3.625	3.333	3.276	3.082	
3.256	3.334	3.333	3.276	3.082	
3.256	3.677	3.333	3.276	3.082	
3.256	3.604	3.333	3.276	3.082	
3.256	3.568	3.333	3.276	3.082	
3.256	3.305	3.333	3.276	3.082	
3.256	3.418	3.333	3.276	3.082	
3.256	3.720	3.333	3.276	3.082	
3.256	3.381	3.333	3.276	3.082	
3.256	3.211	3.333	3.276	3.082	
3.256	3.616	3.333	3.276	3.082	
3.256	3.574	3.333	3.276	3.082	
3.256	3.308	3.333	3.276	3.082	
3.256	3.420	3.333	3.276	3.082	
3.256	3.476	3.333	3.276	3.082	
3.256	3.748	3.333	3.276	3.082	
3.256	3.395	3.333	3.276	3.082	
3.256	3.218	3.333	3.276	3.082	
3.256	3.620	3.333	3.276	3.082	
3.256	3.576	3.333	3.276	3.082	
3.256	3.554	3.333	3.276	3.082	
3.256	3.298	3.333	3.276	3.082	
3.256	3.415	3.333	3.276	3.082	
3.256	3.718	3.333	3.276	3.082	
3.256	3.625	3.333	3.276	3.082	
3.256	3.333	3.333	3.276	3.082	
3.256	3.677	3.333	3.276	3.082	
3.256	3.604	3.333	3.276	3.082	
3.256	3.568	3.333	3.276	3.082	
3.256	3.305	3.333	3.276	3.082	
3.256	3.305	3.188	3.276	3.082	
3.256	3.305	3.360	3.276	3.082	
3.256	3.305	3.446	3.276	3.082	
3.256	3.305	3.733	3.276	3.082	
3.256	3.305	3.388	3.276	3.082	
3.256	3.305	3.215	3.276	3.082	
