Server_05	Server_0	Server_00	Server_07	Server_04	
3.776	4.000	3.461	3.012	3.931	
3.776	3.766	3.461	3.012	3.931	
3.776	3.766	3.461	3.012	3.486	
3.409	3.766	3.461	3.012	3.486	
3.409	3.649	3.461	3.012	3.486	
3.409	3.345	3.461	3.012	3.486	
3.409	3.345	3.461	3.012	3.264	
3.409	3.345	3.461	3.012	3.398	
3.409	3.345	3.461	3.012	3.465	
3.409	3.345	3.461	3.012	3.498	
3.409	3.345	3.461	3.012	3.515	
3.409	3.345	3.461	3.012	3.523	
3.409	3.345	3.461	3.012	3.527	
3.409	3.345	3.461	3.012	3.530	
3.409	3.345	3.461	3.012	3.531	
3.409	3.345	3.461	3.012	3.286	
3.409	3.345	3.461	3.012	3.409	
3.409	3.345	3.461	3.012	3.470	
3.409	3.345	3.461	3.012	3.501	
3.409	3.345	3.461	3.012	3.271	
3.409	3.345	3.252	3.012	3.271	
3.409	3.345	3.392	3.012	3.271	
3.409	3.345	3.462	3.012	3.271	
3.409	3.345	3.497	3.012	3.271	
3.409	3.345	3.269	3.012	3.271	
3.409	3.345	3.400	3.012	3.271	
3.409	3.345	3.711	3.012	3.271	
3.409	3.345	3.621	3.012	3.271	
3.409	3.345	3.331	3.012	3.271	
3.225	3.345	3.331	3.012	3.271	
3.623	3.345	3.331	3.012	3.271	
3.577	3.345	3.331	3.012	3.271	
3.310	3.345	3.331	3.012	3.271	
3.665	3.345	3.331	3.012	3.271	
3.598	3.345	3.331	3.012	3.271	
3.320	3.345	3.331	3.012	3.271	
3.671	3.345	3.331	3.012	3.271	
3.601	3.345	3.331	3.012	3.271	
3.321	3.345	3.331	3.012	3.271	
3.427	3.345	3.331	3.012	3.271	
3.479	3.345	3.331	3.012	3.271	
3.750	3.345	3.331	3.012	3.271	
3.641	3.345	3.331	3.012	3.271	
3.341	3.345	3.331	3.012	3.271	
3.436	3.345	3.331	3.012	3.271	
3.484	3.345	3.331	3.012	3.271	
3.263	3.345	3.331	3.012	3.271	
3.397	3.345	3.331	3.012	3.271	
3.709	3.345	3.331	3.012	3.271	
3.376	3.345	3.331	3.012	3.271	
3.209	3.345	3.331	3.012	3.271	
3.370	3.345	3.331	3.012	3.271	
3.696	3.345	3.331	3.012	3.271	
3.614	3.345	3.331	3.012	3.271	
3.328	3.345	3.331	3.012	3.271	
3.674	3.345	3.331	3.012	3.271	
3.603	3.345	3.331	3.012	3.271	
3.567	3.345	3.331	3.012	3.271	
3.305	3.345	3.331	3.012	3.271	
3.418	3.345	3.331	3.012	3.271	
3.720	3.345	3.331	3.012	3.271	
3.626	3.345	3.331	3.012	3.271	
3.579	3.345	3.331	3.012	3.271	
3.555	3.345	3.331	3.012	3.271	
3.298	3.345	3.331	3.012	3.271	
3.415	3.345	3.331	3.012	3.271	
3.718	3.345	3.331	3.012	3.271	
3.625	3.345	3.331	3.012	3.271	
3.578	3.345	3.331	3.012	3.271	
3.555	3.345	3.331	3.012	3.271	
3.543	3.345	3.331	3.012	3.271	
3.293	3.345	3.331	3.012	3.271	
3.293	3.194	3.331	3.012	3.271	
3.293	3.607	3.331	3.012	3.271	
3.293	3.325	3.331	3.012	3.271	
3.293	3.673	3.331	3.012	3.271	
3.293	3.602	3.331	3.012	3.271	
3.293	3.322	3.331	3.012	3.271	
3.293	3.322	3.187	3.012	3.271	
3.293	3.322	3.604	3.012	3.271	
3.293	3.322	3.568	3.012	3.271	
3.293	3.322	3.305	3.012	3.271	
3.293	3.322	3.663	3.012	3.271	
3.293	3.322	3.597	3.012	3.271	
3.293	3.322	3.564	3.012	3.271	
3.293	3.322	3.548	3.012	3.271	
3.293	3.322	3.540	3.012	3.271	
3.293	3.322	3.536	3.012	3.271	
3.293	3.322	3.534	3.012	3.271	
3.293	3.322	3.533	3.012	3.271	
