Server_05	Server_0	Server_01	Server_0E	Server_08	
3.776	4.000	3.095	3.041	3.939	
3.899	4.000	3.095	3.041	3.939	
3.899	3.766	3.095	3.041	3.939	
3.899	3.766	3.095	3.041	3.735	
3.899	3.766	3.095	3.041	3.878	
3.715	3.766	3.095	3.041	3.878	
3.868	3.766	3.095	3.041	3.878	
3.868	3.766	3.095	3.041	3.705	
3.700	3.766	3.095	3.041	3.705	
3.700	3.649	3.095	3.041	3.705	
3.700	3.649	3.095	3.041	3.618	
3.616	3.649	3.095	3.041	3.618	
3.616	3.590	3.095	3.041	3.618	
3.616	3.590	3.095	3.041	3.330	
3.574	3.590	3.095	3.041	3.330	
3.574	3.561	3.095	3.041	3.330	
3.308	3.561	3.095	3.041	3.330	
3.308	3.546	3.095	3.041	3.330	
3.308	3.784	3.095	3.041	3.330	
3.308	3.658	3.095	3.041	3.330	
3.308	3.595	3.095	3.041	3.330	
3.308	3.563	3.095	3.041	3.330	
3.308	3.792	3.095	3.041	3.330	
3.308	3.662	3.095	3.041	3.330	
3.308	3.597	3.095	3.041	3.330	
3.308	3.564	3.095	3.041	3.330	
3.308	3.548	3.095	3.041	3.330	
3.308	3.540	3.095	3.041	3.330	
3.308	3.536	3.095	3.041	3.330	
3.308	3.534	3.095	3.041	3.330	
3.308	3.288	3.095	3.041	3.330	
3.308	3.410	3.095	3.041	3.330	
3.308	3.715	3.095	3.041	3.330	
3.308	3.624	3.095	3.041	3.330	
3.308	3.333	3.095	3.041	3.330	
3.308	3.187	3.095	3.041	3.330	
3.308	3.604	3.095	3.041	3.330	
3.308	3.813	3.095	3.041	3.330	
3.308	3.427	3.095	3.041	3.330	
3.308	3.479	3.095	3.041	3.330	
3.308	3.506	3.095	3.041	3.330	
3.308	3.274	3.095	3.041	3.330	
3.308	3.274	3.095	3.041	3.186	
3.308	3.274	3.095	3.041	3.359	
3.308	3.274	3.095	3.041	3.445	
3.308	3.274	3.095	3.041	3.733	
3.308	3.274	3.095	3.041	3.632	
3.308	3.274	3.095	3.041	3.337	
3.308	3.274	3.095	3.041	3.679	
3.308	3.274	3.095	3.041	3.605	
3.308	3.274	3.095	3.041	3.568	
3.308	3.274	3.095	3.041	3.550	
3.308	3.274	3.095	3.041	3.296	
3.308	3.274	3.095	3.041	3.659	
3.308	3.274	3.095	3.041	3.595	
3.308	3.274	3.095	3.041	3.563	
3.308	3.274	3.095	3.041	3.303	
3.308	3.274	3.095	3.041	3.662	
3.308	3.274	3.095	3.041	3.597	
3.308	3.274	3.095	3.041	3.319	
3.308	3.274	3.095	3.041	3.425	
3.308	3.274	3.095	3.041	3.723	
3.308	3.274	3.095	3.041	3.627	
3.308	3.274	3.095	3.041	3.335	
3.308	3.274	3.095	3.041	3.433	
3.308	3.274	3.095	3.041	3.727	
3.308	3.274	3.095	3.041	3.629	
3.308	3.274	3.095	3.041	3.336	
3.308	3.274	3.095	3.041	3.189	
3.308	3.274	3.095	3.041	3.605	
3.308	3.274	3.095	3.041	3.568	
3.308	3.274	3.095	3.041	3.550	
3.308	3.274	3.095	3.041	3.296	
3.308	3.274	3.095	3.041	3.659	
3.308	3.274	3.095	3.041	3.595	
3.308	3.274	3.095	3.041	3.318	
3.308	3.274	3.095	3.041	3.425	
3.308	3.274	3.095	3.041	3.233	
3.308	3.274	3.095	3.041	3.627	
3.308	3.274	3.095	3.041	3.335	
3.308	3.274	3.095	3.041	3.433	
3.308	3.274	3.095	3.041	3.727	
3.308	3.274	3.095	3.041	3.384	
3.308	3.274	3.095	3.041	3.213	
3.308	3.274	3.095	3.041	3.617	
3.308	3.274	3.095	3.041	3.574	
3.308	3.274	3.095	3.041	3.308	
3.308	3.274	3.095	3.041	3.665	
3.308	3.274	3.095	3.041	3.598	
3.308	3.274	3.095	3.041	3.565	
3.308	3.274	3.095	3.041	3.303	
3.308	3.274	3.095	3.041	3.417	
3.308	3.274	3.095	3.041	3.719	
3.308	3.274	3.095	3.041	3.625	
3.308	3.274	3.095	3.041	3.334	
3.308	3.274	3.095	3.041	3.188	
3.308	3.274	3.095	3.041	3.604	
3.308	3.274	3.095	3.041	3.568	
3.308	3.274	3.095	3.041	3.795	
3.308	3.274	3.095	3.041	3.663	
3.308	3.274	3.095	3.041	3.597	
3.308	3.274	3.095	3.041	3.320	
3.308	3.274	3.095	3.041	3.426	
3.308	3.274	3.095	3.041	3.479	
3.308	3.274	3.095	3.041	3.750	
3.308	3.274	3.095	3.041	3.641	
3.308	3.274	3.095	3.041	3.586	
3.308	3.274	3.095	3.041	3.314	
3.308	3.274	3.095	3.041	3.178	
3.308	3.274	3.095	3.041	3.600	
3.308	3.274	3.095	3.041	3.566	
3.308	3.274	3.095	3.041	3.304	
3.308	3.274	3.095	3.041	3.418	
3.308	3.274	3.095	3.041	3.719	
3.308	3.274	3.095	3.041	3.626	
3.308	3.274	3.095	3.041	3.579	
3.308	3.274	3.095	3.041	3.555	
3.308	3.274	3.095	3.041	3.543	
3.308	3.274	3.095	3.041	3.537	
3.308	3.274	3.095	3.041	3.535	
3.308	3.274	3.095	3.041	3.533	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.287	
3.308	3.274	3.095	3.041	3.654	
3.308	3.274	3.095	3.041	3.593	
3.308	3.274	3.095	3.041	3.562	
3.308	3.274	3.095	3.041	3.302	
3.308	3.274	3.095	3.041	3.662	
3.308	3.274	3.095	3.041	3.597	
3.308	3.274	3.095	3.041	3.319	
3.308	3.274	3.095	3.041	3.180	
3.308	3.274	3.095	3.041	3.601	
3.308	3.274	3.095	3.041	3.566	
3.308	3.274	3.095	3.041	3.549	
3.308	3.274	3.095	3.041	3.540	
3.308	3.274	3.095	3.041	3.291	
3.308	3.274	3.095	3.041	3.656	
3.308	3.274	3.095	3.041	3.594	
3.308	3.274	3.095	3.041	3.563	
3.308	3.274	3.095	3.041	3.547	
3.308	3.274	3.095	3.041	3.539	
3.308	3.274	3.095	3.041	3.535	
3.308	3.274	3.095	3.041	3.534	
3.308	3.274	3.095	3.041	3.533	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.287	
3.308	3.274	3.095	3.041	3.654	
3.308	3.274	3.095	3.041	3.593	
3.308	3.274	3.095	3.041	3.562	
3.308	3.274	3.095	3.041	3.547	
3.308	3.274	3.095	3.041	3.539	
3.308	3.274	3.095	3.041	3.535	
3.308	3.274	3.095	3.041	3.534	
3.308	3.274	3.095	3.041	3.533	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.777	
3.308	3.274	3.095	3.041	3.654	
3.308	3.274	3.095	3.041	3.593	
3.308	3.274	3.095	3.041	3.562	
3.308	3.274	3.095	3.041	3.547	
3.308	3.274	3.095	3.041	3.539	
3.308	3.274	3.095	3.041	3.535	
3.308	3.274	3.095	3.041	3.534	
3.308	3.274	3.095	3.041	3.533	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.287	
3.308	3.274	3.095	3.041	3.654	
3.308	3.274	3.095	3.041	3.593	
3.308	3.274	3.095	3.041	3.562	
3.308	3.274	3.095	3.041	3.302	
3.308	3.274	3.095	3.041	3.662	
3.308	3.274	3.095	3.041	3.597	
3.308	3.274	3.095	3.041	3.564	
3.308	3.274	3.095	3.041	3.548	
3.308	3.274	3.095	3.041	3.540	
3.308	3.274	3.095	3.041	3.536	
3.308	3.274	3.095	3.041	3.534	
3.308	3.274	3.095	3.041	3.533	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.287	
3.308	3.274	3.095	3.041	3.654	
3.308	3.274	3.095	3.041	3.593	
3.308	3.274	3.095	3.041	3.562	
3.308	3.274	3.095	3.041	3.547	
3.308	3.274	3.095	3.041	3.539	
3.308	3.274	3.095	3.041	3.535	
3.308	3.274	3.095	3.041	3.534	
3.308	3.274	3.095	3.041	3.533	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.287	
3.308	3.274	3.095	3.041	3.409	
3.308	3.274	3.095	3.041	3.715	
3.308	3.274	3.095	3.041	3.623	
3.308	3.274	3.095	3.041	3.333	
3.308	3.274	3.095	3.041	3.677	
3.308	3.274	3.095	3.041	3.604	
3.308	3.274	3.095	3.041	3.568	
3.308	3.274	3.095	3.041	3.550	
3.308	3.274	3.095	3.041	3.296	
3.308	3.274	3.095	3.041	3.414	
3.308	3.274	3.095	3.041	3.717	
3.308	3.274	3.095	3.041	3.625	
3.308	3.274	3.095	3.041	3.578	
3.308	3.274	3.095	3.041	3.310	
3.308	3.274	3.095	3.041	3.421	
3.308	3.274	3.095	3.041	3.476	
3.308	3.274	3.095	3.041	3.749	
3.308	3.274	3.095	3.041	3.640	
3.308	3.274	3.095	3.041	3.586	
3.308	3.274	3.095	3.041	3.559	
3.308	3.274	3.095	3.041	3.545	
3.308	3.274	3.095	3.041	3.538	
3.308	3.274	3.095	3.041	3.535	
3.308	3.274	3.095	3.041	3.533	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.532	
3.308	3.274	3.095	3.041	3.287	
