Server_05	Server_0	Server_0F	Server_00	Server_0D	
3.776	4.000	3.572	3.252	3.264	
3.776	3.766	3.572	3.252	3.264	
3.654	3.766	3.572	3.252	3.264	
3.654	3.404	3.572	3.252	3.264	
3.348	3.404	3.572	3.252	3.264	
3.348	3.404	3.552	3.252	3.264	
3.348	3.404	3.542	3.252	3.264	
3.348	3.404	3.292	3.252	3.264	
3.348	3.223	3.292	3.252	3.264	
3.195	3.223	3.292	3.252	3.264	
3.195	3.223	3.167	3.252	3.264	
3.195	3.223	3.349	3.252	3.264	
3.195	3.223	3.195	3.252	3.264	
3.195	3.223	3.195	3.252	3.153	
3.195	3.223	3.195	3.147	3.153	
3.195	3.223	3.195	3.584	3.153	
3.195	3.223	3.195	3.313	3.153	
3.195	3.223	3.195	3.422	3.153	
3.195	3.223	3.195	3.722	3.153	
3.195	3.223	3.195	3.627	3.153	
3.195	3.223	3.195	3.579	3.153	
3.195	3.223	3.195	3.555	3.153	
3.195	3.223	3.195	3.299	3.153	
3.195	3.223	3.195	3.415	3.153	
3.195	3.223	3.195	3.718	3.153	
3.195	3.223	3.195	3.380	3.153	
3.195	3.223	3.195	3.456	3.153	
3.195	3.223	3.195	3.494	3.153	
3.195	3.223	3.195	3.513	3.153	
3.195	3.223	3.195	3.277	3.153	
3.195	3.223	3.195	3.404	3.153	
3.195	3.223	3.195	3.713	3.153	
3.195	3.223	3.195	3.622	3.153	
3.195	3.223	3.195	3.332	3.153	
3.195	3.223	3.195	3.432	3.153	
3.195	3.223	3.195	3.726	3.153	
3.195	3.223	3.195	3.629	3.153	
3.195	3.223	3.195	3.580	3.153	
3.195	3.223	3.195	3.556	3.153	
3.195	3.223	3.195	3.544	3.153	
3.195	3.223	3.195	3.538	3.153	
3.195	3.223	3.195	3.535	3.153	
3.195	3.223	3.195	3.533	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.532	3.153	
3.195	3.223	3.195	3.287	3.153	
3.195	3.223	3.195	3.409	3.153	
3.195	3.223	3.195	3.715	3.153	
3.195	3.223	3.195	3.378	3.153	
3.195	3.223	3.195	3.455	3.153	
3.195	3.223	3.195	3.738	3.153	
3.195	3.223	3.195	3.635	3.153	
3.195	3.223	3.195	3.583	3.153	
3.195	3.223	3.195	3.313	3.153	
3.195	3.223	3.195	3.422	3.153	
3.195	3.223	3.195	3.722	3.153	
3.195	3.223	3.195	3.627	3.153	
3.195	3.223	3.195	3.334	3.153	
3.195	3.223	3.195	3.433	3.153	
3.195	3.223	3.195	3.482	3.153	
