Server_05	Server_0	Server_09	Server_02	Server_0C	
3.776	4.000	3.777	3.252	3.085	
3.776	3.766	3.777	3.252	3.085	
3.776	3.893	3.777	3.252	3.085	
3.776	3.957	3.777	3.252	3.085	
3.776	3.989	3.777	3.252	3.085	
3.776	3.760	3.777	3.252	3.085	
3.776	3.760	3.654	3.252	3.085	
3.776	3.760	3.838	3.252	3.085	
3.776	3.760	3.929	3.252	3.085	
3.776	3.760	3.731	3.252	3.085	
3.776	3.760	4.121	3.252	3.085	
3.776	3.760	4.071	3.252	3.085	
3.776	3.760	3.801	3.252	3.085	
3.776	3.760	3.911	3.252	3.085	
3.776	3.760	3.966	3.252	3.085	
3.776	3.760	3.749	3.252	3.085	
3.776	3.760	3.885	3.252	3.085	
3.776	3.760	3.708	3.252	3.085	
3.776	3.760	3.865	3.252	3.085	
3.776	3.760	3.698	3.252	3.085	
3.654	3.760	3.698	3.252	3.085	
3.654	3.646	3.698	3.252	3.085	
3.654	3.646	3.615	3.252	3.085	
3.654	3.646	3.818	3.252	3.085	
3.654	3.646	3.675	3.252	3.085	
3.654	3.646	3.848	3.252	3.085	
3.654	3.646	3.690	3.252	3.085	
3.654	3.646	3.855	3.252	3.085	
3.654	3.646	3.694	3.252	3.085	
3.654	3.646	3.857	3.252	3.085	
3.654	3.646	3.694	3.252	3.085	
3.654	3.646	3.613	3.252	3.085	
3.654	3.646	3.817	3.252	3.085	
3.654	3.646	3.674	3.252	3.085	
3.654	3.646	3.848	3.252	3.085	
3.654	3.646	3.690	3.252	3.085	
3.654	3.646	3.611	3.252	3.085	
3.593	3.646	3.611	3.252	3.085	
3.593	3.344	3.611	3.252	3.085	
3.593	3.683	3.611	3.252	3.085	
3.593	3.362	3.611	3.252	3.085	
3.593	3.362	3.571	3.252	3.085	
3.562	3.362	3.571	3.252	3.085	
3.562	3.362	3.551	3.252	3.085	
3.562	3.362	3.786	3.252	3.085	
3.562	3.362	3.659	3.252	3.085	
3.562	3.362	3.350	3.252	3.085	
3.562	3.362	3.686	3.252	3.085	
3.562	3.362	3.609	3.252	3.085	
3.562	3.362	3.570	3.252	3.085	
3.562	3.362	3.551	3.252	3.085	
3.547	3.362	3.551	3.252	3.085	
3.547	3.362	3.296	3.252	3.085	
3.547	3.362	3.659	3.252	3.085	
3.547	3.362	3.350	3.252	3.085	
3.294	3.362	3.350	3.252	3.085	
3.413	3.362	3.350	3.252	3.085	
3.717	3.362	3.350	3.252	3.085	
3.624	3.362	3.350	3.252	3.085	
3.578	3.362	3.350	3.252	3.085	
3.310	3.362	3.350	3.252	3.085	
3.421	3.362	3.350	3.252	3.085	
3.721	3.362	3.350	3.252	3.085	
3.626	3.362	3.350	3.252	3.085	
3.334	3.362	3.350	3.252	3.085	
3.678	3.362	3.350	3.252	3.085	
3.605	3.362	3.350	3.252	3.085	
3.323	3.362	3.350	3.252	3.085	
3.672	3.362	3.350	3.252	3.085	
3.602	3.362	3.350	3.252	3.085	
3.322	3.362	3.350	3.252	3.085	
3.427	3.362	3.350	3.252	3.085	
3.479	3.362	3.350	3.252	3.085	
3.505	3.362	3.350	3.252	3.085	
3.518	3.362	3.350	3.252	3.085	
3.280	3.362	3.350	3.252	3.085	
3.406	3.362	3.350	3.252	3.085	
3.714	3.362	3.350	3.252	3.085	
3.378	3.362	3.350	3.252	3.085	
3.455	3.362	3.350	3.252	3.085	
3.738	3.362	3.350	3.252	3.085	
3.390	3.362	3.350	3.252	3.085	
3.216	3.362	3.350	3.252	3.085	
3.619	3.362	3.350	3.252	3.085	
3.575	3.362	3.350	3.252	3.085	
3.308	3.362	3.350	3.252	3.085	
3.420	3.362	3.350	3.252	3.085	
3.721	3.362	3.350	3.252	3.085	
3.626	3.362	3.350	3.252	3.085	
3.579	3.362	3.350	3.252	3.085	
3.310	3.362	3.350	3.252	3.085	
3.310	3.202	3.350	3.252	3.085	
3.310	3.612	3.350	3.252	3.085	
3.310	3.572	3.350	3.252	3.085	
3.310	3.307	3.350	3.252	3.085	
3.310	3.664	3.350	3.252	3.085	
3.310	3.598	3.350	3.252	3.085	
3.310	3.320	3.350	3.252	3.085	
3.310	3.426	3.350	3.252	3.085	
3.310	3.723	3.350	3.252	3.085	
3.310	3.628	3.350	3.252	3.085	
3.310	3.580	3.350	3.252	3.085	
3.310	3.311	3.350	3.252	3.085	
3.310	3.421	3.350	3.252	3.085	
3.310	3.721	3.350	3.252	3.085	
3.310	3.626	3.350	3.252	3.085	
3.310	3.334	3.350	3.252	3.085	
3.310	3.433	3.350	3.252	3.085	
3.310	3.482	3.350	3.252	3.085	
3.310	3.507	3.350	3.252	3.085	
3.310	3.274	3.350	3.252	3.085	
3.310	3.648	3.350	3.252	3.085	
3.310	3.590	3.350	3.252	3.085	
3.310	3.561	3.350	3.252	3.085	
3.310	3.301	3.350	3.252	3.085	
3.310	3.661	3.350	3.252	3.085	
3.310	3.596	3.350	3.252	3.085	
3.310	3.564	3.350	3.252	3.085	
3.310	3.548	3.350	3.252	3.085	
3.310	3.540	3.350	3.252	3.085	
3.310	3.536	3.350	3.252	3.085	
3.310	3.289	3.350	3.252	3.085	
3.310	3.655	3.350	3.252	3.085	
3.310	3.593	3.350	3.252	3.085	
3.310	3.562	3.350	3.252	3.085	
3.310	3.547	3.350	3.252	3.085	
3.310	3.539	3.350	3.252	3.085	
3.310	3.535	3.350	3.252	3.085	
3.310	3.534	3.350	3.252	3.085	
3.310	3.533	3.350	3.252	3.085	
3.310	3.532	3.350	3.252	3.085	
3.310	3.287	3.350	3.252	3.085	
3.310	3.654	3.350	3.252	3.085	
3.310	3.593	3.350	3.252	3.085	
3.310	3.562	3.350	3.252	3.085	
3.310	3.302	3.350	3.252	3.085	
3.310	3.417	3.350	3.252	3.085	
3.310	3.474	3.350	3.252	3.085	
3.310	3.258	3.350	3.252	3.085	
3.310	3.395	3.350	3.252	3.085	
3.310	3.708	3.350	3.252	3.085	
3.310	3.375	3.350	3.252	3.085	
3.310	3.208	3.350	3.252	3.085	
3.310	3.370	3.350	3.252	3.085	
3.310	3.451	3.350	3.252	3.085	
3.310	3.491	3.350	3.252	3.085	
3.310	3.511	3.350	3.252	3.085	
3.310	3.521	3.350	3.252	3.085	
3.310	3.527	3.350	3.252	3.085	
3.310	3.284	3.350	3.252	3.085	
3.310	3.408	3.350	3.252	3.085	
3.310	3.470	3.350	3.252	3.085	
3.310	3.501	3.350	3.252	3.085	
3.310	3.516	3.350	3.252	3.085	
3.310	3.524	3.350	3.252	3.085	
3.310	3.528	3.350	3.252	3.085	
3.310	3.285	3.350	3.252	3.085	
3.310	3.408	3.350	3.252	3.085	
3.310	3.470	3.350	3.252	3.085	
3.310	3.501	3.350	3.252	3.085	
3.310	3.271	3.350	3.252	3.085	
3.310	3.401	3.350	3.252	3.085	
3.310	3.467	3.350	3.252	3.085	
3.310	3.254	3.350	3.252	3.085	
3.310	3.393	3.350	3.252	3.085	
3.310	3.462	3.350	3.252	3.085	
3.310	3.497	3.350	3.252	3.085	
