Server_06	Server_0	Server_0A	Server_04	Server_0C	
3.776	4.000	3.561	3.079	3.766	
3.776	3.766	3.561	3.079	3.766	
3.409	3.766	3.561	3.079	3.766	
3.409	3.766	3.561	3.079	3.649	
3.409	3.649	3.561	3.079	3.649	
3.409	3.649	3.561	3.079	3.590	
3.409	3.345	3.561	3.079	3.590	
3.409	3.345	3.561	3.079	3.316	
3.409	3.345	3.546	3.079	3.316	
3.409	3.345	3.294	3.079	3.316	
3.409	3.345	3.413	3.079	3.316	
3.409	3.345	3.472	3.079	3.316	
3.409	3.345	3.502	3.079	3.316	
3.409	3.345	3.272	3.079	3.316	
3.225	3.345	3.272	3.079	3.316	
3.225	3.194	3.272	3.079	3.316	
3.225	3.194	3.272	3.079	3.179	
3.225	3.194	3.272	3.079	3.600	
3.225	3.194	3.272	3.079	3.566	
3.225	3.194	3.272	3.079	3.304	
3.225	3.194	3.272	3.079	3.662	
3.225	3.194	3.272	3.079	3.352	
3.225	3.194	3.272	3.079	3.197	
3.225	3.194	3.272	3.079	3.609	
3.225	3.194	3.272	3.079	3.815	
3.225	3.194	3.272	3.079	3.673	
3.225	3.194	3.272	3.079	3.358	
3.225	3.194	3.272	3.079	3.445	
3.225	3.194	3.272	3.079	3.488	
3.225	3.194	3.272	3.079	3.265	
3.225	3.194	3.272	3.079	3.398	
3.225	3.194	3.272	3.079	3.710	
3.225	3.194	3.272	3.079	3.376	
3.225	3.194	3.272	3.079	3.209	
3.225	3.194	3.272	3.079	3.615	
3.225	3.194	3.272	3.079	3.573	
3.225	3.194	3.272	3.079	3.552	
3.225	3.194	3.272	3.079	3.297	
3.225	3.194	3.272	3.079	3.414	
3.225	3.194	3.272	3.079	3.473	
3.225	3.194	3.272	3.079	3.747	
3.225	3.194	3.272	3.079	3.639	
3.225	3.194	3.272	3.079	3.341	
3.225	3.194	3.272	3.079	3.681	
3.225	3.194	3.272	3.079	3.361	
3.225	3.194	3.272	3.079	3.202	
3.225	3.194	3.272	3.079	3.367	
3.225	3.194	3.272	3.079	3.694	
3.225	3.194	3.272	3.079	3.613	
3.225	3.194	3.272	3.079	3.572	
3.225	3.194	3.272	3.079	3.307	
3.225	3.194	3.272	3.079	3.419	
3.225	3.194	3.272	3.079	3.475	
3.225	3.194	3.272	3.079	3.504	
3.225	3.194	3.272	3.079	3.518	
3.225	3.194	3.272	3.079	3.525	
3.225	3.194	3.272	3.079	3.528	
3.225	3.194	3.272	3.079	3.285	
3.225	3.194	3.272	3.079	3.408	
3.225	3.194	3.272	3.079	3.225	
3.225	3.194	3.272	3.079	3.378	
3.225	3.194	3.272	3.079	3.210	
3.225	3.194	3.272	3.079	3.371	
3.225	3.194	3.272	3.079	3.451	
3.225	3.194	3.272	3.079	3.247	
3.225	3.194	3.272	3.079	3.389	
3.225	3.194	3.272	3.079	3.215	
3.225	3.194	3.272	3.079	3.374	
3.225	3.194	3.272	3.079	3.208	
3.225	3.194	3.272	3.079	3.370	
3.225	3.194	3.272	3.079	3.206	
3.225	3.194	3.272	3.079	3.369	
3.225	3.194	3.272	3.079	3.205	
3.225	3.194	3.272	3.079	3.368	
3.225	3.194	3.272	3.079	3.450	
3.225	3.194	3.272	3.079	3.246	
3.225	3.194	3.272	3.079	3.389	
3.225	3.194	3.272	3.079	3.215	
3.225	3.194	3.272	3.079	3.373	
3.225	3.194	3.272	3.079	3.208	
3.225	3.194	3.272	3.079	3.370	
3.225	3.194	3.272	3.079	3.206	
3.225	3.194	3.157	3.079	3.206	
3.225	3.194	3.589	3.079	3.206	
3.225	3.194	3.560	3.079	3.206	
3.225	3.194	3.301	3.079	3.206	
3.225	3.194	3.661	3.079	3.206	
3.225	3.194	3.596	3.079	3.206	
3.225	3.194	3.564	3.079	3.206	
3.225	3.194	3.548	3.079	3.206	
3.225	3.194	3.540	3.079	3.206	
3.225	3.194	3.536	3.079	3.206	
3.225	3.194	3.534	3.079	3.206	
3.225	3.194	3.533	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.287	3.079	3.206	
3.225	3.194	3.654	3.079	3.206	
3.225	3.194	3.348	3.079	3.206	
3.225	3.194	3.440	3.079	3.206	
3.225	3.194	3.241	3.079	3.206	
3.225	3.194	3.386	3.079	3.206	
3.225	3.194	3.704	3.079	3.206	
3.225	3.194	3.373	3.079	3.206	
3.225	3.194	3.452	3.079	3.206	
3.225	3.194	3.737	3.079	3.206	
3.225	3.194	3.634	3.079	3.206	
3.225	3.194	3.583	3.079	3.206	
3.225	3.194	3.557	3.079	3.206	
3.225	3.194	3.544	3.079	3.206	
3.225	3.194	3.538	3.079	3.206	
3.225	3.194	3.535	3.079	3.206	
3.225	3.194	3.533	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.287	3.079	3.206	
3.225	3.194	3.654	3.079	3.206	
3.225	3.194	3.348	3.079	3.206	
3.225	3.194	3.440	3.079	3.206	
3.225	3.194	3.486	3.079	3.206	
3.225	3.194	3.509	3.079	3.206	
3.225	3.194	3.520	3.079	3.206	
3.225	3.194	3.526	3.079	3.206	
3.225	3.194	3.774	3.079	3.206	
3.225	3.194	3.653	3.079	3.206	
3.225	3.194	3.592	3.079	3.206	
3.225	3.194	3.562	3.079	3.206	
3.225	3.194	3.547	3.079	3.206	
3.225	3.194	3.539	3.079	3.206	
3.225	3.194	3.535	3.079	3.206	
3.225	3.194	3.533	3.079	3.206	
3.225	3.194	3.533	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.532	3.079	3.206	
3.225	3.194	3.287	3.079	3.206	
3.225	3.194	3.654	3.079	3.206	
3.225	3.194	3.593	3.079	3.206	
3.225	3.194	3.562	3.079	3.206	
3.225	3.194	3.547	3.079	3.206	
3.225	3.194	3.539	3.079	3.206	
3.225	3.194	3.291	3.079	3.206	
3.225	3.194	3.411	3.079	3.206	
3.225	3.194	3.716	3.079	3.206	
3.225	3.194	3.624	3.079	3.206	
3.225	3.194	3.578	3.079	3.206	
3.225	3.194	3.799	3.079	3.206	
3.225	3.194	3.666	3.079	3.206	
3.225	3.194	3.599	3.079	3.206	
3.225	3.194	3.565	3.079	3.206	
3.225	3.194	3.793	3.079	3.206	
3.225	3.194	3.662	3.079	3.206	
3.225	3.194	3.597	3.079	3.206	
3.225	3.194	3.564	3.079	3.206	
3.225	3.194	3.548	3.079	3.206	
