Server_06	Server_0	Server_0F	Server_05	Server_0D	
3.776	4.000	3.196	3.204	3.459	
4.143	4.000	3.196	3.204	3.459	
4.082	4.000	3.196	3.204	3.459	
4.052	4.000	3.196	3.204	3.459	
4.036	4.000	3.196	3.204	3.459	
4.029	4.000	3.196	3.204	3.459	
4.025	4.000	3.196	3.204	3.459	
4.023	4.000	3.196	3.204	3.459	
4.022	4.000	3.196	3.204	3.459	
4.022	4.000	3.196	3.204	3.459	
4.021	4.000	3.196	3.204	3.459	
4.021	4.000	3.196	3.204	3.459	
4.021	4.000	3.196	3.204	3.459	
4.021	4.000	3.196	3.204	3.459	
4.021	4.000	3.196	3.204	3.459	
3.776	4.000	3.196	3.204	3.459	
3.899	4.000	3.196	3.204	3.459	
3.960	4.000	3.196	3.204	3.459	
3.991	4.000	3.196	3.204	3.459	
4.006	4.000	3.196	3.204	3.459	
3.769	4.000	3.196	3.204	3.459	
3.895	4.000	3.196	3.204	3.459	
3.895	3.766	3.196	3.204	3.459	
3.468	3.766	3.196	3.204	3.459	
3.468	3.649	3.196	3.204	3.459	
3.468	3.835	3.196	3.204	3.459	
3.468	3.438	3.196	3.204	3.459	
3.468	3.485	3.196	3.204	3.459	
3.468	3.508	3.196	3.204	3.459	
3.468	3.275	3.196	3.204	3.459	
3.255	3.275	3.196	3.204	3.459	
3.393	3.275	3.196	3.204	3.459	
3.462	3.275	3.196	3.204	3.459	
3.497	3.275	3.196	3.204	3.459	
3.759	3.275	3.196	3.204	3.459	
3.890	3.275	3.196	3.204	3.459	
3.711	3.275	3.196	3.204	3.459	
4.111	3.275	3.196	3.204	3.459	
3.821	3.275	3.196	3.204	3.459	
3.676	3.275	3.196	3.204	3.459	
3.849	3.275	3.196	3.204	3.459	
3.690	3.275	3.196	3.204	3.459	
3.856	3.275	3.196	3.204	3.459	
3.694	3.275	3.196	3.204	3.459	
3.613	3.275	3.196	3.204	3.459	
3.817	3.275	3.196	3.204	3.459	
3.674	3.275	3.196	3.204	3.459	
3.603	3.275	3.196	3.204	3.459	
3.812	3.275	3.196	3.204	3.459	
3.427	3.275	3.196	3.204	3.459	
3.479	3.275	3.196	3.204	3.459	
3.750	3.275	3.196	3.204	3.459	
3.886	3.275	3.196	3.204	3.459	
3.464	3.275	3.196	3.204	3.459	
3.498	3.275	3.196	3.204	3.459	
3.759	3.275	3.196	3.204	3.459	
3.646	3.275	3.196	3.204	3.459	
3.344	3.275	3.196	3.204	3.459	
3.682	3.275	3.196	3.204	3.459	
3.607	3.275	3.196	3.204	3.459	
3.569	3.275	3.196	3.204	3.459	
3.550	3.275	3.196	3.204	3.459	
3.541	3.275	3.196	3.204	3.459	
3.536	3.275	3.196	3.204	3.459	
3.289	3.275	3.196	3.204	3.459	
3.655	3.275	3.196	3.204	3.459	
3.593	3.275	3.196	3.204	3.459	
3.318	3.275	3.196	3.204	3.459	
3.425	3.275	3.196	3.204	3.459	
3.723	3.275	3.196	3.204	3.459	
3.627	3.275	3.196	3.204	3.459	
3.335	3.275	3.196	3.204	3.459	
3.678	3.275	3.196	3.204	3.459	
3.605	3.275	3.196	3.204	3.459	
3.323	3.275	3.196	3.204	3.459	
3.323	3.275	3.196	3.204	3.250	
3.323	3.275	3.196	3.204	3.636	
3.323	3.275	3.196	3.204	3.584	
3.323	3.275	3.196	3.204	3.313	
3.323	3.275	3.196	3.204	3.422	
3.323	3.275	3.196	3.204	3.722	
3.323	3.275	3.196	3.204	3.627	
3.323	3.275	3.196	3.204	3.579	
3.323	3.275	3.196	3.204	3.555	
3.323	3.275	3.196	3.204	3.299	
3.323	3.275	3.196	3.204	3.415	
3.323	3.275	3.196	3.204	3.718	
3.323	3.275	3.196	3.204	3.625	
3.323	3.275	3.196	3.204	3.333	
3.323	3.275	3.196	3.204	3.432	
3.323	3.275	3.196	3.204	3.482	
3.323	3.275	3.196	3.204	3.752	
3.323	3.275	3.196	3.204	3.642	
3.323	3.275	3.196	3.204	3.342	
3.323	3.275	3.196	3.204	3.437	
3.323	3.275	3.196	3.204	3.484	
3.323	3.275	3.196	3.204	3.508	
3.323	3.275	3.196	3.204	3.275	
3.323	3.275	3.196	3.204	3.648	
3.323	3.275	3.196	3.204	3.590	
3.323	3.275	3.196	3.204	3.561	
3.323	3.275	3.196	3.204	3.791	
3.323	3.275	3.196	3.204	3.661	
3.323	3.275	3.196	3.204	3.596	
3.323	3.275	3.196	3.204	3.319	
3.183	3.275	3.196	3.204	3.319	
3.357	3.275	3.196	3.204	3.319	
3.689	3.275	3.196	3.204	3.319	
3.610	3.275	3.196	3.204	3.319	
3.571	3.275	3.196	3.204	3.319	
3.306	3.275	3.196	3.204	3.319	
3.419	3.275	3.196	3.204	3.319	
3.720	3.275	3.196	3.204	3.319	
3.626	3.275	3.196	3.204	3.319	
3.334	3.275	3.196	3.204	3.319	
3.188	3.275	3.196	3.204	3.319	
3.604	3.275	3.196	3.204	3.319	
3.568	3.275	3.196	3.204	3.319	
3.550	3.275	3.196	3.204	3.319	
3.541	3.275	3.196	3.204	3.319	
3.291	3.275	3.196	3.204	3.319	
3.656	3.275	3.196	3.204	3.319	
3.594	3.275	3.196	3.204	3.319	
3.563	3.275	3.196	3.204	3.319	
3.302	3.275	3.196	3.204	3.319	
3.662	3.275	3.196	3.204	3.319	
3.597	3.275	3.196	3.204	3.319	
3.319	3.275	3.196	3.204	3.319	
3.181	3.275	3.196	3.204	3.319	
3.601	3.275	3.196	3.204	3.319	
3.566	3.275	3.196	3.204	3.319	
3.549	3.275	3.196	3.204	3.319	
3.540	3.275	3.196	3.204	3.319	
3.536	3.275	3.196	3.204	3.319	
3.534	3.275	3.196	3.204	3.319	
3.533	3.275	3.196	3.204	3.319	
3.532	3.275	3.196	3.204	3.319	
3.287	3.275	3.196	3.204	3.319	
3.654	3.275	3.196	3.204	3.319	
3.593	3.275	3.196	3.204	3.319	
3.317	3.275	3.196	3.204	3.319	
3.424	3.275	3.196	3.204	3.319	
3.723	3.275	3.196	3.204	3.319	
3.627	3.275	3.196	3.204	3.319	
3.579	3.275	3.196	3.204	3.319	
3.311	3.275	3.196	3.204	3.319	
3.421	3.275	3.196	3.204	3.319	
3.476	3.275	3.196	3.204	3.319	
3.749	3.275	3.196	3.204	3.319	
3.395	3.275	3.196	3.204	3.319	
3.463	3.275	3.196	3.204	3.319	
3.498	3.275	3.196	3.204	3.319	
3.270	3.275	3.196	3.204	3.319	
3.401	3.275	3.196	3.204	3.319	
3.711	3.275	3.196	3.204	3.319	
3.621	3.275	3.196	3.204	3.319	
3.576	3.275	3.196	3.204	3.319	
3.554	3.275	3.196	3.204	3.319	
3.543	3.275	3.196	3.204	3.319	
3.782	3.275	3.196	3.204	3.319	
3.657	3.275	3.196	3.204	3.319	
3.594	3.275	3.196	3.204	3.319	
3.563	3.275	3.196	3.204	3.319	
3.547	3.275	3.196	3.204	3.319	
3.539	3.275	3.196	3.204	3.319	
3.536	3.275	3.196	3.204	3.319	
3.534	3.275	3.196	3.204	3.319	
