Server_06	Server_0	Server_05	Server_0C	Server_0E	
3.776	4.000	3.311	3.967	3.624	
4.388	4.000	3.311	3.967	3.624	
4.413	4.000	3.311	3.967	3.624	
4.217	4.000	3.311	3.967	3.624	
3.140	4.000	3.311	3.967	3.624	
3.581	4.000	3.311	3.967	3.624	
3.801	4.000	3.311	3.967	3.624	
3.911	4.000	3.311	3.967	3.624	
3.966	4.000	3.311	3.967	3.624	
3.994	4.000	3.311	3.967	3.624	
4.007	4.000	3.311	3.967	3.624	
4.014	4.000	3.311	3.967	3.624	
4.018	4.000	3.311	3.967	3.624	
4.019	4.000	3.311	3.967	3.624	
4.020	4.000	3.311	3.967	3.624	
4.021	4.000	3.311	3.967	3.624	
4.021	4.000	3.311	3.967	3.624	
3.776	4.000	3.311	3.967	3.624	
3.899	4.000	3.311	3.967	3.624	
3.960	4.000	3.311	3.967	3.624	
3.991	4.000	3.311	3.967	3.624	
3.991	3.766	3.311	3.967	3.624	
3.761	3.766	3.311	3.967	3.624	
3.891	3.766	3.311	3.967	3.624	
3.956	3.766	3.311	3.967	3.624	
3.956	3.766	3.311	3.749	3.624	
3.744	3.766	3.311	3.749	3.624	
3.883	3.766	3.311	3.749	3.624	
3.952	3.766	3.311	3.749	3.624	
3.742	3.766	3.311	3.749	3.624	
3.742	3.649	3.311	3.749	3.624	
3.742	3.649	3.311	3.396	3.624	
3.637	3.649	3.311	3.396	3.624	
3.637	3.590	3.311	3.396	3.624	
3.339	3.590	3.311	3.396	3.624	
3.680	3.590	3.311	3.396	3.624	
3.851	3.590	3.311	3.396	3.624	
3.691	3.590	3.311	3.396	3.624	
3.856	3.590	3.311	3.396	3.624	
3.939	3.590	3.311	3.396	3.624	
3.980	3.590	3.311	3.396	3.624	
3.756	3.590	3.311	3.396	3.624	
3.888	3.590	3.311	3.396	3.624	
3.710	3.590	3.311	3.396	3.624	
3.866	3.590	3.311	3.396	3.624	
3.699	3.590	3.311	3.396	3.624	
3.615	3.590	3.311	3.396	3.624	
3.818	3.590	3.311	3.396	3.624	
3.675	3.590	3.311	3.396	3.624	
3.603	3.590	3.311	3.396	3.624	
3.603	3.590	3.311	3.396	3.578	
3.567	3.590	3.311	3.396	3.578	
3.794	3.590	3.311	3.396	3.578	
3.663	3.590	3.311	3.396	3.578	
3.352	3.590	3.311	3.396	3.578	
3.687	3.590	3.311	3.396	3.578	
3.609	3.590	3.311	3.396	3.578	
3.815	3.590	3.311	3.396	3.578	
3.673	3.590	3.311	3.396	3.578	
3.602	3.590	3.311	3.396	3.578	
3.567	3.590	3.311	3.396	3.578	
3.567	3.316	3.311	3.396	3.578	
3.567	3.316	3.311	3.396	3.555	
3.567	3.316	3.311	3.396	3.788	
3.567	3.316	3.311	3.396	3.415	
3.549	3.316	3.311	3.396	3.415	
3.296	3.316	3.311	3.396	3.415	
3.658	3.316	3.311	3.396	3.415	
3.350	3.316	3.311	3.396	3.415	
3.686	3.316	3.311	3.396	3.415	
3.609	3.316	3.311	3.396	3.415	
3.325	3.316	3.311	3.396	3.415	
3.325	3.316	3.311	3.396	3.228	
3.325	3.316	3.311	3.396	3.625	
3.325	3.316	3.311	3.396	3.578	
3.325	3.316	3.311	3.396	3.800	
3.325	3.316	3.311	3.396	3.666	
3.325	3.316	3.311	3.396	3.354	
3.325	3.316	3.311	3.396	3.443	
3.325	3.316	3.311	3.396	3.242	
3.325	3.316	3.311	3.396	3.387	
3.325	3.316	3.311	3.396	3.704	
3.325	3.316	3.311	3.396	3.618	
3.325	3.316	3.311	3.396	3.330	
3.325	3.316	3.311	3.396	3.431	
3.325	3.316	3.311	3.396	3.726	
3.325	3.316	3.311	3.396	3.629	
3.325	3.316	3.311	3.396	3.335	
3.325	3.316	3.311	3.219	3.335	
3.325	3.316	3.311	3.620	3.335	
3.325	3.316	3.311	3.576	3.335	
3.325	3.316	3.311	3.309	3.335	
3.325	3.316	3.311	3.309	3.189	
3.325	3.316	3.311	3.309	3.605	
3.325	3.316	3.311	3.309	3.568	
3.325	3.316	3.311	3.309	3.305	
3.325	3.316	3.311	3.309	3.663	
3.325	3.316	3.311	3.309	3.597	
3.325	3.316	3.311	3.309	3.320	
3.184	3.316	3.311	3.309	3.320	
3.358	3.316	3.311	3.309	3.320	
3.689	3.316	3.311	3.309	3.320	
3.366	3.316	3.311	3.309	3.320	
3.449	3.316	3.311	3.309	3.320	
3.735	3.316	3.311	3.309	3.320	
3.388	3.316	3.311	3.309	3.320	
3.215	3.316	3.311	3.309	3.320	
3.373	3.316	3.311	3.309	3.320	
3.697	3.316	3.311	3.309	3.320	
3.614	3.316	3.311	3.309	3.320	
3.573	3.316	3.311	3.309	3.320	
3.307	3.316	3.311	3.309	3.320	
3.419	3.316	3.311	3.309	3.320	
3.720	3.316	3.311	3.309	3.320	
3.626	3.316	3.311	3.309	3.320	
3.334	3.316	3.311	3.309	3.320	
3.433	3.316	3.311	3.309	3.320	
3.727	3.316	3.311	3.309	3.320	
3.629	3.316	3.311	3.309	3.320	
3.580	3.316	3.311	3.309	3.320	
3.311	3.316	3.311	3.309	3.320	
3.421	3.316	3.311	3.309	3.320	
3.476	3.316	3.311	3.309	3.320	
3.504	3.316	3.311	3.309	3.320	
3.518	3.316	3.311	3.309	3.320	
3.280	3.316	3.311	3.309	3.320	
3.650	3.316	3.311	3.309	3.320	
3.346	3.316	3.311	3.309	3.320	
3.439	3.316	3.311	3.309	3.320	
3.730	3.316	3.311	3.309	3.320	
3.631	3.316	3.311	3.309	3.320	
3.581	3.316	3.311	3.309	3.320	
3.556	3.316	3.311	3.309	3.320	
3.544	3.316	3.311	3.309	3.320	
3.538	3.316	3.311	3.309	3.320	
3.535	3.316	3.311	3.309	3.320	
3.533	3.316	3.311	3.309	3.320	
3.287	3.316	3.311	3.309	3.320	
3.410	3.316	3.311	3.309	3.320	
3.715	3.316	3.311	3.309	3.320	
3.623	3.316	3.311	3.309	3.320	
3.333	3.316	3.311	3.309	3.320	
3.432	3.316	3.311	3.309	3.320	
3.482	3.316	3.311	3.309	3.320	
3.507	3.316	3.311	3.309	3.320	
3.519	3.316	3.311	3.309	3.320	
3.280	3.316	3.311	3.309	3.320	
3.651	3.316	3.311	3.309	3.320	
3.591	3.316	3.311	3.309	3.320	
3.561	3.316	3.311	3.309	3.320	
3.302	3.316	3.311	3.309	3.320	
3.661	3.316	3.311	3.309	3.320	
3.596	3.316	3.311	3.309	3.320	
3.319	3.316	3.311	3.309	3.320	
3.319	3.316	3.311	3.309	3.181	
3.319	3.316	3.311	3.309	3.601	
3.319	3.316	3.311	3.309	3.566	
3.319	3.316	3.311	3.309	3.794	
3.319	3.316	3.311	3.309	3.663	
3.319	3.316	3.311	3.309	3.597	
3.319	3.316	3.311	3.309	3.564	
3.319	3.316	3.311	3.309	3.793	
3.319	3.316	3.311	3.309	3.662	
3.319	3.316	3.311	3.309	3.597	
3.319	3.316	3.311	3.309	3.564	
3.319	3.316	3.311	3.309	3.548	
3.319	3.316	3.311	3.309	3.785	
3.319	3.316	3.311	3.309	3.658	
3.319	3.316	3.311	3.309	3.595	
3.319	3.316	3.311	3.309	3.563	
3.319	3.316	3.311	3.309	3.547	
3.319	3.316	3.311	3.309	3.784	
3.319	3.316	3.311	3.309	3.658	
3.319	3.316	3.311	3.309	3.595	
3.319	3.316	3.311	3.309	3.563	
3.319	3.316	3.311	3.309	3.547	
3.319	3.316	3.311	3.309	3.539	
3.319	3.316	3.311	3.309	3.536	
3.319	3.316	3.311	3.309	3.778	
3.319	3.316	3.311	3.309	3.655	
3.319	3.316	3.311	3.309	3.593	
3.319	3.316	3.311	3.309	3.562	
3.319	3.316	3.311	3.309	3.547	
3.319	3.316	3.311	3.309	3.539	
3.319	3.316	3.311	3.309	3.535	
3.319	3.316	3.311	3.309	3.534	
3.319	3.316	3.311	3.309	3.777	
3.319	3.316	3.311	3.309	3.654	
3.319	3.316	3.311	3.309	3.593	
3.319	3.316	3.311	3.309	3.562	
3.319	3.316	3.311	3.309	3.547	
3.319	3.316	3.311	3.309	3.539	
3.319	3.316	3.311	3.309	3.535	
3.319	3.316	3.311	3.309	3.778	
3.319	3.316	3.311	3.309	3.655	
3.319	3.316	3.311	3.309	3.593	
3.319	3.316	3.311	3.309	3.562	
3.319	3.316	3.311	3.309	3.547	
3.319	3.316	3.311	3.309	3.539	
3.319	3.316	3.311	3.309	3.535	
3.319	3.316	3.311	3.309	3.534	
3.319	3.316	3.311	3.309	3.533	
3.319	3.316	3.311	3.309	3.777	
3.319	3.316	3.311	3.309	3.654	
3.319	3.316	3.311	3.309	3.593	
3.319	3.316	3.311	3.309	3.562	
3.319	3.316	3.311	3.309	3.547	
3.319	3.316	3.311	3.309	3.539	
3.319	3.316	3.311	3.309	3.535	
3.319	3.316	3.311	3.309	3.534	
3.319	3.316	3.311	3.309	3.533	
3.319	3.316	3.311	3.309	3.532	
3.319	3.316	3.311	3.309	3.532	
3.319	3.316	3.311	3.309	3.532	
3.319	3.316	3.311	3.309	3.532	
3.319	3.316	3.311	3.309	3.532	
3.319	3.316	3.311	3.309	3.287	
3.319	3.316	3.311	3.309	3.654	
3.319	3.316	3.311	3.309	3.593	
3.319	3.316	3.311	3.309	3.562	
3.319	3.316	3.311	3.309	3.547	
3.319	3.316	3.311	3.309	3.539	
3.319	3.316	3.311	3.309	3.535	
3.319	3.316	3.311	3.309	3.534	
3.319	3.316	3.311	3.309	3.288	
3.319	3.316	3.311	3.309	3.410	
3.319	3.316	3.311	3.309	3.471	
3.319	3.316	3.311	3.309	3.256	
3.319	3.316	3.311	3.309	3.639	
3.319	3.316	3.311	3.309	3.585	
3.319	3.316	3.311	3.309	3.558	
3.319	3.316	3.311	3.309	3.545	
3.319	3.316	3.311	3.309	3.783	
3.319	3.316	3.311	3.309	3.657	
3.319	3.316	3.311	3.309	3.594	
3.319	3.316	3.311	3.309	3.318	
3.180	3.316	3.311	3.309	3.318	
3.356	3.316	3.311	3.309	3.318	
3.444	3.316	3.311	3.309	3.318	
3.732	3.316	3.311	3.309	3.318	
3.387	3.316	3.311	3.309	3.318	
3.214	3.316	3.311	3.309	3.318	
3.618	3.316	3.311	3.309	3.318	
3.575	3.316	3.311	3.309	3.318	
3.308	3.316	3.311	3.309	3.318	
3.420	3.316	3.311	3.309	3.318	
3.721	3.316	3.311	3.309	3.318	
3.626	3.316	3.311	3.309	3.318	
3.579	3.316	3.311	3.309	3.318	
3.555	3.316	3.311	3.309	3.318	
3.543	3.316	3.311	3.309	3.318	
3.537	3.316	3.311	3.309	3.318	
3.290	3.316	3.311	3.309	3.318	
3.655	3.316	3.311	3.309	3.318	
3.594	3.316	3.311	3.309	3.318	
3.563	3.316	3.311	3.309	3.318	
3.547	3.316	3.311	3.309	3.318	
3.539	3.316	3.311	3.309	3.318	
3.535	3.316	3.311	3.309	3.318	
3.534	3.316	3.311	3.309	3.318	
3.533	3.316	3.311	3.309	3.318	
3.532	3.316	3.311	3.309	3.318	
3.532	3.316	3.311	3.309	3.318	
3.532	3.316	3.311	3.309	3.318	
3.532	3.316	3.311	3.309	3.318	
