Server_06	Server_0	Server_0D	Server_02	Server_09	
3.776	4.000	3.506	3.173	3.936	
3.776	3.766	3.506	3.173	3.936	
3.776	3.766	3.506	3.173	3.734	
3.776	3.766	3.506	3.173	3.877	
3.776	3.766	3.506	3.173	3.704	
3.776	3.766	3.506	3.173	3.863	
3.776	3.766	3.506	3.173	3.942	
3.776	3.766	3.506	3.173	3.737	
3.654	3.766	3.506	3.173	3.737	
3.838	3.766	3.506	3.173	3.737	
3.929	3.766	3.506	3.173	3.737	
3.975	3.766	3.506	3.173	3.737	
3.998	3.766	3.506	3.173	3.737	
3.765	3.766	3.506	3.173	3.737	
3.765	3.649	3.506	3.173	3.737	
3.403	3.649	3.506	3.173	3.737	
3.403	3.649	3.506	3.173	3.634	
3.403	3.649	3.506	3.173	3.828	
3.403	3.649	3.506	3.173	3.924	
3.403	3.649	3.506	3.173	3.728	
3.403	3.649	3.506	3.173	3.875	
3.403	3.649	3.506	3.173	3.703	
3.403	3.649	3.506	3.173	3.862	
3.403	3.649	3.506	3.173	3.942	
3.403	3.649	3.506	3.173	3.737	
3.403	3.649	3.506	3.173	3.634	
3.403	3.649	3.506	3.173	3.828	
3.403	3.649	3.506	3.173	3.680	
3.403	3.649	3.506	3.173	3.606	
3.403	3.649	3.506	3.173	3.813	
3.403	3.649	3.506	3.173	3.672	
3.403	3.649	3.506	3.173	3.602	
3.403	3.649	3.506	3.173	3.812	
3.403	3.649	3.506	3.173	3.672	
3.403	3.649	3.506	3.173	3.602	
3.403	3.590	3.506	3.173	3.602	
3.403	3.590	3.506	3.173	3.322	
3.403	3.590	3.506	3.173	3.671	
3.403	3.590	3.506	3.173	3.357	
3.403	3.590	3.506	3.173	3.689	
3.403	3.590	3.506	3.173	3.610	
3.403	3.590	3.506	3.173	3.571	
3.403	3.316	3.506	3.173	3.571	
3.403	3.316	3.506	3.173	3.551	
3.403	3.316	3.506	3.173	3.786	
3.403	3.316	3.506	3.173	3.659	
3.403	3.316	3.506	3.173	3.350	
3.403	3.316	3.506	3.173	3.686	
3.403	3.316	3.506	3.173	3.364	
3.403	3.316	3.506	3.173	3.692	
3.403	3.316	3.506	3.173	3.367	
3.403	3.316	3.274	3.173	3.367	
3.403	3.316	3.647	3.173	3.367	
3.403	3.316	3.590	3.173	3.367	
3.403	3.316	3.561	3.173	3.367	
3.403	3.316	3.546	3.173	3.367	
3.403	3.316	3.294	3.173	3.367	
3.403	3.316	3.658	3.173	3.367	
3.403	3.316	3.595	3.173	3.367	
3.403	3.316	3.318	3.173	3.367	
3.223	3.316	3.318	3.173	3.367	
3.622	3.316	3.318	3.173	3.367	
3.577	3.316	3.318	3.173	3.367	
3.554	3.316	3.318	3.173	3.367	
3.298	3.316	3.318	3.173	3.367	
3.415	3.316	3.318	3.173	3.367	
3.718	3.316	3.318	3.173	3.367	
3.380	3.316	3.318	3.173	3.367	
3.701	3.316	3.318	3.173	3.367	
3.616	3.316	3.318	3.173	3.367	
3.574	3.316	3.318	3.173	3.367	
3.308	3.316	3.318	3.173	3.367	
3.420	3.316	3.318	3.173	3.367	
3.476	3.316	3.318	3.173	3.367	
3.259	3.316	3.318	3.173	3.367	
3.640	3.316	3.318	3.173	3.367	
3.586	3.316	3.318	3.173	3.367	
3.314	3.316	3.318	3.173	3.367	
3.667	3.316	3.318	3.173	3.367	
3.355	3.316	3.318	3.173	3.367	
3.355	3.316	3.318	3.173	3.204	
3.355	3.316	3.318	3.173	3.368	
3.355	3.316	3.318	3.173	3.695	
3.355	3.316	3.318	3.173	3.613	
3.355	3.316	3.318	3.173	3.327	
3.198	3.316	3.318	3.173	3.327	
3.610	3.316	3.318	3.173	3.327	
3.326	3.316	3.318	3.173	3.327	
3.429	3.316	3.318	3.173	3.327	
3.480	3.316	3.318	3.173	3.327	
3.261	3.316	3.318	3.173	3.327	
3.396	3.316	3.318	3.173	3.327	
3.709	3.316	3.318	3.173	3.327	
3.620	3.316	3.318	3.173	3.327	
3.576	3.316	3.318	3.173	3.327	
3.309	3.316	3.318	3.173	3.327	
3.420	3.316	3.318	3.173	3.327	
3.721	3.316	3.318	3.173	3.327	
3.626	3.316	3.318	3.173	3.327	
3.334	3.316	3.318	3.173	3.327	
3.433	3.316	3.318	3.173	3.327	
3.727	3.316	3.318	3.173	3.327	
3.629	3.316	3.318	3.173	3.327	
3.580	3.316	3.318	3.173	3.327	
3.311	3.316	3.318	3.173	3.327	
3.421	3.316	3.318	3.173	3.327	
3.721	3.316	3.318	3.173	3.327	
3.626	3.316	3.318	3.173	3.327	
3.579	3.316	3.318	3.173	3.327	
3.310	3.316	3.318	3.173	3.327	
3.421	3.316	3.318	3.173	3.327	
3.231	3.316	3.318	3.173	3.327	
3.381	3.316	3.318	3.173	3.327	
3.457	3.316	3.318	3.173	3.327	
3.739	3.316	3.318	3.173	3.327	
3.635	3.316	3.318	3.173	3.327	
3.583	3.316	3.318	3.173	3.327	
3.558	3.316	3.318	3.173	3.327	
3.545	3.316	3.318	3.173	3.327	
3.538	3.316	3.318	3.173	3.327	
3.535	3.316	3.318	3.173	3.327	
3.533	3.316	3.318	3.173	3.327	
3.288	3.316	3.318	3.173	3.327	
3.654	3.316	3.318	3.173	3.327	
3.593	3.316	3.318	3.173	3.327	
3.317	3.316	3.318	3.173	3.327	
3.424	3.316	3.318	3.173	3.327	
3.723	3.316	3.318	3.173	3.327	
3.627	3.316	3.318	3.173	3.327	
3.579	3.316	3.318	3.173	3.327	
3.311	3.316	3.318	3.173	3.327	
3.421	3.316	3.318	3.173	3.327	
3.476	3.316	3.318	3.173	3.327	
3.504	3.316	3.318	3.173	3.327	
3.273	3.316	3.318	3.173	3.327	
3.402	3.316	3.318	3.173	3.327	
3.712	3.316	3.318	3.173	3.327	
3.377	3.316	3.318	3.173	3.327	
3.454	3.316	3.318	3.173	3.327	
3.738	3.316	3.318	3.173	3.327	
3.635	3.316	3.318	3.173	3.327	
3.583	3.316	3.318	3.173	3.327	
3.557	3.316	3.318	3.173	3.327	
3.544	3.316	3.318	3.173	3.327	
3.538	3.316	3.318	3.173	3.327	
3.780	3.316	3.318	3.173	3.327	
3.656	3.316	3.318	3.173	3.327	
3.594	3.316	3.318	3.173	3.327	
3.563	3.316	3.318	3.173	3.327	
3.547	3.316	3.318	3.173	3.327	
3.539	3.316	3.318	3.173	3.327	
3.535	3.316	3.318	3.173	3.327	
3.534	3.316	3.318	3.173	3.327	
3.533	3.316	3.318	3.173	3.327	
3.532	3.316	3.318	3.173	3.327	
3.532	3.316	3.318	3.173	3.327	
3.532	3.316	3.318	3.173	3.327	
3.532	3.316	3.318	3.173	3.327	
3.776	3.316	3.318	3.173	3.327	
3.654	3.316	3.318	3.173	3.327	
3.593	3.316	3.318	3.173	3.327	
3.562	3.316	3.318	3.173	3.327	
3.547	3.316	3.318	3.173	3.327	
3.294	3.316	3.318	3.173	3.327	
3.413	3.316	3.318	3.173	3.327	
3.472	3.316	3.318	3.173	3.327	
3.257	3.316	3.318	3.173	3.327	
3.639	3.316	3.318	3.173	3.327	
3.585	3.316	3.318	3.173	3.327	
3.314	3.316	3.318	3.173	3.327	
3.667	3.316	3.318	3.173	3.327	
3.599	3.316	3.318	3.173	3.327	
3.566	3.316	3.318	3.173	3.327	
3.549	3.316	3.318	3.173	3.327	
3.540	3.316	3.318	3.173	3.327	
3.536	3.316	3.318	3.173	3.327	
3.534	3.316	3.318	3.173	3.327	
3.533	3.316	3.318	3.173	3.327	
3.532	3.316	3.318	3.173	3.327	
3.532	3.316	3.318	3.173	3.327	
3.287	3.316	3.318	3.173	3.327	
3.409	3.316	3.318	3.173	3.327	
3.470	3.316	3.318	3.173	3.327	
3.501	3.316	3.318	3.173	3.327	
3.761	3.316	3.318	3.173	3.327	
3.646	3.316	3.318	3.173	3.327	
3.589	3.316	3.318	3.173	3.327	
3.560	3.316	3.318	3.173	3.327	
3.546	3.316	3.318	3.173	3.327	
3.539	3.316	3.318	3.173	3.327	
3.290	3.316	3.318	3.173	3.327	
3.290	3.316	3.318	3.173	3.185	
3.290	3.316	3.318	3.173	3.603	
3.290	3.316	3.318	3.173	3.567	
3.290	3.316	3.318	3.173	3.549	
3.290	3.316	3.318	3.173	3.541	
3.290	3.316	3.318	3.173	3.536	
3.290	3.316	3.318	3.173	3.534	
3.290	3.316	3.318	3.173	3.288	
3.290	3.316	3.318	3.173	3.654	
3.290	3.316	3.318	3.173	3.593	
3.290	3.316	3.318	3.173	3.562	
3.290	3.316	3.318	3.173	3.302	
3.290	3.316	3.318	3.173	3.417	
