Server_06	Server_0	Server_03	Server_0A	Server_0D	
3.776	4.000	3.546	3.869	3.818	
4.143	4.000	3.546	3.869	3.818	
4.082	4.000	3.546	3.869	3.818	
4.052	4.000	3.546	3.869	3.818	
4.036	4.000	3.546	3.869	3.818	
4.029	4.000	3.546	3.869	3.818	
4.025	4.000	3.546	3.869	3.818	
4.023	4.000	3.546	3.869	3.818	
4.022	4.000	3.546	3.869	3.818	
4.022	4.000	3.546	3.869	3.818	
4.021	4.000	3.546	3.869	3.818	
4.021	4.000	3.546	3.869	3.818	
4.021	4.000	3.546	3.869	3.818	
4.021	4.000	3.546	3.869	3.818	
4.021	4.000	3.546	3.869	3.818	
4.021	4.000	3.546	3.869	3.818	
4.021	4.000	3.546	3.869	3.818	
3.776	4.000	3.546	3.869	3.818	
3.899	4.000	3.546	3.869	3.818	
3.960	4.000	3.546	3.869	3.818	
3.991	4.000	3.546	3.869	3.818	
3.991	3.766	3.546	3.869	3.818	
3.761	3.766	3.546	3.869	3.818	
3.761	3.766	3.546	3.700	3.818	
3.761	3.766	3.546	3.700	3.675	
3.761	3.766	3.546	3.700	3.848	
3.761	3.766	3.546	3.700	3.690	
3.761	3.766	3.546	3.700	3.855	
3.761	3.766	3.546	3.700	3.694	
3.761	3.766	3.546	3.700	3.857	
3.761	3.766	3.546	3.700	3.694	
3.761	3.649	3.546	3.700	3.694	
3.646	3.649	3.546	3.700	3.694	
3.646	3.649	3.546	3.616	3.694	
3.646	3.649	3.546	3.819	3.694	
3.646	3.649	3.546	3.920	3.694	
3.646	3.649	3.546	3.726	3.694	
3.646	3.649	3.546	3.873	3.694	
3.646	3.649	3.546	3.703	3.694	
3.646	3.649	3.546	3.862	3.694	
3.646	3.649	3.546	3.697	3.694	
3.646	3.649	3.546	3.614	3.694	
3.646	3.649	3.546	3.818	3.694	
3.646	3.649	3.546	3.675	3.694	
3.646	3.649	3.546	3.675	3.613	
3.646	3.649	3.546	3.675	3.817	
3.646	3.649	3.546	3.675	3.674	
3.646	3.649	3.546	3.603	3.674	
3.646	3.649	3.546	3.603	3.603	
3.646	3.649	3.546	3.603	3.812	
