Server_06	Server_0	Server_08	Server_0F	Server_0C	
3.776	4.000	3.736	3.296	3.732	
3.776	3.766	3.736	3.296	3.732	
3.654	3.766	3.736	3.296	3.732	
3.838	3.766	3.736	3.296	3.732	
3.685	3.766	3.736	3.296	3.732	
3.685	3.649	3.736	3.296	3.732	
3.685	3.649	3.634	3.296	3.732	
3.685	3.649	3.634	3.296	3.632	
3.608	3.649	3.634	3.296	3.632	
3.608	3.590	3.634	3.296	3.632	
3.608	3.590	3.583	3.296	3.632	
3.608	3.590	3.583	3.296	3.582	
3.570	3.590	3.583	3.296	3.582	
3.570	3.561	3.583	3.296	3.582	
3.570	3.561	3.557	3.296	3.582	
3.570	3.561	3.557	3.296	3.557	
3.551	3.561	3.557	3.296	3.557	
3.551	3.546	3.557	3.296	3.557	
3.551	3.546	3.544	3.296	3.557	
3.551	3.546	3.544	3.296	3.544	
3.551	3.546	3.544	3.296	3.783	
3.551	3.546	3.544	3.296	3.657	
3.551	3.546	3.544	3.296	3.594	
3.551	3.546	3.544	3.296	3.563	
3.551	3.546	3.544	3.296	3.547	
3.296	3.546	3.544	3.296	3.547	
3.296	3.546	3.544	3.296	3.295	
3.296	3.546	3.544	3.296	3.658	
3.296	3.546	3.544	3.296	3.840	
3.296	3.546	3.544	3.296	3.441	
3.296	3.539	3.544	3.296	3.441	
3.296	3.539	3.293	3.296	3.441	
3.296	3.535	3.293	3.296	3.441	
3.296	3.778	3.293	3.296	3.441	
3.296	3.410	3.293	3.296	3.441	
3.296	3.471	3.293	3.296	3.441	
3.296	3.746	3.293	3.296	3.441	
3.296	3.394	3.293	3.296	3.441	
3.296	3.394	3.293	3.296	3.241	
3.296	3.394	3.293	3.296	3.386	
3.296	3.394	3.293	3.296	3.459	
3.296	3.394	3.293	3.296	3.740	
3.296	3.394	3.293	3.296	3.636	
3.296	3.394	3.293	3.296	3.584	
3.296	3.394	3.293	3.296	3.313	
3.296	3.394	3.293	3.296	3.667	
3.296	3.394	3.293	3.296	3.599	
3.296	3.394	3.293	3.296	3.321	
3.296	3.394	3.293	3.296	3.671	
3.296	3.394	3.293	3.296	3.601	
3.296	3.394	3.293	3.296	3.322	
3.296	3.394	3.293	3.296	3.427	
3.296	3.394	3.293	3.296	3.479	
3.296	3.394	3.293	3.296	3.750	
3.296	3.394	3.293	3.296	3.641	
3.296	3.394	3.293	3.296	3.341	
3.296	3.218	3.293	3.296	3.341	
