Server_06	Server_0	Server_04	Server_09	Server_01	
3.776	4.000	3.086	3.745	3.165	
3.899	4.000	3.086	3.745	3.165	
3.960	4.000	3.086	3.745	3.165	
3.991	4.000	3.086	3.745	3.165	
4.006	4.000	3.086	3.745	3.165	
4.014	4.000	3.086	3.745	3.165	
4.017	4.000	3.086	3.745	3.165	
4.019	4.000	3.086	3.745	3.165	
4.020	4.000	3.086	3.745	3.165	
4.021	4.000	3.086	3.745	3.165	
4.021	4.000	3.086	3.745	3.165	
4.021	4.000	3.086	3.745	3.165	
4.021	4.000	3.086	3.745	3.165	
4.021	4.000	3.086	3.745	3.165	
4.021	4.000	3.086	3.745	3.165	
3.776	4.000	3.086	3.745	3.165	
3.899	4.000	3.086	3.745	3.165	
3.899	3.766	3.086	3.745	3.165	
3.715	3.766	3.086	3.745	3.165	
3.715	3.649	3.086	3.745	3.165	
3.715	3.649	3.086	3.638	3.165	
3.715	3.649	3.086	3.830	3.165	
3.715	3.649	3.086	3.925	3.165	
3.715	3.649	3.086	3.729	3.165	
3.715	3.649	3.086	3.630	3.165	
3.715	3.649	3.086	3.826	3.165	
3.715	3.649	3.086	3.923	3.165	
3.715	3.649	3.086	3.727	3.165	
3.715	3.649	3.086	4.119	3.165	
3.715	3.649	3.086	3.825	3.165	
3.715	3.649	3.086	4.168	3.165	
3.715	3.649	3.086	3.850	3.165	
3.715	3.649	3.086	3.935	3.165	
3.715	3.649	3.086	3.734	3.165	
3.715	3.649	3.086	3.633	3.165	
3.623	3.649	3.086	3.633	3.165	
3.822	3.649	3.086	3.633	3.165	
3.922	3.649	3.086	3.633	3.165	
3.971	3.649	3.086	3.633	3.165	
3.996	3.649	3.086	3.633	3.165	
3.764	3.649	3.086	3.633	3.165	
3.893	3.649	3.086	3.633	3.165	
3.712	3.649	3.086	3.633	3.165	
3.622	3.649	3.086	3.633	3.165	
3.822	3.649	3.086	3.633	3.165	
3.677	3.649	3.086	3.633	3.165	
3.849	3.649	3.086	3.633	3.165	
3.690	3.649	3.086	3.633	3.165	
3.611	3.649	3.086	3.633	3.165	
3.611	3.345	3.086	3.633	3.165	
3.611	3.345	3.086	3.582	3.165	
3.611	3.345	3.086	3.802	3.165	
3.611	3.345	3.086	3.667	3.165	
3.611	3.345	3.086	3.599	3.165	
3.571	3.345	3.086	3.599	3.165	
3.796	3.345	3.086	3.599	3.165	
3.664	3.345	3.086	3.599	3.165	
3.353	3.345	3.086	3.599	3.165	
3.687	3.345	3.086	3.599	3.165	
3.609	3.345	3.086	3.599	3.165	
3.570	3.345	3.086	3.599	3.165	
3.570	3.345	3.086	3.565	3.165	
3.551	3.345	3.086	3.565	3.165	
3.551	3.345	3.086	3.548	3.165	
3.541	3.345	3.086	3.548	3.165	
3.541	3.345	3.086	3.295	3.165	
3.536	3.345	3.086	3.295	3.165	
3.779	3.345	3.086	3.295	3.165	
3.655	3.345	3.086	3.295	3.165	
3.593	3.345	3.086	3.295	3.165	
3.318	3.345	3.086	3.295	3.165	
3.425	3.345	3.086	3.295	3.165	
3.723	3.345	3.086	3.295	3.165	
3.627	3.345	3.086	3.295	3.165	
3.335	3.345	3.086	3.295	3.165	
3.335	3.194	3.086	3.295	3.165	
3.335	3.363	3.086	3.295	3.165	
3.335	3.447	3.086	3.295	3.165	
3.335	3.734	3.086	3.295	3.165	
3.335	3.633	3.086	3.295	3.165	
3.335	3.582	3.086	3.295	3.165	
3.335	3.312	3.086	3.295	3.165	
3.335	3.667	3.086	3.295	3.165	
3.335	3.599	3.086	3.295	3.165	
3.335	3.320	3.086	3.295	3.165	
3.335	3.426	3.086	3.295	3.165	
3.335	3.724	3.086	3.295	3.165	
3.335	3.628	3.086	3.295	3.165	
3.335	3.580	3.086	3.295	3.165	
3.335	3.311	3.086	3.295	3.165	
3.335	3.666	3.086	3.295	3.165	
3.335	3.599	3.086	3.295	3.165	
3.335	3.320	3.086	3.295	3.165	
3.335	3.426	3.086	3.295	3.165	
3.335	3.479	3.086	3.295	3.165	
3.335	3.750	3.086	3.295	3.165	
3.335	3.396	3.086	3.295	3.165	
3.335	3.219	3.086	3.295	3.165	
3.335	3.620	3.086	3.295	3.165	
3.335	3.576	3.086	3.295	3.165	
3.335	3.309	3.086	3.295	3.165	
3.188	3.309	3.086	3.295	3.165	
3.360	3.309	3.086	3.295	3.165	
3.446	3.309	3.086	3.295	3.165	
3.733	3.309	3.086	3.295	3.165	
3.388	3.309	3.086	3.295	3.165	
3.460	3.309	3.086	3.295	3.165	
3.740	3.309	3.086	3.295	3.165	
3.636	3.309	3.086	3.295	3.165	
3.584	3.309	3.086	3.295	3.165	
3.313	3.309	3.086	3.295	3.165	
3.177	3.309	3.086	3.295	3.165	
3.599	3.309	3.086	3.295	3.165	
3.565	3.309	3.086	3.295	3.165	
3.304	3.309	3.086	3.295	3.165	
3.418	3.309	3.086	3.295	3.165	
3.719	3.309	3.086	3.295	3.165	
3.625	3.309	3.086	3.295	3.165	
3.579	3.309	3.086	3.295	3.165	
3.310	3.309	3.086	3.295	3.165	
3.666	3.309	3.086	3.295	3.165	
3.599	3.309	3.086	3.295	3.165	
3.565	3.309	3.086	3.295	3.165	
3.548	3.309	3.086	3.295	3.165	
3.295	3.309	3.086	3.295	3.165	
3.413	3.309	3.086	3.295	3.165	
3.228	3.309	3.086	3.295	3.165	
3.380	3.309	3.086	3.295	3.165	
3.456	3.309	3.086	3.295	3.165	
3.738	3.309	3.086	3.295	3.165	
3.635	3.309	3.086	3.295	3.165	
3.583	3.309	3.086	3.295	3.165	
3.557	3.309	3.086	3.295	3.165	
3.545	3.309	3.086	3.295	3.165	
3.538	3.309	3.086	3.295	3.165	
3.535	3.309	3.086	3.295	3.165	
3.533	3.309	3.086	3.295	3.165	
3.288	3.309	3.086	3.295	3.165	
3.654	3.309	3.086	3.295	3.165	
3.593	3.309	3.086	3.295	3.165	
3.317	3.309	3.086	3.295	3.165	
3.669	3.309	3.086	3.295	3.165	
3.600	3.309	3.086	3.295	3.165	
3.566	3.309	3.086	3.295	3.165	
3.549	3.309	3.086	3.295	3.165	
3.295	3.309	3.086	3.295	3.165	
3.413	3.309	3.086	3.295	3.165	
3.473	3.309	3.086	3.295	3.165	
3.502	3.309	3.086	3.295	3.165	
3.272	3.309	3.086	3.295	3.165	
3.402	3.309	3.086	3.295	3.165	
3.711	3.309	3.086	3.295	3.165	
3.377	3.309	3.086	3.295	3.165	
3.454	3.309	3.086	3.295	3.165	
3.738	3.309	3.086	3.295	3.165	
3.635	3.309	3.086	3.295	3.165	
3.583	3.309	3.086	3.295	3.165	
3.557	3.309	3.086	3.295	3.165	
3.544	3.309	3.086	3.295	3.165	
3.783	3.309	3.086	3.295	3.165	
3.657	3.309	3.086	3.295	3.165	
3.594	3.309	3.086	3.295	3.165	
3.563	3.309	3.086	3.295	3.165	
3.547	3.309	3.086	3.295	3.165	
3.539	3.309	3.086	3.295	3.165	
3.536	3.309	3.086	3.295	3.165	
3.534	3.309	3.086	3.295	3.165	
3.533	3.309	3.086	3.295	3.165	
3.532	3.309	3.086	3.295	3.165	
3.532	3.309	3.086	3.295	3.165	
3.777	3.309	3.086	3.295	3.165	
3.654	3.309	3.086	3.295	3.165	
3.593	3.309	3.086	3.295	3.165	
3.562	3.309	3.086	3.295	3.165	
3.547	3.309	3.086	3.295	3.165	
3.539	3.309	3.086	3.295	3.165	
3.535	3.309	3.086	3.295	3.165	
3.534	3.309	3.086	3.295	3.165	
3.288	3.309	3.086	3.295	3.165	
3.410	3.309	3.086	3.295	3.165	
3.471	3.309	3.086	3.295	3.165	
3.256	3.309	3.086	3.295	3.165	
3.639	3.309	3.086	3.295	3.165	
3.585	3.309	3.086	3.295	3.165	
3.313	3.309	3.086	3.295	3.165	
3.667	3.309	3.086	3.295	3.165	
3.599	3.309	3.086	3.295	3.165	
3.566	3.309	3.086	3.295	3.165	
3.549	3.309	3.086	3.295	3.165	
3.540	3.309	3.086	3.295	3.165	
3.536	3.309	3.086	3.295	3.165	
3.534	3.309	3.086	3.295	3.165	
3.533	3.309	3.086	3.295	3.165	
3.532	3.309	3.086	3.295	3.165	
3.532	3.309	3.086	3.295	3.165	
3.287	3.309	3.086	3.295	3.165	
3.409	3.309	3.086	3.295	3.165	
3.470	3.309	3.086	3.295	3.165	
3.746	3.309	3.086	3.295	3.165	
3.639	3.309	3.086	3.295	3.165	
3.585	3.309	3.086	3.295	3.165	
3.558	3.309	3.086	3.295	3.165	
3.545	3.309	3.086	3.295	3.165	
3.538	3.309	3.086	3.295	3.165	
3.535	3.309	3.086	3.295	3.165	
3.288	3.309	3.086	3.295	3.165	
3.410	3.309	3.086	3.295	3.165	
3.716	3.309	3.086	3.295	3.165	
3.624	3.309	3.086	3.295	3.165	
3.578	3.309	3.086	3.295	3.165	
3.555	3.309	3.086	3.295	3.165	
3.543	3.309	3.086	3.295	3.165	
3.537	3.309	3.086	3.295	3.165	
3.534	3.309	3.086	3.295	3.165	
3.533	3.309	3.086	3.295	3.165	
3.532	3.309	3.086	3.295	3.165	
3.287	3.309	3.086	3.295	3.165	
3.654	3.309	3.086	3.295	3.165	
3.593	3.309	3.086	3.295	3.165	
3.562	3.309	3.086	3.295	3.165	
3.547	3.309	3.086	3.295	3.165	
3.539	3.309	3.086	3.295	3.165	
3.535	3.309	3.086	3.295	3.165	
3.534	3.309	3.086	3.295	3.165	
3.288	3.309	3.086	3.295	3.165	
3.654	3.309	3.086	3.295	3.165	
3.593	3.309	3.086	3.295	3.165	
3.562	3.309	3.086	3.295	3.165	
3.547	3.309	3.086	3.295	3.165	
3.294	3.309	3.086	3.295	3.165	
3.413	3.309	3.086	3.295	3.165	
3.717	3.309	3.086	3.295	3.165	
3.624	3.309	3.086	3.295	3.165	
3.333	3.309	3.086	3.295	3.165	
3.432	3.309	3.086	3.295	3.165	
3.482	3.309	3.086	3.295	3.165	
3.262	3.309	3.086	3.295	3.165	
3.397	3.309	3.086	3.295	3.165	
3.709	3.309	3.086	3.295	3.165	
3.620	3.309	3.086	3.295	3.165	
3.331	3.309	3.086	3.295	3.165	
3.676	3.309	3.086	3.295	3.165	
3.604	3.309	3.086	3.295	3.165	
3.323	3.309	3.086	3.295	3.165	
3.182	3.309	3.086	3.295	3.165	
3.602	3.309	3.086	3.295	3.165	
3.567	3.309	3.086	3.295	3.165	
3.549	3.309	3.086	3.295	3.165	
3.540	3.309	3.086	3.295	3.165	
3.536	3.309	3.086	3.295	3.165	
3.534	3.309	3.086	3.295	3.165	
3.288	3.309	3.086	3.295	3.165	
3.410	3.309	3.086	3.295	3.165	
3.715	3.309	3.086	3.295	3.165	
3.624	3.309	3.086	3.295	3.165	
