Server_06	Server_0	Server_05	Server_0C	Server_0F	
3.776	4.000	3.603	3.821	3.202	
3.899	4.000	3.603	3.821	3.202	
3.960	4.000	3.603	3.821	3.202	
3.991	4.000	3.603	3.821	3.202	
4.006	4.000	3.603	3.821	3.202	
4.014	4.000	3.603	3.821	3.202	
4.017	4.000	3.603	3.821	3.202	
4.019	4.000	3.603	3.821	3.202	
4.020	4.000	3.603	3.821	3.202	
4.021	4.000	3.603	3.821	3.202	
4.021	4.000	3.603	3.821	3.202	
4.021	4.000	3.603	3.821	3.202	
4.021	4.000	3.603	3.821	3.202	
4.021	4.000	3.603	3.821	3.202	
3.776	4.000	3.603	3.821	3.202	
3.899	4.000	3.603	3.821	3.202	
3.960	4.000	3.603	3.821	3.202	
3.991	4.000	3.603	3.821	3.202	
4.006	4.000	3.603	3.821	3.202	
3.769	4.000	3.603	3.821	3.202	
3.895	4.000	3.603	3.821	3.202	
3.895	3.766	3.603	3.821	3.202	
3.468	3.766	3.603	3.821	3.202	
3.468	3.766	3.603	3.676	3.202	
3.468	3.649	3.603	3.676	3.202	
3.468	3.649	3.603	3.359	3.202	
3.468	3.590	3.603	3.359	3.202	
3.468	3.590	3.567	3.359	3.202	
3.468	3.561	3.567	3.359	3.202	
3.468	3.561	3.305	3.359	3.202	
3.468	3.546	3.305	3.359	3.202	
3.468	3.784	3.305	3.359	3.202	
3.468	3.658	3.305	3.359	3.202	
3.468	3.595	3.305	3.359	3.202	
3.468	3.563	3.305	3.359	3.202	
3.468	3.547	3.305	3.359	3.202	
3.468	3.784	3.305	3.359	3.202	
3.468	3.658	3.305	3.359	3.202	
3.468	3.595	3.305	3.359	3.202	
3.468	3.563	3.305	3.359	3.202	
3.468	3.547	3.305	3.359	3.202	
3.468	3.539	3.305	3.359	3.202	
3.468	3.780	3.305	3.359	3.202	
3.468	3.656	3.305	3.359	3.202	
3.468	3.594	3.305	3.359	3.202	
3.468	3.563	3.305	3.359	3.202	
3.468	3.302	3.305	3.359	3.202	
3.255	3.302	3.305	3.359	3.202	
3.393	3.302	3.305	3.359	3.202	
3.707	3.302	3.305	3.359	3.202	
3.864	3.302	3.305	3.359	3.202	
3.698	3.302	3.305	3.359	3.202	
3.370	3.302	3.305	3.359	3.202	
3.451	3.302	3.305	3.359	3.202	
3.736	3.302	3.305	3.359	3.202	
3.634	3.302	3.305	3.359	3.202	
3.338	3.302	3.305	3.359	3.202	
3.679	3.302	3.305	3.359	3.202	
3.850	3.302	3.305	3.359	3.202	
3.691	3.302	3.305	3.359	3.202	
3.611	3.302	3.305	3.359	3.202	
3.571	3.302	3.305	3.359	3.202	
3.552	3.302	3.305	3.359	3.202	
3.542	3.302	3.305	3.359	3.202	
3.292	3.302	3.305	3.359	3.202	
3.656	3.302	3.305	3.359	3.202	
3.349	3.302	3.305	3.359	3.202	
3.440	3.302	3.305	3.359	3.202	
3.486	3.302	3.305	3.359	3.202	
3.264	3.302	3.305	3.359	3.202	
3.398	3.302	3.305	3.359	3.202	
3.709	3.302	3.305	3.359	3.202	
3.621	3.302	3.305	3.359	3.202	
3.331	3.302	3.305	3.359	3.202	
3.431	3.302	3.305	3.359	3.202	
3.726	3.302	3.305	3.359	3.202	
3.629	3.302	3.305	3.359	3.202	
3.335	3.302	3.305	3.359	3.202	
3.433	3.302	3.305	3.359	3.202	
3.483	3.302	3.305	3.359	3.202	
3.752	3.302	3.305	3.359	3.202	
3.397	3.302	3.305	3.359	3.202	
3.464	3.302	3.305	3.359	3.202	
3.498	3.302	3.305	3.359	3.202	
3.760	3.302	3.305	3.359	3.202	
3.401	3.302	3.305	3.359	3.202	
3.466	3.302	3.305	3.359	3.202	
3.254	3.302	3.305	3.359	3.202	
3.393	3.302	3.305	3.359	3.202	
3.707	3.302	3.305	3.359	3.202	
3.619	3.302	3.305	3.359	3.202	
3.331	3.302	3.305	3.359	3.202	
3.431	3.302	3.305	3.359	3.202	
3.236	3.302	3.305	3.359	3.202	
3.384	3.302	3.305	3.359	3.202	
3.458	3.302	3.305	3.359	3.202	
3.739	3.302	3.305	3.359	3.202	
3.391	3.302	3.305	3.359	3.202	
3.216	3.302	3.305	3.359	3.202	
3.619	3.302	3.305	3.359	3.202	
3.330	3.302	3.305	3.359	3.202	
3.431	3.302	3.305	3.359	3.202	
3.726	3.302	3.305	3.359	3.202	
3.384	3.302	3.305	3.359	3.202	
3.213	3.302	3.305	3.359	3.202	
3.372	3.302	3.305	3.359	3.202	
3.697	3.302	3.305	3.359	3.202	
3.614	3.302	3.305	3.359	3.202	
3.573	3.302	3.305	3.359	3.202	
3.307	3.302	3.305	3.359	3.202	
3.419	3.302	3.305	3.359	3.202	
3.720	3.302	3.305	3.359	3.202	
3.626	3.302	3.305	3.359	3.202	
3.334	3.302	3.305	3.359	3.202	
3.433	3.302	3.305	3.359	3.202	
3.727	3.302	3.305	3.359	3.202	
3.629	3.302	3.305	3.359	3.202	
3.580	3.302	3.305	3.359	3.202	
3.311	3.302	3.305	3.359	3.202	
3.421	3.302	3.305	3.359	3.202	
3.476	3.302	3.305	3.359	3.202	
3.504	3.302	3.305	3.359	3.202	
3.763	3.302	3.305	3.359	3.202	
3.402	3.302	3.305	3.359	3.202	
3.467	3.302	3.305	3.359	3.202	
3.254	3.302	3.305	3.359	3.202	
3.393	3.302	3.305	3.359	3.202	
3.462	3.302	3.305	3.359	3.202	
3.742	3.302	3.305	3.359	3.202	
3.637	3.302	3.305	3.359	3.202	
3.584	3.302	3.305	3.359	3.202	
3.558	3.302	3.305	3.359	3.202	
3.545	3.302	3.305	3.359	3.202	
3.538	3.302	3.305	3.359	3.202	
3.535	3.302	3.305	3.359	3.202	
3.288	3.302	3.305	3.359	3.202	
3.410	3.302	3.305	3.359	3.202	
3.716	3.302	3.305	3.359	3.202	
3.624	3.302	3.305	3.359	3.202	
3.333	3.302	3.305	3.359	3.202	
3.432	3.302	3.305	3.359	3.202	
3.482	3.302	3.305	3.359	3.202	
3.507	3.302	3.305	3.359	3.202	
3.519	3.302	3.305	3.359	3.202	
3.280	3.302	3.305	3.359	3.202	
3.406	3.302	3.305	3.359	3.202	
3.714	3.302	3.305	3.359	3.202	
3.623	3.302	3.305	3.359	3.202	
3.332	3.302	3.305	3.359	3.202	
3.677	3.302	3.305	3.359	3.202	
3.604	3.302	3.305	3.359	3.202	
3.323	3.302	3.305	3.359	3.202	
3.323	3.302	3.305	3.200	3.202	
3.323	3.302	3.305	3.366	3.202	
3.323	3.302	3.305	3.204	3.202	
3.323	3.302	3.305	3.368	3.202	
3.323	3.302	3.305	3.450	3.202	
3.323	3.302	3.305	3.246	3.202	
3.323	3.302	3.305	3.389	3.202	
3.323	3.302	3.305	3.460	3.202	
3.323	3.302	3.305	3.251	3.202	
3.323	3.302	3.305	3.391	3.202	
3.323	3.302	3.305	3.461	3.202	
3.323	3.302	3.305	3.252	3.202	
3.323	3.302	3.305	3.392	3.202	
3.323	3.302	3.305	3.462	3.202	
3.323	3.302	3.305	3.252	3.202	
3.323	3.302	3.305	3.392	3.202	
3.323	3.302	3.305	3.462	3.202	
3.323	3.302	3.305	3.252	3.202	
3.323	3.302	3.305	3.392	3.202	
3.323	3.302	3.305	3.462	3.202	
3.323	3.302	3.305	3.252	3.202	
3.323	3.302	3.305	3.392	3.202	
3.323	3.302	3.305	3.462	3.202	
3.323	3.302	3.305	3.252	3.202	
3.323	3.302	3.305	3.392	3.202	
3.323	3.302	3.305	3.217	3.202	
3.323	3.302	3.305	3.374	3.202	
3.323	3.302	3.305	3.453	3.202	
3.323	3.302	3.305	3.247	3.202	
3.323	3.302	3.305	3.389	3.202	
3.323	3.302	3.305	3.461	3.202	
3.323	3.302	3.305	3.251	3.202	
3.323	3.302	3.305	3.391	3.202	
3.323	3.302	3.305	3.461	3.202	
3.323	3.302	3.305	3.252	3.202	
3.323	3.302	3.305	3.392	3.202	
3.323	3.302	3.305	3.217	3.202	
3.323	3.302	3.305	3.374	3.202	
3.323	3.302	3.305	3.453	3.202	
3.323	3.302	3.305	3.247	3.202	
3.323	3.302	3.305	3.389	3.202	
3.323	3.302	3.305	3.461	3.202	
3.323	3.302	3.305	3.251	3.202	
3.323	3.302	3.305	3.391	3.202	
3.323	3.302	3.305	3.217	3.202	
3.323	3.302	3.305	3.374	3.202	
3.323	3.302	3.305	3.453	3.202	
3.323	3.302	3.305	3.247	3.202	
3.323	3.302	3.305	3.389	3.202	
