Server_07	Server_0	Server_0A	Server_09	Server_06	
3.776	4.000	3.551	3.515	3.733	
3.899	4.000	3.551	3.515	3.733	
3.960	4.000	3.551	3.515	3.733	
3.991	4.000	3.551	3.515	3.733	
4.006	4.000	3.551	3.515	3.733	
4.014	4.000	3.551	3.515	3.733	
4.017	4.000	3.551	3.515	3.733	
4.019	4.000	3.551	3.515	3.733	
3.775	4.000	3.551	3.515	3.733	
3.898	4.000	3.551	3.515	3.733	
3.960	4.000	3.551	3.515	3.733	
3.990	4.000	3.551	3.515	3.733	
4.006	4.000	3.551	3.515	3.733	
4.014	4.000	3.551	3.515	3.733	
4.017	4.000	3.551	3.515	3.733	
4.019	4.000	3.551	3.515	3.733	
4.020	4.000	3.551	3.515	3.733	
4.021	4.000	3.551	3.515	3.733	
3.776	4.000	3.551	3.515	3.733	
3.899	4.000	3.551	3.515	3.733	
4.205	4.000	3.551	3.515	3.733	
3.868	4.000	3.551	3.515	3.733	
3.868	3.766	3.551	3.515	3.733	
3.868	3.893	3.551	3.515	3.733	
3.868	3.468	3.551	3.515	3.733	
3.868	3.744	3.551	3.515	3.733	
3.455	3.744	3.551	3.515	3.733	
3.455	3.638	3.551	3.515	3.733	
3.455	3.638	3.551	3.515	3.632	
3.455	3.585	3.551	3.515	3.632	
3.455	3.585	3.551	3.515	3.337	
3.455	3.558	3.551	3.515	3.337	
3.455	3.545	3.551	3.515	3.337	
3.455	3.545	3.541	3.515	3.337	
3.455	3.545	3.781	3.515	3.337	
3.455	3.545	3.901	3.515	3.337	
3.455	3.545	3.716	3.515	3.337	
3.455	3.545	3.869	3.515	3.337	
3.455	3.545	3.700	3.515	3.337	
3.455	3.545	3.861	3.515	3.337	
3.455	3.545	3.696	3.515	3.337	
3.455	3.545	3.614	3.515	3.337	
3.455	3.545	3.573	3.515	3.337	
3.455	3.545	3.797	3.515	3.337	
3.455	3.545	3.664	3.515	3.337	
3.455	3.545	3.843	3.515	3.337	
3.455	3.545	3.687	3.515	3.337	
3.455	3.545	3.609	3.515	3.337	
3.455	3.545	3.570	3.515	3.337	
3.455	3.545	3.551	3.515	3.337	
3.455	3.545	3.786	3.515	3.337	
3.455	3.545	3.659	3.515	3.337	
3.455	3.545	3.595	3.515	3.337	
3.455	3.545	3.319	3.515	3.337	
3.455	3.545	3.670	3.515	3.337	
3.455	3.545	3.601	3.515	3.337	
3.455	3.545	3.321	3.515	3.337	
3.455	3.538	3.321	3.515	3.337	
3.455	3.290	3.321	3.515	3.337	
3.455	3.411	3.321	3.515	3.337	
3.455	3.716	3.321	3.515	3.337	
3.455	3.379	3.321	3.515	3.337	
3.455	3.379	3.321	3.278	3.337	
3.455	3.379	3.321	3.405	3.337	
3.455	3.379	3.321	3.713	3.337	
3.455	3.379	3.321	3.622	3.337	
3.455	3.379	3.321	3.577	3.337	
3.455	3.379	3.321	3.554	3.337	
3.455	3.379	3.321	3.543	3.337	
3.455	3.379	3.321	3.782	3.337	
3.455	3.379	3.321	3.412	3.337	
3.455	3.379	3.321	3.472	3.337	
3.455	3.379	3.321	3.257	3.337	
3.455	3.379	3.321	3.639	3.337	
3.455	3.379	3.321	3.340	3.337	
3.248	3.379	3.321	3.340	3.337	
3.635	3.379	3.321	3.340	3.337	
3.338	3.379	3.321	3.340	3.337	
3.435	3.379	3.321	3.340	3.337	
3.728	3.379	3.321	3.340	3.337	
3.630	3.379	3.321	3.340	3.337	
3.581	3.379	3.321	3.340	3.337	
3.311	3.379	3.321	3.340	3.337	
3.421	3.379	3.321	3.340	3.337	
3.477	3.379	3.321	3.340	3.337	
3.259	3.379	3.321	3.340	3.337	
3.395	3.379	3.321	3.340	3.337	
3.708	3.379	3.321	3.340	3.337	
3.375	3.379	3.321	3.340	3.337	
3.698	3.379	3.321	3.340	3.337	
3.615	3.379	3.321	3.340	3.337	
3.328	3.379	3.321	3.340	3.337	
3.328	3.210	3.321	3.340	3.337	
3.328	3.371	3.321	3.340	3.337	
3.328	3.696	3.321	3.340	3.337	
3.328	3.614	3.321	3.340	3.337	
3.328	3.328	3.321	3.340	3.337	
3.328	3.430	3.321	3.340	3.337	
3.328	3.725	3.321	3.340	3.337	
3.328	3.629	3.321	3.340	3.337	
3.328	3.335	3.321	3.340	3.337	
3.328	3.335	3.321	3.191	3.337	
3.328	3.335	3.321	3.606	3.337	
3.328	3.335	3.321	3.569	3.337	
3.328	3.335	3.321	3.305	3.337	
