Server_07	Server_0	Server_00	Server_0C	Server_09	
3.776	4.000	3.738	3.708	3.234	
3.776	3.766	3.738	3.708	3.234	
3.654	3.766	3.738	3.708	3.234	
3.838	3.766	3.738	3.708	3.234	
3.929	3.766	3.738	3.708	3.234	
3.975	3.766	3.738	3.708	3.234	
3.998	3.766	3.738	3.708	3.234	
4.010	3.766	3.738	3.708	3.234	
3.771	3.766	3.738	3.708	3.234	
3.651	3.766	3.738	3.708	3.234	
3.836	3.766	3.738	3.708	3.234	
3.684	3.766	3.738	3.708	3.234	
3.684	3.649	3.738	3.708	3.234	
3.684	3.649	3.635	3.708	3.234	
3.684	3.649	3.635	3.620	3.234	
3.608	3.649	3.635	3.620	3.234	
3.608	3.590	3.635	3.620	3.234	
3.608	3.590	3.583	3.620	3.234	
3.608	3.590	3.583	3.576	3.234	
3.608	3.590	3.583	3.798	3.234	
3.608	3.590	3.583	3.665	3.234	
3.608	3.590	3.583	3.598	3.234	
3.608	3.590	3.583	3.810	3.234	
3.608	3.590	3.583	3.671	3.234	
3.608	3.590	3.583	3.601	3.234	
3.608	3.590	3.583	3.811	3.234	
3.608	3.590	3.583	3.671	3.234	
3.608	3.590	3.583	3.601	3.234	
3.570	3.590	3.583	3.601	3.234	
3.795	3.590	3.583	3.601	3.234	
3.664	3.590	3.583	3.601	3.234	
3.353	3.590	3.583	3.601	3.234	
3.353	3.590	3.583	3.567	3.234	
3.353	3.590	3.583	3.794	3.234	
3.353	3.590	3.583	3.663	3.234	
3.353	3.590	3.583	3.352	3.234	
3.353	3.590	3.583	3.687	3.234	
3.353	3.590	3.583	3.609	3.234	
3.353	3.590	3.583	3.815	3.234	
3.353	3.590	3.583	3.428	3.234	
3.353	3.316	3.583	3.428	3.234	
3.353	3.316	3.557	3.428	3.234	
3.353	3.316	3.300	3.428	3.234	
3.353	3.316	3.660	3.428	3.234	
3.353	3.316	3.596	3.428	3.234	
3.353	3.316	3.319	3.428	3.234	
3.353	3.316	3.425	3.428	3.234	
3.353	3.316	3.723	3.428	3.234	
3.353	3.316	3.627	3.428	3.234	
3.353	3.316	3.579	3.428	3.234	
3.353	3.316	3.311	3.428	3.234	
3.353	3.316	3.666	3.428	3.234	
3.353	3.316	3.599	3.428	3.234	
3.353	3.316	3.565	3.428	3.234	
3.353	3.316	3.303	3.428	3.234	
3.353	3.316	3.662	3.428	3.234	
3.353	3.316	3.597	3.428	3.234	
3.353	3.316	3.319	3.428	3.234	
3.353	3.316	3.425	3.428	3.234	
3.353	3.316	3.723	3.428	3.234	
3.353	3.316	3.627	3.428	3.234	
3.353	3.316	3.335	3.428	3.234	
3.353	3.316	3.433	3.428	3.234	
3.353	3.316	3.482	3.428	3.234	
3.353	3.316	3.507	3.428	3.234	
3.353	3.316	3.274	3.428	3.234	
3.353	3.316	3.403	3.428	3.234	
3.353	3.316	3.712	3.428	3.234	
3.353	3.316	3.622	3.428	3.234	
3.353	3.316	3.332	3.428	3.234	
3.353	3.316	3.676	3.428	3.234	
3.353	3.316	3.604	3.428	3.234	
3.353	3.316	3.568	3.428	3.234	
3.353	3.316	3.550	3.428	3.234	
3.353	3.316	3.785	3.428	3.234	
3.353	3.316	3.659	3.428	3.234	
3.353	3.316	3.350	3.428	3.234	
3.353	3.316	3.441	3.428	3.234	
3.353	3.316	3.486	3.428	3.234	
3.353	3.316	3.509	3.428	3.234	
3.353	3.316	3.275	3.428	3.234	
3.353	3.316	3.403	3.428	3.234	
3.353	3.316	3.712	3.428	3.234	
3.353	3.316	3.622	3.428	3.234	
3.353	3.316	3.332	3.428	3.234	
3.353	3.316	3.432	3.428	3.234	
3.353	3.316	3.726	3.428	3.234	
3.353	3.316	3.629	3.428	3.234	
3.353	3.316	3.335	3.428	3.234	
3.353	3.316	3.434	3.428	3.234	
3.353	3.316	3.727	3.428	3.234	
3.353	3.316	3.629	3.428	3.234	
3.353	3.316	3.581	3.428	3.234	
3.353	3.316	3.556	3.428	3.234	
3.353	3.316	3.544	3.428	3.234	
3.353	3.316	3.293	3.428	3.234	
3.353	3.316	3.657	3.428	3.234	
3.353	3.316	3.349	3.428	3.234	
3.353	3.316	3.349	3.235	3.234	
3.353	3.316	3.349	3.383	3.234	
3.353	3.316	3.349	3.213	3.234	
3.353	3.316	3.349	3.372	3.234	
3.353	3.316	3.349	3.207	3.234	
3.353	3.316	3.349	3.369	3.234	
