Server_07	Server_0	Server_0B	Server_08	Server_03	
3.776	4.000	3.083	3.354	3.114	
4.143	4.000	3.083	3.354	3.114	
4.327	4.000	3.083	3.354	3.114	
4.174	4.000	3.083	3.354	3.114	
4.098	4.000	3.083	3.354	3.114	
4.059	4.000	3.083	3.354	3.114	
4.040	4.000	3.083	3.354	3.114	
4.031	4.000	3.083	3.354	3.114	
4.026	4.000	3.083	3.354	3.114	
4.024	4.000	3.083	3.354	3.114	
4.022	4.000	3.083	3.354	3.114	
4.022	4.000	3.083	3.354	3.114	
4.021	4.000	3.083	3.354	3.114	
4.021	4.000	3.083	3.354	3.114	
3.776	4.000	3.083	3.354	3.114	
3.899	4.000	3.083	3.354	3.114	
3.960	4.000	3.083	3.354	3.114	
3.991	4.000	3.083	3.354	3.114	
3.991	3.766	3.083	3.354	3.114	
3.761	3.766	3.083	3.354	3.114	
3.761	3.649	3.083	3.354	3.114	
3.401	3.649	3.083	3.354	3.114	
3.401	3.590	3.083	3.354	3.114	
3.401	3.806	3.083	3.354	3.114	
3.401	3.424	3.083	3.354	3.114	
3.401	3.722	3.083	3.354	3.114	
3.401	3.382	3.083	3.354	3.114	
3.401	3.457	3.083	3.354	3.114	
3.401	3.494	3.083	3.354	3.114	
3.401	3.268	3.083	3.354	3.114	
3.222	3.268	3.083	3.354	3.114	
3.377	3.268	3.083	3.354	3.114	
3.699	3.268	3.083	3.354	3.114	
3.615	3.268	3.083	3.354	3.114	
3.573	3.268	3.083	3.354	3.114	
3.553	3.268	3.083	3.354	3.114	
3.787	3.268	3.083	3.354	3.114	
3.659	3.268	3.083	3.354	3.114	
3.840	3.268	3.083	3.354	3.114	
3.686	3.268	3.083	3.354	3.114	
3.609	3.268	3.083	3.354	3.114	
3.815	3.268	3.083	3.354	3.114	
3.673	3.268	3.083	3.354	3.114	
3.847	3.268	3.083	3.354	3.114	
3.689	3.268	3.083	3.354	3.114	
3.611	3.268	3.083	3.354	3.114	
3.571	3.268	3.083	3.354	3.114	
3.796	3.268	3.083	3.354	3.114	
3.664	3.268	3.083	3.354	3.114	
3.843	3.268	3.083	3.354	3.114	
3.442	3.268	3.083	3.354	3.114	
3.487	3.268	3.083	3.354	3.114	
3.754	3.268	3.083	3.354	3.114	
3.643	3.268	3.083	3.354	3.114	
3.587	3.268	3.083	3.354	3.114	
3.559	3.268	3.083	3.354	3.114	
3.545	3.268	3.083	3.354	3.114	
3.539	3.268	3.083	3.354	3.114	
3.535	3.268	3.083	3.354	3.114	
3.533	3.268	3.083	3.354	3.114	
3.288	3.268	3.083	3.354	3.114	
3.654	3.268	3.083	3.354	3.114	
3.593	3.268	3.083	3.354	3.114	
3.317	3.268	3.083	3.354	3.114	
3.669	3.268	3.083	3.354	3.114	
3.600	3.268	3.083	3.354	3.114	
3.566	3.268	3.083	3.354	3.114	
3.304	3.268	3.083	3.354	3.114	
3.663	3.268	3.083	3.354	3.114	
3.597	3.268	3.083	3.354	3.114	
3.564	3.268	3.083	3.354	3.114	
3.303	3.268	3.083	3.354	3.114	
3.662	3.268	3.083	3.354	3.114	
3.597	3.268	3.083	3.354	3.114	
3.319	3.268	3.083	3.354	3.114	
3.319	3.268	3.083	3.198	3.114	
3.319	3.268	3.083	3.609	3.114	
3.319	3.268	3.083	3.326	3.114	
3.319	3.268	3.083	3.673	3.114	
3.319	3.268	3.083	3.603	3.114	
3.319	3.268	3.083	3.322	3.114	
3.319	3.268	3.083	3.182	3.114	
3.319	3.268	3.083	3.602	3.114	
3.319	3.268	3.083	3.567	3.114	
3.319	3.268	3.083	3.549	3.114	
3.319	3.268	3.083	3.295	3.114	
3.319	3.268	3.083	3.414	3.114	
3.319	3.268	3.083	3.717	3.114	
3.319	3.268	3.083	3.624	3.114	
3.319	3.268	3.083	3.333	3.114	
3.319	3.268	3.083	3.677	3.114	
3.319	3.268	3.083	3.604	3.114	
3.319	3.268	3.083	3.323	3.114	
3.319	3.268	3.083	3.182	3.114	
3.319	3.268	3.083	3.602	3.114	
3.319	3.268	3.083	3.322	3.114	
3.319	3.268	3.083	3.427	3.114	
3.319	3.268	3.083	3.479	3.114	
3.319	3.268	3.083	3.750	3.114	
3.319	3.268	3.083	3.396	3.114	
3.319	3.268	3.083	3.219	3.114	
3.319	3.268	3.083	3.620	3.114	
3.319	3.268	3.083	3.576	3.114	
3.319	3.268	3.083	3.554	3.114	
3.319	3.268	3.083	3.298	3.114	
3.319	3.268	3.083	3.659	3.114	
3.319	3.268	3.083	3.596	3.114	
3.319	3.268	3.083	3.319	3.114	
3.319	3.268	3.083	3.425	3.114	
3.319	3.268	3.083	3.723	3.114	
3.319	3.268	3.083	3.627	3.114	
3.319	3.268	3.083	3.579	3.114	
3.319	3.268	3.083	3.311	3.114	
3.319	3.268	3.083	3.421	3.114	
3.319	3.268	3.083	3.721	3.114	
3.319	3.268	3.083	3.626	3.114	
3.319	3.268	3.083	3.579	3.114	
3.319	3.268	3.083	3.555	3.114	
3.319	3.268	3.083	3.299	3.114	
3.319	3.268	3.083	3.415	3.114	
3.319	3.268	3.083	3.718	3.114	
3.319	3.268	3.083	3.625	3.114	
3.319	3.268	3.083	3.578	3.114	
3.319	3.268	3.083	3.555	3.114	
3.319	3.268	3.083	3.543	3.114	
3.319	3.268	3.083	3.293	3.114	
3.319	3.268	3.083	3.657	3.114	
3.319	3.268	3.083	3.594	3.114	
3.319	3.268	3.083	3.318	3.114	
3.181	3.268	3.083	3.318	3.114	
3.356	3.268	3.083	3.318	3.114	
3.689	3.268	3.083	3.318	3.114	
3.610	3.268	3.083	3.318	3.114	
3.571	3.268	3.083	3.318	3.114	
3.551	3.268	3.083	3.318	3.114	
3.541	3.268	3.083	3.318	3.114	
3.537	3.268	3.083	3.318	3.114	
3.534	3.268	3.083	3.318	3.114	
3.533	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.287	3.268	3.083	3.318	3.114	
3.654	3.268	3.083	3.318	3.114	
3.348	3.268	3.083	3.318	3.114	
3.440	3.268	3.083	3.318	3.114	
3.730	3.268	3.083	3.318	3.114	
3.631	3.268	3.083	3.318	3.114	
3.336	3.268	3.083	3.318	3.114	
3.434	3.268	3.083	3.318	3.114	
3.483	3.268	3.083	3.318	3.114	
3.262	3.268	3.083	3.318	3.114	
3.397	3.268	3.083	3.318	3.114	
3.464	3.268	3.083	3.318	3.114	
3.743	3.268	3.083	3.318	3.114	
3.392	3.268	3.083	3.318	3.114	
3.462	3.268	3.083	3.318	3.114	
3.742	3.268	3.083	3.318	3.114	
3.637	3.268	3.083	3.318	3.114	
3.339	3.268	3.083	3.318	3.114	
3.435	3.268	3.083	3.318	3.114	
3.483	3.268	3.083	3.318	3.114	
3.508	3.268	3.083	3.318	3.114	
3.520	3.268	3.083	3.318	3.114	
3.526	3.268	3.083	3.318	3.114	
3.284	3.268	3.083	3.318	3.114	
3.652	3.268	3.083	3.318	3.114	
3.592	3.268	3.083	3.318	3.114	
3.562	3.268	3.083	3.318	3.114	
3.547	3.268	3.083	3.318	3.114	
3.539	3.268	3.083	3.318	3.114	
3.535	3.268	3.083	3.318	3.114	
3.533	3.268	3.083	3.318	3.114	
3.533	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.287	3.268	3.083	3.318	3.114	
3.654	3.268	3.083	3.318	3.114	
3.593	3.268	3.083	3.318	3.114	
3.562	3.268	3.083	3.318	3.114	
3.547	3.268	3.083	3.318	3.114	
3.539	3.268	3.083	3.318	3.114	
3.535	3.268	3.083	3.318	3.114	
3.534	3.268	3.083	3.318	3.114	
3.533	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.287	3.268	3.083	3.318	3.114	
3.654	3.268	3.083	3.318	3.114	
3.593	3.268	3.083	3.318	3.114	
3.562	3.268	3.083	3.318	3.114	
3.547	3.268	3.083	3.318	3.114	
3.539	3.268	3.083	3.318	3.114	
3.535	3.268	3.083	3.318	3.114	
3.534	3.268	3.083	3.318	3.114	
3.533	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.532	3.268	3.083	3.318	3.114	
3.287	3.268	3.083	3.318	3.114	
3.409	3.268	3.083	3.318	3.114	
3.715	3.268	3.083	3.318	3.114	
3.623	3.268	3.083	3.318	3.114	
3.577	3.268	3.083	3.318	3.114	
3.555	3.268	3.083	3.318	3.114	
3.543	3.268	3.083	3.318	3.114	
3.537	3.268	3.083	3.318	3.114	
3.534	3.268	3.083	3.318	3.114	
3.288	3.268	3.083	3.318	3.114	
3.655	3.268	3.083	3.318	3.114	
3.348	3.268	3.083	3.318	3.114	
3.440	3.268	3.083	3.318	3.114	
3.486	3.268	3.083	3.318	3.114	
3.509	3.268	3.083	3.318	3.114	
3.520	3.268	3.083	3.318	3.114	
3.281	3.268	3.083	3.318	3.114	
3.651	3.268	3.083	3.318	3.114	
3.591	3.268	3.083	3.318	3.114	
3.561	3.268	3.083	3.318	3.114	
3.302	3.268	3.083	3.318	3.114	
3.417	3.268	3.083	3.318	3.114	
3.719	3.268	3.083	3.318	3.114	
3.625	3.268	3.083	3.318	3.114	
3.578	3.268	3.083	3.318	3.114	
3.555	3.268	3.083	3.318	3.114	
3.298	3.268	3.083	3.318	3.114	
3.660	3.268	3.083	3.318	3.114	
3.351	3.268	3.083	3.318	3.114	
3.196	3.268	3.083	3.318	3.114	
3.609	3.268	3.083	3.318	3.114	
3.570	3.268	3.083	3.318	3.114	
3.551	3.268	3.083	3.318	3.114	
3.296	3.268	3.083	3.318	3.114	
3.659	3.268	3.083	3.318	3.114	
3.595	3.268	3.083	3.318	3.114	
3.563	3.268	3.083	3.318	3.114	
3.303	3.268	3.083	3.318	3.114	
3.303	3.268	3.083	3.180	3.114	
3.303	3.268	3.083	3.356	3.114	
3.303	3.268	3.083	3.688	3.114	
3.303	3.268	3.083	3.610	3.114	
3.303	3.268	3.083	3.571	3.114	
3.303	3.268	3.083	3.551	3.114	
3.303	3.268	3.083	3.541	3.114	
3.303	3.268	3.083	3.536	3.114	
3.303	3.268	3.083	3.534	3.114	
3.303	3.268	3.083	3.533	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
3.303	3.268	3.083	3.532	3.114	
