Server_07	Server_0	Server_08	Server_0B	Server_04	
3.776	4.000	3.830	3.018	3.819	
3.776	3.766	3.830	3.018	3.819	
3.776	3.766	3.681	3.018	3.819	
3.776	3.766	3.851	3.018	3.819	
3.776	3.766	3.936	3.018	3.819	
3.776	3.766	3.734	3.018	3.819	
3.776	3.766	3.878	3.018	3.819	
3.776	3.766	3.705	3.018	3.819	
3.776	3.766	3.705	3.018	3.675	
3.654	3.766	3.705	3.018	3.675	
3.654	3.649	3.705	3.018	3.675	
3.654	3.649	3.618	3.018	3.675	
3.654	3.649	3.618	3.018	3.603	
3.593	3.649	3.618	3.018	3.603	
3.593	3.590	3.618	3.018	3.603	
3.593	3.590	3.575	3.018	3.603	
3.593	3.590	3.575	3.018	3.567	
3.562	3.590	3.575	3.018	3.567	
3.562	3.561	3.575	3.018	3.567	
3.562	3.561	3.553	3.018	3.567	
3.562	3.561	3.787	3.018	3.567	
3.562	3.561	3.659	3.018	3.567	
3.562	3.561	3.595	3.018	3.567	
3.562	3.561	3.808	3.018	3.567	
3.562	3.561	3.670	3.018	3.567	
3.562	3.561	3.601	3.018	3.567	
3.562	3.561	3.811	3.018	3.567	
3.562	3.561	3.671	3.018	3.567	
3.562	3.561	3.601	3.018	3.567	
3.562	3.561	3.567	3.018	3.567	
3.562	3.561	3.794	3.018	3.567	
3.562	3.561	3.418	3.018	3.567	
3.562	3.561	3.720	3.018	3.567	
3.562	3.561	3.626	3.018	3.567	
3.562	3.561	3.334	3.018	3.567	
3.562	3.561	3.334	3.018	3.550	
3.562	3.561	3.334	3.018	3.785	
3.562	3.561	3.334	3.018	3.414	
3.547	3.561	3.334	3.018	3.414	
3.547	3.546	3.334	3.018	3.414	
3.294	3.546	3.334	3.018	3.414	
3.294	3.539	3.334	3.018	3.414	
3.294	3.780	3.334	3.018	3.414	
3.294	3.411	3.334	3.018	3.414	
3.294	3.716	3.334	3.018	3.414	
3.294	3.624	3.334	3.018	3.414	
3.294	3.333	3.334	3.018	3.414	
3.294	3.333	3.334	3.018	3.228	
3.294	3.333	3.334	3.018	3.380	
3.294	3.333	3.334	3.018	3.456	
3.294	3.333	3.334	3.018	3.738	
3.294	3.333	3.334	3.018	3.635	
3.294	3.333	3.334	3.018	3.338	
3.294	3.333	3.334	3.018	3.435	
3.294	3.333	3.334	3.018	3.728	
3.294	3.333	3.334	3.018	3.630	
3.294	3.333	3.334	3.018	3.826	
3.294	3.333	3.334	3.018	3.679	
3.294	3.333	3.334	3.018	3.360	
3.294	3.333	3.334	3.018	3.201	
3.294	3.333	3.334	3.018	3.611	
3.294	3.333	3.334	3.018	3.571	
3.294	3.333	3.334	3.018	3.551	
3.294	3.333	3.334	3.018	3.297	
3.294	3.333	3.334	3.018	3.414	
3.294	3.333	3.334	3.018	3.718	
3.294	3.333	3.334	3.018	3.625	
3.294	3.333	3.334	3.018	3.578	
3.294	3.333	3.334	3.018	3.310	
3.294	3.333	3.334	3.018	3.421	
3.294	3.333	3.334	3.018	3.721	
3.294	3.333	3.334	3.018	3.381	
3.294	3.333	3.334	3.018	3.212	
3.294	3.333	3.334	3.018	3.616	
3.294	3.333	3.334	3.018	3.574	
3.294	3.333	3.334	3.018	3.553	
3.294	3.333	3.334	3.018	3.297	
3.294	3.333	3.334	3.018	3.414	
3.294	3.333	3.334	3.018	3.718	
3.294	3.333	3.334	3.018	3.625	
3.294	3.333	3.334	3.018	3.333	
3.294	3.333	3.334	3.018	3.432	
3.294	3.333	3.334	3.018	3.727	
3.294	3.333	3.334	3.018	3.629	
3.294	3.333	3.334	3.018	3.580	
3.294	3.333	3.334	3.018	3.556	
3.294	3.333	3.334	3.018	3.544	
3.294	3.333	3.334	3.018	3.538	
3.294	3.333	3.334	3.018	3.290	
3.294	3.333	3.334	3.018	3.411	
3.294	3.333	3.334	3.018	3.716	
