Server_07	Server_0	Server_0B	Server_0A	Server_06	
3.776	4.000	3.665	3.841	3.094	
4.388	4.000	3.665	3.841	3.094	
4.694	4.000	3.665	3.841	3.094	
4.602	4.000	3.665	3.841	3.094	
3.333	4.000	3.665	3.841	3.094	
3.677	4.000	3.665	3.841	3.094	
3.849	4.000	3.665	3.841	3.094	
3.935	4.000	3.665	3.841	3.094	
3.978	4.000	3.665	3.841	3.094	
4.000	4.000	3.665	3.841	3.094	
4.010	4.000	3.665	3.841	3.094	
3.771	4.000	3.665	3.841	3.094	
3.896	4.000	3.665	3.841	3.094	
3.959	4.000	3.665	3.841	3.094	
3.990	4.000	3.665	3.841	3.094	
4.006	4.000	3.665	3.841	3.094	
3.769	4.000	3.665	3.841	3.094	
3.895	4.000	3.665	3.841	3.094	
3.958	4.000	3.665	3.841	3.094	
3.990	4.000	3.665	3.841	3.094	
3.990	3.766	3.665	3.841	3.094	
3.761	3.766	3.665	3.841	3.094	
3.761	3.766	3.665	3.687	3.094	
3.761	3.766	3.665	3.854	3.094	
3.761	3.766	3.665	3.693	3.094	
3.761	3.649	3.665	3.693	3.094	
3.401	3.649	3.665	3.693	3.094	
3.711	3.649	3.665	3.693	3.094	
3.621	3.649	3.665	3.693	3.094	
3.821	3.649	3.665	3.693	3.094	
3.676	3.649	3.665	3.693	3.094	
3.849	3.649	3.665	3.693	3.094	
3.690	3.649	3.665	3.693	3.094	
3.856	3.649	3.665	3.693	3.094	
3.938	3.649	3.665	3.693	3.094	
3.980	3.649	3.665	3.693	3.094	
3.756	3.649	3.665	3.693	3.094	
3.888	3.649	3.665	3.693	3.094	
3.710	3.649	3.665	3.693	3.094	
3.866	3.649	3.665	3.693	3.094	
3.699	3.649	3.665	3.693	3.094	
3.860	3.649	3.665	3.693	3.094	
3.696	3.649	3.665	3.693	3.094	
3.614	3.649	3.665	3.693	3.094	
3.817	3.649	3.665	3.693	3.094	
3.675	3.649	3.665	3.693	3.094	
3.675	3.649	3.665	3.612	3.094	
3.603	3.649	3.665	3.612	3.094	
3.812	3.649	3.665	3.612	3.094	
3.672	3.649	3.665	3.612	3.094	
3.847	3.649	3.665	3.612	3.094	
3.444	3.649	3.665	3.612	3.094	
3.444	3.649	3.598	3.612	3.094	
3.444	3.649	3.810	3.612	3.094	
3.444	3.649	3.671	3.612	3.094	
3.444	3.649	3.601	3.612	3.094	
3.444	3.590	3.601	3.612	3.094	
3.444	3.590	3.601	3.327	3.094	
3.444	3.590	3.321	3.327	3.094	
3.444	3.590	3.671	3.327	3.094	
3.444	3.590	3.846	3.327	3.094	
3.444	3.590	3.444	3.327	3.094	
3.444	3.316	3.444	3.327	3.094	
3.444	3.424	3.444	3.327	3.094	
3.444	3.478	3.444	3.327	3.094	
3.444	3.749	3.444	3.327	3.094	
3.444	3.641	3.444	3.327	3.094	
3.444	3.341	3.444	3.327	3.094	
3.444	3.681	3.444	3.327	3.094	
3.444	3.606	3.444	3.327	3.094	
3.444	3.324	3.444	3.327	3.094	
3.243	3.324	3.444	3.327	3.094	
3.387	3.324	3.444	3.327	3.094	
3.704	3.324	3.444	3.327	3.094	
3.618	3.324	3.444	3.327	3.094	
3.575	3.324	3.444	3.327	3.094	
3.308	3.324	3.444	3.327	3.094	
3.665	3.324	3.444	3.327	3.094	
3.598	3.324	3.444	3.327	3.094	
3.320	3.324	3.444	3.327	3.094	
3.426	3.324	3.444	3.327	3.094	
3.479	3.324	3.444	3.327	3.094	
3.260	3.324	3.444	3.327	3.094	
3.641	3.324	3.444	3.327	3.094	
3.341	3.324	3.444	3.327	3.094	
3.681	3.324	3.444	3.327	3.094	
3.606	3.324	3.444	3.327	3.094	
3.324	3.324	3.444	3.327	3.094	
3.428	3.324	3.444	3.327	3.094	
3.428	3.324	3.243	3.327	3.094	
3.428	3.324	3.632	3.327	3.094	
3.428	3.324	3.337	3.327	3.094	
3.428	3.324	3.679	3.327	3.094	
3.428	3.324	3.605	3.327	3.094	
3.428	3.324	3.568	3.327	3.094	
3.428	3.324	3.305	3.327	3.094	
3.428	3.324	3.418	3.327	3.094	
3.428	3.324	3.720	3.327	3.094	
3.428	3.324	3.626	3.327	3.094	
3.428	3.324	3.334	3.327	3.094	
3.235	3.324	3.334	3.327	3.094	
3.628	3.324	3.334	3.327	3.094	
3.580	3.324	3.334	3.327	3.094	
3.556	3.324	3.334	3.327	3.094	
3.788	3.324	3.334	3.327	3.094	
3.415	3.324	3.334	3.327	3.094	
3.473	3.324	3.334	3.327	3.094	
3.502	3.324	3.334	3.327	3.094	
3.272	3.324	3.334	3.327	3.094	
3.402	3.324	3.334	3.327	3.094	
3.712	3.324	3.334	3.327	3.094	
3.622	3.324	3.334	3.327	3.094	
3.577	3.324	3.334	3.327	3.094	
3.309	3.324	3.334	3.327	3.094	
3.665	3.324	3.334	3.327	3.094	
3.598	3.324	3.334	3.327	3.094	
3.565	3.324	3.334	3.327	3.094	
3.548	3.324	3.334	3.327	3.094	
3.540	3.324	3.334	3.327	3.094	
3.536	3.324	3.334	3.327	3.094	
3.289	3.324	3.334	3.327	3.094	
3.410	3.324	3.334	3.327	3.094	
3.716	3.324	3.334	3.327	3.094	
3.379	3.324	3.334	3.327	3.094	
3.210	3.324	3.334	3.327	3.094	
3.616	3.324	3.334	3.327	3.094	
3.574	3.324	3.334	3.327	3.094	
3.553	3.324	3.334	3.327	3.094	
3.787	3.324	3.334	3.327	3.094	
3.659	3.324	3.334	3.327	3.094	
3.351	3.324	3.334	3.327	3.094	
3.441	3.324	3.334	3.327	3.094	
3.486	3.324	3.334	3.327	3.094	
3.509	3.324	3.334	3.327	3.094	
3.520	3.324	3.334	3.327	3.094	
3.526	3.324	3.334	3.327	3.094	
3.529	3.324	3.334	3.327	3.094	
3.530	3.324	3.334	3.327	3.094	
3.531	3.324	3.334	3.327	3.094	
3.531	3.324	3.334	3.327	3.094	
3.531	3.324	3.334	3.327	3.094	
3.532	3.324	3.334	3.327	3.094	
3.776	3.324	3.334	3.327	3.094	
3.409	3.324	3.334	3.327	3.094	
3.225	3.324	3.334	3.327	3.094	
3.379	3.324	3.334	3.327	3.094	
3.455	3.324	3.334	3.327	3.094	
3.738	3.324	3.334	3.327	3.094	
3.635	3.324	3.334	3.327	3.094	
3.338	3.324	3.334	3.327	3.094	
3.435	3.324	3.334	3.327	3.094	
3.728	3.324	3.334	3.327	3.094	
3.385	3.324	3.334	3.327	3.094	
3.213	3.324	3.334	3.327	3.094	
3.617	3.324	3.334	3.327	3.094	
3.330	3.324	3.334	3.327	3.094	
3.330	3.324	3.188	3.327	3.094	
