Server_07	Server_0	Server_00	Server_01	Server_06	
3.776	4.000	3.222	3.556	3.032	
3.776	3.766	3.222	3.556	3.032	
3.409	3.766	3.222	3.556	3.032	
3.409	3.649	3.222	3.556	3.032	
3.409	3.590	3.222	3.556	3.032	
3.409	3.316	3.222	3.556	3.032	
3.409	3.316	3.222	3.299	3.032	
3.225	3.316	3.222	3.299	3.032	
3.379	3.316	3.222	3.299	3.032	
3.455	3.316	3.222	3.299	3.032	
3.248	3.316	3.222	3.299	3.032	
3.248	3.179	3.222	3.299	3.032	
3.248	3.355	3.222	3.299	3.032	
3.248	3.443	3.222	3.299	3.032	
3.248	3.243	3.222	3.299	3.032	
3.248	3.243	3.222	3.170	3.032	
3.248	3.243	3.222	3.351	3.032	
3.248	3.243	3.222	3.441	3.032	
3.248	3.243	3.222	3.486	3.032	
3.248	3.243	3.222	3.509	3.032	
3.248	3.243	3.222	3.275	3.032	
3.248	3.243	3.222	3.648	3.032	
3.248	3.243	3.222	3.590	3.032	
3.248	3.243	3.222	3.316	3.032	
3.248	3.243	3.222	3.179	3.032	
3.248	3.243	3.222	3.600	3.032	
3.248	3.243	3.222	3.811	3.032	
3.248	3.243	3.222	3.671	3.032	
3.248	3.243	3.222	3.356	3.032	
3.248	3.243	3.222	3.444	3.032	
3.248	3.243	3.222	3.733	3.032	
3.248	3.243	3.222	3.632	3.032	
3.248	3.243	3.222	3.337	3.032	
3.248	3.243	3.222	3.189	3.032	
3.248	3.243	3.222	3.360	3.032	
3.248	3.243	3.222	3.691	3.032	
3.248	3.243	3.222	3.611	3.032	
3.248	3.243	3.222	3.327	3.032	
3.248	3.243	3.222	3.674	3.032	
3.248	3.243	3.222	3.603	3.032	
3.248	3.243	3.222	3.567	3.032	
3.248	3.243	3.222	3.549	3.032	
3.248	3.243	3.222	3.296	3.032	
3.248	3.243	3.222	3.414	3.032	
3.248	3.243	3.222	3.473	3.032	
3.248	3.243	3.222	3.502	3.032	
3.248	3.243	3.222	3.762	3.032	
3.248	3.243	3.222	3.402	3.032	
3.248	3.243	3.222	3.222	3.032	
3.248	3.243	3.222	3.377	3.032	
3.248	3.243	3.222	3.454	3.032	
3.248	3.243	3.222	3.493	3.032	
3.248	3.243	3.222	3.267	3.032	
3.248	3.243	3.222	3.399	3.032	
