Server_07	Server_0	Server_01	Server_00	Server_02	
3.776	4.000	3.123	3.849	3.615	
3.899	4.000	3.123	3.849	3.615	
3.899	3.766	3.123	3.849	3.615	
3.899	3.893	3.123	3.849	3.615	
3.899	3.957	3.123	3.849	3.615	
3.899	3.744	3.123	3.849	3.615	
3.715	3.744	3.123	3.849	3.615	
3.715	3.744	3.123	3.690	3.615	
3.715	3.744	3.123	3.856	3.615	
3.715	3.744	3.123	3.694	3.615	
3.715	3.744	3.123	3.857	3.615	
3.715	3.744	3.123	3.694	3.615	
3.715	3.744	3.123	3.858	3.615	
3.715	3.744	3.123	3.940	3.615	
3.715	3.744	3.123	3.980	3.615	
3.715	3.744	3.123	4.001	3.615	
3.715	3.744	3.123	3.766	3.615	
3.715	3.744	3.123	3.649	3.615	
3.715	3.744	3.123	3.835	3.615	
3.715	3.744	3.123	3.928	3.615	
3.715	3.744	3.123	3.730	3.615	
3.715	3.638	3.123	3.730	3.615	
3.715	3.638	3.123	3.386	3.615	
3.715	3.638	3.123	3.704	3.615	
3.715	3.638	3.123	3.862	3.615	
3.715	3.638	3.123	3.942	3.615	
3.715	3.638	3.123	3.981	3.615	
3.715	3.638	3.123	3.757	3.615	
3.715	3.638	3.123	3.889	3.615	
3.715	3.638	3.123	3.710	3.615	
3.715	3.638	3.123	3.866	3.615	
3.715	3.638	3.123	3.699	3.615	
3.623	3.638	3.123	3.699	3.615	
3.623	3.638	3.123	3.615	3.615	
3.623	3.638	3.123	3.818	3.615	
3.623	3.638	3.123	3.675	3.615	
3.623	3.638	3.123	3.603	3.615	
3.623	3.585	3.123	3.603	3.615	
3.623	3.803	3.123	3.603	3.615	
3.623	3.422	3.123	3.603	3.615	
3.333	3.422	3.123	3.603	3.615	
3.333	3.422	3.123	3.603	3.573	
3.333	3.422	3.123	3.323	3.573	
3.333	3.422	3.123	3.672	3.573	
3.333	3.422	3.123	3.357	3.573	
3.333	3.422	3.123	3.689	3.573	
3.333	3.422	3.123	3.610	3.573	
3.333	3.422	3.123	3.571	3.573	
3.333	3.422	3.123	3.571	3.307	
3.333	3.422	3.123	3.571	3.664	
3.333	3.422	3.123	3.571	3.598	
3.333	3.422	3.123	3.571	3.320	
3.333	3.422	3.123	3.551	3.320	
3.333	3.422	3.123	3.786	3.320	
3.333	3.422	3.123	3.659	3.320	
3.333	3.422	3.123	3.595	3.320	
3.333	3.422	3.123	3.319	3.320	
3.333	3.422	3.123	3.425	3.320	
3.333	3.422	3.123	3.723	3.320	
3.333	3.422	3.123	3.627	3.320	
3.333	3.422	3.123	3.335	3.320	
3.333	3.422	3.123	3.433	3.320	
3.333	3.422	3.123	3.482	3.320	
3.333	3.422	3.123	3.507	3.320	
3.333	3.422	3.123	3.274	3.320	
3.333	3.422	3.123	3.648	3.320	
3.333	3.422	3.123	3.590	3.320	
3.333	3.422	3.123	3.316	3.320	
3.333	3.422	3.123	3.424	3.320	
3.333	3.422	3.123	3.722	3.320	
3.333	3.422	3.123	3.627	3.320	
3.333	3.422	3.123	3.334	3.320	
3.333	3.232	3.123	3.334	3.320	
3.333	3.382	3.123	3.334	3.320	
3.333	3.457	3.123	3.334	3.320	
3.333	3.739	3.123	3.334	3.320	
3.333	3.635	3.123	3.334	3.320	
3.333	3.339	3.123	3.334	3.320	
3.333	3.435	3.123	3.334	3.320	
3.333	3.728	3.123	3.334	3.320	
3.333	3.630	3.123	3.334	3.320	
3.333	3.336	3.123	3.334	3.320	
3.333	3.679	3.123	3.334	3.320	
3.333	3.605	3.123	3.334	3.320	
3.333	3.323	3.123	3.334	3.320	
3.333	3.428	3.123	3.334	3.320	
3.333	3.235	3.123	3.334	3.320	
3.333	3.628	3.123	3.334	3.320	
3.333	3.580	3.123	3.334	3.320	
3.333	3.311	3.123	3.334	3.320	
3.333	3.666	3.123	3.334	3.320	
3.333	3.599	3.123	3.334	3.320	
