Server_07	Server_0	Server_03	Server_0D	Server_0F	
3.776	4.000	3.587	3.985	3.238	
4.388	4.000	3.587	3.985	3.238	
4.694	4.000	3.587	3.985	3.238	
4.602	4.000	3.587	3.985	3.238	
3.333	4.000	3.587	3.985	3.238	
3.333	3.766	3.587	3.985	3.238	
3.333	4.383	3.587	3.985	3.238	
3.333	4.691	3.587	3.985	3.238	
3.333	4.846	3.587	3.985	3.238	
3.333	4.923	3.587	3.985	3.238	
3.333	4.961	3.587	3.985	3.238	
3.333	4.981	3.587	3.985	3.238	
3.333	4.990	3.587	3.985	3.238	
3.333	4.750	3.587	3.985	3.238	
3.333	4.631	3.587	3.985	3.238	
3.333	4.326	3.587	3.985	3.238	
3.333	4.174	3.587	3.985	3.238	
3.333	4.097	3.587	3.985	3.238	
3.333	4.304	3.587	3.985	3.238	
3.333	4.163	3.587	3.985	3.238	
3.333	3.847	3.587	3.985	3.238	
3.333	3.847	3.587	3.758	3.238	
3.333	3.847	3.587	4.134	3.238	
3.333	3.847	3.587	4.323	3.238	
3.333	3.847	3.587	3.927	3.238	
3.333	3.847	3.587	3.974	3.238	
3.333	3.847	3.587	4.242	3.238	
3.333	3.847	3.587	4.132	3.238	
3.333	3.847	3.587	3.832	3.238	
3.333	3.847	3.587	4.171	3.238	
3.333	3.847	3.587	3.851	3.238	
3.333	3.847	3.587	3.691	3.238	
3.333	3.847	3.587	3.856	3.238	
3.333	3.847	3.587	3.939	3.238	
3.333	3.847	3.587	3.980	3.238	
3.333	3.847	3.587	3.756	3.238	
3.333	3.847	3.587	3.888	3.238	
3.333	3.847	3.587	3.710	3.238	
3.333	3.847	3.587	3.866	3.238	
3.333	3.847	3.587	3.699	3.238	
3.333	3.847	3.587	3.860	3.238	
3.333	3.847	3.587	3.696	3.238	
3.333	3.689	3.587	3.696	3.238	
3.333	3.855	3.587	3.696	3.238	
3.333	3.693	3.587	3.696	3.238	
3.333	3.693	3.587	3.614	3.238	
3.333	3.613	3.587	3.614	3.238	
3.333	3.613	3.587	3.573	3.238	
3.333	3.572	3.587	3.573	3.238	
3.333	3.572	3.315	3.573	3.238	
3.333	3.572	3.668	3.573	3.238	
3.333	3.572	3.845	3.573	3.238	
3.333	3.572	3.688	3.573	3.238	
3.333	3.572	3.610	3.573	3.238	
3.333	3.572	3.326	3.573	3.238	
3.333	3.572	3.326	3.552	3.238	
3.333	3.572	3.326	3.787	3.238	
3.333	3.572	3.326	3.414	3.238	
3.333	3.307	3.326	3.414	3.238	
3.333	3.419	3.326	3.414	3.238	
3.333	3.231	3.326	3.414	3.238	
3.333	3.381	3.326	3.414	3.238	
3.333	3.701	3.326	3.414	3.238	
