Server_08	Server_0	Server_0B	Server_06	Server_00	
3.776	4.000	3.877	3.612	3.607	
3.776	3.521	3.877	3.612	3.607	
3.776	3.521	3.704	3.612	3.607	
3.654	3.521	3.704	3.612	3.607	
3.654	3.521	3.618	3.612	3.607	
3.348	3.521	3.618	3.612	3.607	
3.348	3.521	3.330	3.612	3.607	
3.348	3.521	3.330	3.572	3.607	
3.348	3.521	3.330	3.572	3.324	
3.348	3.521	3.330	3.307	3.324	
3.348	3.521	3.330	3.419	3.324	
3.348	3.521	3.330	3.475	3.324	
3.348	3.281	3.330	3.475	3.324	
3.348	3.406	3.330	3.475	3.324	
3.348	3.469	3.330	3.475	3.324	
3.348	3.469	3.330	3.259	3.324	
3.348	3.255	3.330	3.259	3.324	
3.348	3.638	3.330	3.259	3.324	
3.348	3.585	3.330	3.259	3.324	
3.348	3.313	3.330	3.259	3.324	
3.195	3.313	3.330	3.259	3.324	
3.608	3.313	3.330	3.259	3.324	
3.570	3.313	3.330	3.259	3.324	
3.306	3.313	3.330	3.259	3.324	
3.419	3.313	3.330	3.259	3.324	
3.720	3.313	3.330	3.259	3.324	
3.626	3.313	3.330	3.259	3.324	
3.334	3.313	3.330	3.259	3.324	
3.677	3.313	3.330	3.259	3.324	
3.360	3.313	3.330	3.259	3.324	
3.201	3.313	3.330	3.259	3.324	
3.366	3.313	3.330	3.259	3.324	
3.694	3.313	3.330	3.259	3.324	
3.368	3.313	3.330	3.259	3.324	
3.205	3.313	3.330	3.259	3.324	
3.368	3.313	3.330	3.259	3.324	
3.695	3.313	3.330	3.259	3.324	
3.613	3.313	3.330	3.259	3.324	
3.327	3.313	3.330	3.259	3.324	
3.674	3.313	3.330	3.259	3.324	
3.603	3.313	3.330	3.259	3.324	
3.567	3.313	3.330	3.259	3.324	
3.549	3.313	3.330	3.259	3.324	
3.541	3.313	3.330	3.259	3.324	
3.536	3.313	3.330	3.259	3.324	
3.534	3.313	3.330	3.259	3.324	
3.288	3.313	3.330	3.259	3.324	
3.410	3.313	3.330	3.259	3.324	
3.715	3.313	3.330	3.259	3.324	
3.624	3.313	3.330	3.259	3.324	
3.822	3.313	3.330	3.259	3.324	
3.677	3.313	3.330	3.259	3.324	
3.359	3.313	3.330	3.259	3.324	
3.201	3.313	3.330	3.259	3.324	
3.611	3.313	3.330	3.259	3.324	
3.571	3.313	3.330	3.259	3.324	
