Server_08	Server_0	Server_0B	Server_02	Server_0E	
3.776	4.000	3.389	3.225	3.272	
3.776	3.766	3.389	3.225	3.272	
3.409	3.766	3.389	3.225	3.272	
3.409	3.649	3.389	3.225	3.272	
3.409	3.590	3.389	3.225	3.272	
3.409	3.561	3.389	3.225	3.272	
3.409	3.301	3.389	3.225	3.272	
3.225	3.301	3.389	3.225	3.272	
3.379	3.301	3.389	3.225	3.272	
3.455	3.301	3.389	3.225	3.272	
3.248	3.301	3.389	3.225	3.272	
3.390	3.301	3.389	3.225	3.272	
3.461	3.301	3.389	3.225	3.272	
3.496	3.301	3.389	3.225	3.272	
3.269	3.301	3.389	3.225	3.272	
3.400	3.301	3.389	3.225	3.272	
3.466	3.301	3.389	3.225	3.272	
3.499	3.301	3.389	3.225	3.272	
3.270	3.301	3.389	3.225	3.272	
3.646	3.301	3.389	3.225	3.272	
3.589	3.301	3.389	3.225	3.272	
3.315	3.301	3.389	3.225	3.272	
3.315	3.301	3.215	3.225	3.272	
3.315	3.301	3.373	3.225	3.272	
3.315	3.301	3.697	3.225	3.272	
3.315	3.301	3.614	3.225	3.272	
3.315	3.301	3.328	3.225	3.272	
3.315	3.301	3.675	3.225	3.272	
3.315	3.301	3.603	3.225	3.272	
3.315	3.301	3.567	3.225	3.272	
3.315	3.301	3.305	3.225	3.272	
3.315	3.301	3.418	3.225	3.272	
3.315	3.301	3.720	3.225	3.272	
3.315	3.301	3.626	3.225	3.272	
3.315	3.301	3.334	3.225	3.272	
3.315	3.301	3.433	3.225	3.272	
3.315	3.301	3.727	3.225	3.272	
3.315	3.301	3.384	3.225	3.272	
3.315	3.301	3.458	3.225	3.272	
3.315	3.301	3.495	3.225	3.272	
3.315	3.301	3.513	3.225	3.272	
3.315	3.301	3.767	3.225	3.272	
3.315	3.301	3.649	3.225	3.272	
3.315	3.301	3.590	3.225	3.272	
3.315	3.301	3.316	3.225	3.272	
3.315	3.301	3.424	3.225	3.272	
3.315	3.301	3.478	3.225	3.272	
3.315	3.301	3.260	3.225	3.272	
3.315	3.301	3.396	3.225	3.272	
3.315	3.301	3.708	3.225	3.272	
3.315	3.301	3.620	3.225	3.272	
3.315	3.301	3.576	3.225	3.272	
3.315	3.301	3.309	3.225	3.272	
3.315	3.301	3.665	3.225	3.272	
3.315	3.301	3.598	3.225	3.272	
3.315	3.301	3.320	3.225	3.272	
3.315	3.301	3.426	3.225	3.272	
3.315	3.301	3.724	3.225	3.272	
3.315	3.301	3.628	3.225	3.272	
3.315	3.301	3.580	3.225	3.272	
3.315	3.301	3.311	3.225	3.272	
3.315	3.301	3.421	3.225	3.272	
3.315	3.301	3.721	3.225	3.272	
3.315	3.301	3.626	3.225	3.272	
3.315	3.301	3.579	3.225	3.272	
3.315	3.301	3.555	3.225	3.272	
3.315	3.301	3.299	3.225	3.272	
3.315	3.301	3.415	3.225	3.272	
3.315	3.301	3.473	3.225	3.272	
3.315	3.301	3.502	3.225	3.272	
3.315	3.301	3.517	3.225	3.272	
3.315	3.301	3.279	3.225	3.272	
3.315	3.301	3.650	3.225	3.272	
3.315	3.301	3.591	3.225	3.272	
3.315	3.301	3.561	3.225	3.272	
3.315	3.301	3.546	3.225	3.272	
3.315	3.301	3.294	3.225	3.272	
3.315	3.301	3.413	3.225	3.272	
3.315	3.301	3.717	3.225	3.272	
3.315	3.301	3.624	3.225	3.272	
3.315	3.301	3.578	3.225	3.272	
3.315	3.301	3.555	3.225	3.272	
3.315	3.301	3.298	3.225	3.272	
3.315	3.301	3.660	3.225	3.272	
3.315	3.301	3.596	3.225	3.272	
3.315	3.301	3.564	3.225	3.272	
3.315	3.301	3.548	3.225	3.272	
3.315	3.301	3.540	3.225	3.272	
3.315	3.301	3.536	3.225	3.272	
3.315	3.301	3.778	3.225	3.272	
3.315	3.301	3.655	3.225	3.272	
3.315	3.301	3.593	3.225	3.272	
3.315	3.301	3.562	3.225	3.272	
3.315	3.301	3.547	3.225	3.272	
3.315	3.301	3.539	3.225	3.272	
3.315	3.301	3.535	3.225	3.272	
3.315	3.301	3.534	3.225	3.272	
3.315	3.301	3.533	3.225	3.272	
3.315	3.301	3.287	3.225	3.272	
3.315	3.301	3.654	3.225	3.272	
3.315	3.301	3.593	3.225	3.272	
3.315	3.301	3.562	3.225	3.272	
3.315	3.301	3.547	3.225	3.272	
3.315	3.301	3.294	3.225	3.272	
3.315	3.301	3.413	3.225	3.272	
3.315	3.301	3.472	3.225	3.272	
3.315	3.301	3.257	3.225	3.272	
3.315	3.301	3.394	3.225	3.272	
3.315	3.301	3.708	3.225	3.272	
3.315	3.301	3.620	3.225	3.272	
3.315	3.301	3.576	3.225	3.272	
3.315	3.301	3.554	3.225	3.272	
3.315	3.301	3.543	3.225	3.272	
3.315	3.301	3.537	3.225	3.272	
3.315	3.301	3.534	3.225	3.272	
3.315	3.301	3.533	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.287	3.225	3.272	
3.315	3.301	3.654	3.225	3.272	
3.315	3.301	3.593	3.225	3.272	
3.315	3.301	3.562	3.225	3.272	
3.315	3.301	3.547	3.225	3.272	
3.315	3.301	3.539	3.225	3.272	
3.315	3.301	3.535	3.225	3.272	
3.315	3.301	3.534	3.225	3.272	
3.315	3.301	3.533	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.777	3.225	3.272	
3.315	3.301	3.654	3.225	3.272	
3.315	3.301	3.593	3.225	3.272	
3.315	3.301	3.562	3.225	3.272	
3.315	3.301	3.547	3.225	3.272	
3.315	3.301	3.539	3.225	3.272	
3.315	3.301	3.535	3.225	3.272	
3.315	3.301	3.534	3.225	3.272	
3.315	3.301	3.533	3.225	3.272	
3.315	3.301	3.287	3.225	3.272	
3.315	3.301	3.409	3.225	3.272	
3.315	3.301	3.470	3.225	3.272	
3.315	3.301	3.501	3.225	3.272	
3.315	3.301	3.516	3.225	3.272	
3.315	3.301	3.524	3.225	3.272	
3.315	3.301	3.528	3.225	3.272	
3.315	3.301	3.530	3.225	3.272	
3.315	3.301	3.775	3.225	3.272	
3.315	3.301	3.654	3.225	3.272	
3.315	3.301	3.593	3.225	3.272	
3.315	3.301	3.562	3.225	3.272	
3.315	3.301	3.547	3.225	3.272	
3.315	3.301	3.539	3.225	3.272	
3.315	3.301	3.535	3.225	3.272	
3.315	3.301	3.533	3.225	3.272	
3.315	3.301	3.533	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.532	3.225	3.272	
3.315	3.301	3.287	3.225	3.272	
3.315	3.301	3.409	3.225	3.272	
3.315	3.301	3.470	3.225	3.272	
3.315	3.301	3.746	3.225	3.272	
3.315	3.301	3.639	3.225	3.272	
3.315	3.301	3.585	3.225	3.272	
