Server_08	Server_0	Server_09	Server_0F	Server_01	
3.776	4.000	3.684	3.632	3.974	
3.899	4.000	3.684	3.632	3.974	
3.960	4.000	3.684	3.632	3.974	
3.991	4.000	3.684	3.632	3.974	
4.006	4.000	3.684	3.632	3.974	
4.014	4.000	3.684	3.632	3.974	
4.017	4.000	3.684	3.632	3.974	
4.019	4.000	3.684	3.632	3.974	
4.020	4.000	3.684	3.632	3.974	
4.021	4.000	3.684	3.632	3.974	
4.021	4.000	3.684	3.632	3.974	
4.021	4.000	3.684	3.632	3.974	
4.021	4.000	3.684	3.632	3.974	
4.021	4.000	3.684	3.632	3.974	
4.021	4.000	3.684	3.632	3.974	
4.021	4.000	3.684	3.632	3.974	
3.776	4.000	3.684	3.632	3.974	
3.776	3.766	3.684	3.632	3.974	
3.776	3.766	3.684	3.632	3.753	
3.654	3.766	3.684	3.632	3.753	
3.654	3.649	3.684	3.632	3.753	
3.654	3.649	3.684	3.632	3.642	
3.654	3.649	3.608	3.632	3.642	
3.654	3.649	3.814	3.632	3.642	
3.654	3.649	3.918	3.632	3.642	
3.654	3.649	3.725	3.632	3.642	
3.654	3.649	3.873	3.632	3.642	
3.654	3.649	3.702	3.632	3.642	
3.654	3.649	3.617	3.632	3.642	
3.654	3.649	3.819	3.632	3.642	
3.654	3.649	3.675	3.632	3.642	
3.654	3.649	3.848	3.632	3.642	
3.654	3.649	3.690	3.632	3.642	
3.654	3.649	3.856	3.632	3.642	
3.654	3.649	3.938	3.632	3.642	
3.654	3.649	3.735	3.632	3.642	
3.654	3.649	3.878	3.632	3.642	
3.654	3.649	3.705	3.632	3.642	
3.654	3.649	3.863	3.632	3.642	
3.654	3.649	3.697	3.632	3.642	
3.654	3.649	3.614	3.632	3.642	
3.654	3.649	3.818	3.632	3.642	
3.654	3.649	3.675	3.632	3.642	
3.654	3.649	3.603	3.632	3.642	
3.654	3.649	3.812	3.632	3.642	
3.654	3.649	3.672	3.632	3.642	
3.654	3.649	3.602	3.632	3.642	
3.654	3.649	3.811	3.632	3.642	
3.654	3.649	3.672	3.632	3.642	
3.654	3.649	3.602	3.632	3.642	
3.654	3.649	3.811	3.632	3.642	
3.654	3.649	3.671	3.632	3.642	
3.654	3.649	3.602	3.632	3.642	
3.593	3.649	3.602	3.632	3.642	
3.593	3.590	3.602	3.632	3.642	
3.593	3.590	3.602	3.632	3.587	
3.593	3.590	3.602	3.337	3.587	
3.593	3.590	3.602	3.679	3.587	
3.593	3.590	3.602	3.360	3.587	
3.593	3.590	3.602	3.691	3.587	
3.593	3.590	3.602	3.611	3.587	
3.593	3.590	3.602	3.571	3.587	
3.593	3.590	3.322	3.571	3.587	
3.562	3.590	3.322	3.571	3.587	
3.792	3.590	3.322	3.571	3.587	
3.662	3.590	3.322	3.571	3.587	
3.597	3.590	3.322	3.571	3.587	
3.564	3.590	3.322	3.571	3.587	
3.564	3.316	3.322	3.571	3.587	
